Evidence Code	Description	Type	Interaction Type (MI:0190)	Interaction Detection Method (MI:0001)	Participant Identification Method (MI:0002) for biogrid BAIT	Participant Identification Method (MI:0002) for biogrid prey	Experimental Role BAIT	Experimental Role PREY	Biological Role BAIT	Biological Role PREY	Host System
Affinity Capture-Luminescence	An interaction is inferred when a bait protein, tagged with luciferase, is enzymatically detected in immunoprecipitates of the prey protein as light emission. The prey protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag.	Physical	physical association(MI:0915)	affinity chromatography technology(MI:0004)	predetermined participant(MI:0396)	tag visualisation by fluorescence(MI:0867)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Affinity Capture-MS	The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by MS methods.	Physical	physical association(MI:0915)	affinity chromatography technology(MI:0004)	predetermined participant(MI:0396)	mass spectrometry(MI:0427)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Affinity Capture-RNA	An interaction is inferred when a "bait" protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is an RNA molecule.	Physical	physical association(MI:0915)	affinity chromatography technology(MI:0004)	predetermined participant(MI:0396)	nucleotide sequence identification(MI:0078)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Affinity Capture-Western	The bait protein is affinity captured from cell extracts by either polyclonal antibody or epitope tag and the associated interaction partner is identified by western blot with a specific polyclonal antibody or a second epitope tag. This category is also used if an interacting protein was visualized directly by dye stain or radioactivity.	Physical	physical association(MI:0915)	affinity chromatography technology(MI:0004)	predetermined participant(MI:0396)	western blot(MI:0113)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Biochemical Activity	Interaction is inferred from a biochemical effect of one protein upon another, for example, GTP-GDP exchange activity or phosphorylation of a substrate by a kinase.	Physical	direct interaction(MI:0407)	enzymatic study(MI:0415)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	bait(MI:0496)	prey(MI:0498)	enzyme(MI:0501)	enzyme target(MI:0502)	in vitro(-1)
Co-crystal Structure	Interaction is directly demonstrated at the atomic level by X-ray crystallography.	Physical	direct interaction(MI:0407)	x-ray crystallography(MI:0114)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	neutral component(MI:0497)	neutral component(MI:0497)	unspecified role(MI:0499)	unspecified role(MI:0499)	in vitro(-1)
Co-fractionation	Interaction is inferred from the presence of two or more protein subunits in a partially purified protein preparation.	Physical	colocalization(MI:0403)	biochemical(MI:0401)	experimental participant identification(MI:0661)	experimental participant identification(MI:0661)	neutral component(MI:0497)	neutral component(MI:0497)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Co-localization	Interaction is inferred from two proteins that co-localize in the cell by indirect immunofluorescence, usually in a co-dependent manner. This category also includes co-dependent association of proteins with promoter DNA in chromatin immunoprecipitation experiments.	Physical	colocalization(MI:0403)	imaging techniques(MI:0428)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	neutral component(MI:0497)	neutral component(MI:0497)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Co-purification	Interaction is inferred from the identification of two or more protein subunits in a purified protein complex, as obtained by classical biochemical fractionation or by affinity purification and one or more additional fractionation steps.	Physical	association(MI:0914)	biochemical(MI:0401)	experimental participant identification(MI:0661)	experimental participant identification(MI:0661)	neutral component(MI:0497)	neutral component(MI:0497)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Far Western	Interaction is detected between a protein immobilized on a membrane and a purified protein probe.	Physical	direct interaction(MI:0407)	far western blotting(MI:0047)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	in vitro(-1)
FRET	The close proximity of interaction partners is detected by fluorescence resonance energy transfer (FRET) between cyan fusion protein (CFP) and yellow fluorescent protein (YFP) fusion proteins in vivo.	Physical	direct interaction(MI:0407)	fluorescent resonance energy transfer(MI:0055)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	fluorescence donor(MI:0583)	fluorescence acceptor(MI:0584)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
PCA	A protein-protein interaction assay in which a bait protein is expressed as fusion to one of the either N- or C- terminal peptide fragments of a reporter protein and prey protein is expressed as fusion to the complementary N- or C- terminal fragment of the same reporter protein. Interaction of bait and prey proteins bring together complementary fragments, which can then fold into an active reporter.	Physical	direct interaction(MI:0407)	protein complementation assay(MI:0090)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	fluorescence donor(MI:0583)	fluorescence acceptor(MI:0584)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Protein-peptide	Interaction is detected between a protein and a peptide derived from an interaction partner. This category includes phage-display experiments.	Physical	direct interaction(MI:0407)	unspecified method(MI:0686)	experimental participant identification(MI:0661)	experimental participant identification(MI:0661)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	in vitro(-1)
Protein-RNA	Interaction is detected between a purified protein and associated RNA(s) as detected by northern blot or reverse transcription-PCR. Genome-wide experiments based on microarray detection were classified as HTP, and not recorded, unless supporting documentation for specific interactions was provided.	Physical	direct interaction(MI:0407)	unspecified method(MI:0686)	experimental participant identification(MI:0661)	experimental participant identification(MI:0661)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	in vitro(-1)
Reconstituted Complex	Interaction is directly detected between purified proteins in vitro, usually in recombinant form.	Physical	physical association(MI:0915)	experimental interaction detection(MI:0045)	predetermined participant(MI:0396)	experimental participant identification(MI:0661)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	in vitro(-1)
Two-hybrid	The bait protein is expressed as a DNA-binding domain fusion and the prey protein is expressed as a transcriptional activation domain fusion and interaction is measured by reporter gene activation. This category was also used for two-hybrid variations such as the split-ubiquitin assay.	Physical	physical association(MI:0915)	two hybrid(MI:0018)	nucleotide sequence identification(MI:0078)	nucleotide sequence identification(MI:0078)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Dosage Growth Defect	The overexpression or increased dosage of one gene causes a growth defect in a strain that is mutated or deleted for another gene.	Genetic	synthetic genetic interaction defined by inequality(MI:0794)	genetic interference(MI:0254)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Dosage Lethality	The overexpression or increased dosage of one gene causes lethality in a strain that is mutated or deleted for another gene.	Genetic	synthetic genetic interaction defined by inequality(MI:0794)	genetic interference(MI:0254)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Dosage Rescue	The overexpression or increased dosage of one gene rescues the lethality or growth defect of a strain that is mutated or deleted for another gene.	Genetic	suppressive genetic interaction defined by inequality(MI:0796)	genetic interference(MI:0254)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Synthetic Growth Defect	Mutations or deletions in separate genes, each of which alone causes a minimal phenotype but when combined in the same cell results in a significant growth defect under a given condition.	Genetic	synthetic genetic interaction defined by inequality(MI:0794)	genetic interference(MI:0254)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
Synthetic Haploinsufficiency	A genetic interaction is inferred when mutations or deletions in separate genes, at least one of which is hemizygous, cause a minimal phenotype alone but result in lethality when combined in the same cell under a given condition.	Genetic	synthetic genetic interaction defined by inequality(MI:0794)	genetic interference(MI:0254)	predetermined participant(MI:0396)	predetermined participant(MI:0396)	bait(MI:0496)	prey(MI:0498)	unspecified role(MI:0499)	unspecified role(MI:0499)	unknown(-3)
