,Unnamed: 0,Sample,Strain type,Strain name
0,0,GSM35589,BY4706 parental,By1
1,1,GSM35591,BY4706 parental,By2
2,2,GSM35593,BY4706 parental,BY3
3,3,GSM35595,BY4706 parental,BY4
4,4,GSM35597,BY4706 parental,BY5
5,5,GSM35599,BY4706 parental,BY6
6,6,GSM35601,RM11-1a parental,RM1_1
7,7,GSM35603,RM11-1a parental,RM2_1
8,8,GSM35605,RM11-1a parental,RM3_1
9,9,GSM35607,RM11-1a parental,RM4_1
10,10,GSM35609,RM11-1a parental,RM5
11,11,GSM35611,RM11-1a parental,RM6
12,12,GSM35613,RM11-1a parental,RM3_2
13,13,GSM35615,RM11-1a parental,RM4_2
14,14,GSM35617,RM11-1a parental,RM1_2
15,15,GSM35619,RM11-1a parental,RM2_2
16,16,GSM35621,RM11-1a parental,RM3_2
17,17,GSM35623,RM11-1a parental,RM4_2
18,18,GSM35625,progeny,1_1_d
19,19,GSM35627,progeny,1_3_d
20,20,GSM35629,progeny,1_4_d
21,21,GSM35631,progeny,1_5_c
22,22,GSM35633,progeny,2_2_d
23,23,GSM35635,progeny,2_3_d
24,24,GSM35637,progeny,2_4_a
25,25,GSM35639,progeny,2_5_d
26,26,GSM35641,progeny,2_6_d
27,27,GSM61981,progeny,3_1_d
28,28,GSM61983,progeny,3_3_d
29,29,GSM61985,progeny,3_4_d
30,30,GSM61987,progeny,3_5_d
31,31,GSM61989,progeny,4_1_c
32,32,GSM61991,progeny,4_3_d
33,33,GSM61993,progeny,4_4_d
34,34,GSM61995,progeny,5_1_d
35,35,GSM61997,progeny,5_2_d
36,36,GSM61999,progeny,5_3_d
37,37,GSM62001,progeny,5_4_d
38,38,GSM62003,progeny,5_5_d
39,39,GSM62005,progeny,6_1_d
40,40,GSM62007,progeny,6_2_b
41,41,GSM62009,progeny,6_3_c
42,42,GSM62011,progeny,6_4_d
43,43,GSM62013,progeny,6_5_d
44,44,GSM62015,progeny,6_6_d
45,45,GSM62017,progeny,6_7_d
46,46,GSM62019,progeny,7_1_d
47,47,GSM62021,progeny,7_2_c
48,48,GSM62023,progeny,7_3_d
49,49,GSM62025,progeny,7_4_c
50,50,GSM62027,progeny,7_5_d
51,51,GSM62029,progeny,7_6_c
52,52,GSM62031,progeny,7_7_c
53,53,GSM62033,progeny,7_8_d
54,54,GSM62035,progeny,8_1_a
55,55,GSM62037,progeny,8_2_d
56,56,GSM62039,progeny,8_3_a
57,57,GSM62041,progeny,8_4_c
58,58,GSM62043,progeny,8_5_b
59,59,GSM62045,progeny,8_6_c
60,60,GSM62047,progeny,8_7_b
61,61,GSM62049,progeny,9_1_d
62,62,GSM62051,progeny,9_2_d
63,63,GSM62053,progeny,9_3_d
64,64,GSM62055,progeny,9_4_d
65,65,GSM62057,progeny,9_5_d
66,66,GSM62059,progeny,9_6_d
67,67,GSM62061,progeny,9_7_d
68,68,GSM62063,progeny,10_1_c
69,69,GSM62065,progeny,10_2_d
70,70,GSM62067,progeny,10_3_c
71,71,GSM62069,progeny,10_4_d
72,72,GSM62071,progeny,11_1_a
73,73,GSM62073,progeny,11_2_d
74,74,GSM62075,progeny,11_3_b
75,75,GSM62077,progeny,12_1_d
76,76,GSM62079,progeny,12_2_b
77,77,GSM62081,progeny,13_1_a
78,78,GSM62083,progeny,13_2_c
79,79,GSM62085,progeny,13_3_b
80,80,GSM62087,progeny,13_4_a
81,81,GSM62089,progeny,13_5_c
82,82,GSM62091,progeny,14_1_b
83,83,GSM62093,progeny,14_2_c
84,84,GSM62095,progeny,14_3_d
85,85,GSM62097,progeny,14_4_a
86,86,GSM62099,progeny,14_5_b
87,87,GSM62101,progeny,14_6_d
88,88,GSM62103,progeny,14_7_c
89,89,GSM62105,progeny,15_2_d
90,90,GSM62107,progeny,15_3_b
91,91,GSM62109,progeny,15_4_d
92,92,GSM62111,progeny,15_5_b
93,93,GSM62113,progeny,15_6_c
94,94,GSM62115,progeny,16_1_d
95,95,GSM62117,progeny,17_1_a
96,96,GSM62119,progeny,17_2_d
97,97,GSM62121,progeny,17_4_a
98,98,GSM62123,progeny,17_5_b
99,99,GSM62125,progeny,18_1_d
100,100,GSM62127,progeny,18_2_d
101,101,GSM62129,progeny,18_3_d
102,102,GSM62131,progeny,18_4_c
103,103,GSM62133,progeny,18_6_d
104,104,GSM62135,progeny,19_1_c
105,105,GSM62137,progeny,19_2_c
106,106,GSM62139,progeny,19_3_c
107,107,GSM62141,progeny,19_4_b
108,108,GSM62143,progeny,19_5_b
109,109,GSM62145,progeny,20_1_d
110,110,GSM62147,progeny,20_2_d
111,111,GSM62149,progeny,20_3_c
112,112,GSM62151,progeny,20_4_c
113,113,GSM62153,progeny,21_1_d
114,114,GSM62155,progeny,21_2_d
115,115,GSM62157,progeny,21_3_d
116,116,GSM62159,progeny,21_4_d
117,117,GSM62161,progeny,21_5_c
118,118,GSM62163,progeny,22_2_d
119,119,GSM62165,progeny,22_3_b
120,120,GSM62167,progeny,22_4_d
121,121,GSM62169,progeny,22_5_d
122,122,GSM62173,progeny,23_3_d
123,123,GSM62175,progeny,23_5_d
124,124,GSM62177,progeny,24_1_d
125,125,GSM62179,progeny,25_1_d
126,126,GSM62181,progeny,25_3_d
127,127,GSM62183,progeny,25_4_d
128,128,GSM62185,progeny,26_1_d
129,129,GSM62187,progeny,26_2_d
