Interactor (sys)	Interactor (std)	Function
YAL002W	VPS8	Golgi/endosome/vacuole/sorting
YAL004W	YAL004W	unknown
YAL005C	SSA1	unknown
YAL007C	ERP2	ER<->Golgi traffic
YAL008W	FUN14	metabolism/mitochondria
YAL010C	MDM10	metabolism/mitochondria
YAL011W	SWC3	chromatin/transcription
YAL012W	CYS3	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YAL013W	DEP1	chromatin/transcription
YAL014C	SYN8	Golgi/endosome/vacuole/sorting
YAL015C	NTG1	metabolism/mitochondria;DNA replication/repair/HR/cohesion
YAL017W	PSK1	metabolism/mitochondria
YAL018C	YAL018C	unknown
YAL019W	FUN30	unknown
YAL020C	ATS1	ribosome/translation
YAL021C	CCR4	chromatin/transcription;RNA processing
YAL021C_damp	CCR4_damp	chromatin/transcription;RNA processing
YAL022C	FUN26	drug/ion transport
YAL023C	PMT2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YAL024C	LTE1	chromosome segregation/kinetochore/spindle/microtubule
YAL025C_damp	MAK16_damp	ribosome/translation
YAL027W	SAW1	unknown
YAL028W	FRT2	unknown
YAL029C	MYO4	cell polarity/morphogenesis
YAL030W	SNC1	Golgi/endosome/vacuole/sorting
YAL031C	GIP4	signaling/stress response;chromosome segregation/kinetochore/spindle/microtubule
YAL034C	FUN19	unknown
YAL034W-A_tsq235	mtw1-ts	chromosome segregation/kinetochore/spindle/microtubule
YAL036C	RBG1	ribosome/translation
YAL037W	YAL037W	unknown
YAL038W_tsq26	cdc19-1	metabolism/mitochondria
YAL040C	CLN3	G1/S and G2/M cell cycle progression/meiosis;signaling/stress response
YAL041W_tsq148	cdc24-11	cell polarity/morphogenesis
YAL041W_tsq149	cdc24-4	cell polarity/morphogenesis
YAL041W_tsq412	cdc24-3	cell polarity/morphogenesis
YAL042W	ERV46	ER<->Golgi traffic
YAL043C_damp	PTA1_damp	chromatin/transcription;RNA processing
YAL043C-A	YAL043C-A	unknown
YAL045C	YAL045C	unknown
YAL046C	AIM1	unknown
YAL048C	GEM1	metabolism/mitochondria
YAL049C	AIM2	unknown
YAL051W	OAF1	metabolism/mitochondria;chromatin/transcription
YAL053W	FLC2	protein folding/protein glycosylation/cell wall biogenesis&integrity
YAL054C	ACS1	metabolism/mitochondria
YAL056W	GPB2	signaling/stress response
YAL058C-A	YAL058C-A	protein folding/protein glycosylation/cell wall biogenesis&integrity
YAL058W	CNE1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YAL059W	ECM1	ribosome/translation
YAL060W	BDH1	metabolism/mitochondria
YAL061W	BDH2	unknown
YAL062W	GDH3	metabolism/mitochondria
YAL063C	FLO9	protein folding/protein glycosylation/cell wall biogenesis&integrity;cell polarity/morphogenesis
YAL064C-A	YAL064C-A	unknown
YAL065C	YAL065C	unknown
YAL066W	YAL066W	unknown
YAL067C	SEO1	drug/ion transport
YAL068C	PAU8	unknown
YAR002C-A	ERP1	ER<->Golgi traffic
YAR002W	NUP60	nuclear-cytoplasic transport
YAR003W	SWD1	chromatin/transcription
YAR014C	BUD14	cell polarity/morphogenesis
YAR015W	ADE1	metabolism/mitochondria;amino acid biosynth&transport/nitrogen utilization
YAR018C	KIN3	unknown
YAR020C	PAU7	metabolism/mitochondria
YAR023C	YAR023C	unknown
YAR027W	UIP3	unknown
YAR028W	YAR028W	unknown
YAR029W	YAR029W	unknown
YAR030C	YAR030C	unknown
YAR031W	PRM9	unknown
YAR035W	YAT1	metabolism/mitochondria
YAR037W	YAR037W	unknown
YAR040C	YAR040C	unknown
YAR042W	SWH1	lipid/sterol/fatty acid biosynth
YAR043C	YAR043C	unknown
YAR044W	YAR044W	unknown
YAR047C	YAR047C	unknown
YAR050W	FLO1	cell polarity/morphogenesis;signaling/stress response
YAR071W	PHO11	protein folding/protein glycosylation/cell wall biogenesis&integrity;metabolism/mitochondria
YBL001C	ECM15	unknown
YBL003C	HTA2	chromatin/transcription
YBL005W	PDR3	drug/ion transport
YBL007C	SLA1	cell polarity/morphogenesis
YBL008W	HIR1	chromatin/transcription
YBL009W	ALK2	unknown
YBL010C	YBL010C	unknown
YBL011W	SCT1	lipid/sterol/fatty acid biosynth
YBL013W	FMT1	ribosome/translation
YBL015W	ACH1	metabolism/mitochondria
YBL017C	PEP1	Golgi/endosome/vacuole/sorting
YBL019W	APN2	DNA replication/repair/HR/cohesion
YBL021C	HAP3	metabolism/mitochondria;chromatin/transcription
YBL023C_tsq111	mcm2-1	DNA replication/repair/HR/cohesion
YBL024W	NCL1	ribosome/translation
YBL027W	RPL19B	ribosome/translation
YBL028C	YBL028C	unknown
YBL029W	YBL029W	unknown
YBL031W	SHE1	chromosome segregation/kinetochore/spindle/microtubule
YBL032W	HEK2	RNA processing
YBL034C_tsq274	stu1-5	chromosome segregation/kinetochore/spindle/microtubule
YBL034C_tsq822	stu1-12	chromosome segregation/kinetochore/spindle/microtubule
YBL035C_tsq365	pol12-ts	DNA replication/repair/HR/cohesion
YBL036C	YBL036C	unknown
YBL037W	APL3	cell polarity/morphogenesis
YBL039C	URA7	metabolism/mitochondria
YBL042C	FUI1	drug/ion transport
YBL043W	ECM13	unknown
YBL046W	PSY4	signaling/stress response
YBL047C	EDE1	cell polarity/morphogenesis
YBL048W	RRT1	unknown
YBL049W	MOH1	unknown
YBL050W_tsq48	sec17-1	ER<->Golgi traffic
YBL051C	PIN4	unknown
YBL052C	SAS3	chromatin/transcription
YBL053W	YBL053W	unknown
YBL054W	TOD6	unknown
YBL055C	YBL055C	unknown
YBL056W	PTC3	signaling/stress response
YBL057C	PTH2	metabolism/mitochondria;ribosome/translation
YBL058W	SHP1	protein folding/protein glycosylation/cell wall biogenesis&integrity;protein degradation/proteosome
YBL059W	YBL059W	unknown
YBL060W	YEL1	cell polarity/morphogenesis;ER<->Golgi traffic;Golgi/endosome/vacuole/sorting
YBL061C	SKT5	cell polarity/morphogenesis
YBL062W	YBL062W	cell polarity/morphogenesis
YBL063W	KIP1	chromosome segregation/kinetochore/spindle/microtubule
YBL064C	PRX1	metabolism/mitochondria;signaling/stress response
YBL065W	YBL065W	unknown
YBL066C	SEF1	unknown
YBL067C	UBP13	unknown
YBL068W	PRS4	amino acid biosynth&transport/nitrogen utilization
YBL069W	AST1	drug/ion transport
YBL070C	YBL070C	unknown
YBL071C	YBL071C	unknown
YBL072C	RPS8A	ribosome/translation
YBL075C	SSA3	ER<->Golgi traffic;signaling/stress response
YBL078C	ATG8	ER<->Golgi traffic
YBL079W	NUP170	nuclear-cytoplasic transport
YBL081W	YBL081W	unknown
YBL082C	ALG3	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBL083C	YBL083C	protein folding/protein glycosylation/cell wall biogenesis&integrity
YBL084C_tsq92	cdc27-1	chromosome segregation/kinetochore/spindle/microtubule
YBL085W	BOI1	chromosome segregation/kinetochore/spindle/microtubule
YBL086C	YBL086C	unknown
YBL087C	RPL23A	ribosome/translation
YBL088C	TEL1	DNA replication/repair/HR/cohesion
YBL089W	AVT5	drug/ion transport;amino acid biosynth&transport/nitrogen utilization
YBL091C	MAP2	ribosome/translation
YBL091C-A	SCS22	lipid/sterol/fatty acid biosynth
YBL095W	YBL095W	unknown
YBL096C	YBL096C	unknown
YBL098W	BNA4	metabolism/mitochondria
YBL100C	YBL100C	unknown
