Function	ORF	Gene/Allele	Interactor (std)
Cell polarity & morphogenesis	YLR378C	sec61-2	SEC61
Cell polarity & morphogenesis	YJR065C	arp3-d11a	ARP3
Cell polarity & morphogenesis	YNR035C	arc35-6	ARC35
Cell polarity & morphogenesis	YFL039C	act1-132	ACT1
Cell polarity & morphogenesis	YLL021W	spa2	SPA2
Cell polarity & morphogenesis	YFL039C	act1-120	ACT1
Cell polarity & morphogenesis	YFL039C	act1-124	ACT1
Cell polarity & morphogenesis	YFL039C	act1-136	ACT1
Cell polarity & morphogenesis	YDR212W	tcp1-2	TCP1
Cell polarity & morphogenesis	YAL041W	cdc24-1	CDC24
Cell polarity & morphogenesis	YFL039C	act1-122	ACT1
Cell polarity & morphogenesis	YNL138W	srv2-2	SRV2
Cell polarity & morphogenesis	YLR319C	bud6	BUD6
Cell polarity & morphogenesis	YKL203C	tor2-21	TOR2
Cell polarity & morphogenesis	YFL039C	act1-101	ACT1
Cell polarity & morphogenesis	YMR109W	myo5	MYO5
Cell polarity & morphogenesis	YOR326W	myo2-14	MYO2
Cell polarity & morphogenesis	YOR122C	pfy1-4	PFY1
Cell polarity & morphogenesis	YIL034C	cap2	CAP2
Cell polarity & morphogenesis	YFL039C	act1-155	ACT1
Cell polarity & morphogenesis	YER093C	tsc11-1	TSC11
Cell polarity & morphogenesis	YKL007W	cap1	CAP1
Cell polarity & morphogenesis	YER149C	pea2	PEA2
Cell polarity & morphogenesis	YNL138W	srv2-ts	SRV2
Cell polarity & morphogenesis	YFL039C	act1-4	ACT1
Cell polarity & morphogenesis	YFL039C	act1-129	ACT1
Cell polarity & morphogenesis	YFL039C	act1-125	ACT1
Cell polarity & morphogenesis	YOL003C	pfa4	PFA4
Cell polarity & morphogenesis	YJR064W	cct5-5001	CCT5
Cell polarity & morphogenesis	YAL041W	cdc24-11	CDC24
Cell polarity & morphogenesis	YOR181W	las17-14	LAS17
Cell polarity & morphogenesis	YIL118W	rho3-ser228	RHO3
Cell polarity & morphogenesis	YER155C	bem2	BEM2
Cell polarity & morphogenesis	YFL039C	act1-3	ACT1
Cell polarity & morphogenesis	YIL118W	rho3-1	RHO3
Cell polarity & morphogenesis	YOR122C	pfy1-14	PFY1
Cell polarity & morphogenesis	YER093C	tsc11-5	TSC11
Cell polarity & morphogenesis	YDR188W	cct6-18	CCT6
Cell polarity & morphogenesis	YOR122C	pfy1-13	PFY1
Cell polarity & morphogenesis	YBL007C	sla1	SLA1
Cell polarity & morphogenesis	YDR208W	mss4-103	MSS4
Cell polarity & morphogenesis	YDL029W	arp2-14	ARP2
Cell polarity & morphogenesis	YDR212W	tcp1-1	TCP1
Cell polarity & morphogenesis	YFL039C	act1-159	ACT1
Cell polarity & morphogenesis	YFL039C	act1-119	ACT1
Cell polarity & morphogenesis	YCR009C	rvs161	RVS161
Cell polarity & morphogenesis	YIL062C	arc15-10	ARC15
Cell polarity & morphogenesis	YBR109C	cmd1-8	CMD1
Cell polarity & morphogenesis	YFL039C	act1-121	ACT1
Cell polarity & morphogenesis	YLR229C	cdc42-1	CDC42
Cell polarity & morphogenesis	YDR276C	pmp3	PMP3
Cell polarity & morphogenesis	YGL233W	sec15-1	SEC15
Cell polarity & morphogenesis	YLR166C	sec10-2	SEC10
Cell polarity & morphogenesis	YPR055W	sec8-6	SEC8
Cell polarity & morphogenesis	YPR055W	sec8-9	SEC8
Cell polarity & morphogenesis	YJL099W	chs6	CHS6
Cell polarity & morphogenesis	YHR142W	chs7	CHS7
Cell polarity & morphogenesis	YBL061C	skt5	SKT5
Cell polarity & morphogenesis	YBR023C	chs3	CHS3
Cell polarity & morphogenesis	YBL105C	pkc1-1	PKC1
Cell polarity & morphogenesis	YGR228W	ygr228w	YGR228W
Cell polarity & morphogenesis	YBL062W	ybl062w	YBL062W
Cell polarity & morphogenesis	YJL159W	hsp150	HSP150
Cell polarity & morphogenesis	YGR229C	smi1	SMI1
Cell polarity & morphogenesis	YMR124W	ymr124w	YMR124W
Cell polarity & morphogenesis	YFL005W	sec4-8	SEC4
Cell polarity & morphogenesis	YBR078W	ecm33	ECM33
Cell polarity & morphogenesis	YNL006W	lst8-6	LST8
Cell polarity & morphogenesis	YBR234C	arc40-5001	ARC40
Cell polarity & morphogenesis	YAL041W	cdc24-5	CDC24
Cell polarity & morphogenesis	YKL203C	tor2-29	TOR2
Cell polarity & morphogenesis	YDR388W	rvs167	RVS167
Cell polarity & morphogenesis	YOR181W	las17-13	LAS17
Cell polarity & morphogenesis	YDR348C	pal1	PAL1
Cell polarity & morphogenesis	YFL039C	act1-133	ACT1
Cell polarity & morphogenesis	YLL050C	cof1-8	COF1
Cell polarity & morphogenesis	YOR326W	myo2-16	MYO2
Cell polarity & morphogenesis	YNL271C	bni1	BNI1
Cell polarity & morphogenesis	YFL039C	act1-105	ACT1
Cell polarity & morphogenesis	YNR049C	mso1	MSO1
Cell polarity & morphogenesis	YIR003W	aim21	AIM21
Cell polarity & morphogenesis	YFL039C	act1-108	ACT1
Cell polarity & morphogenesis	YLR370C	arc18	ARC18
Cell polarity & morphogenesis	YPL066W	rgl1	YPL066W
Cell polarity & morphogenesis	YNR035C	arc35-5	ARC35
Cell polarity & morphogenesis	YER093C	tsc11-7	TSC11
Cell polarity & morphogenesis	YLR337C	vrp1	VRP1
Cell polarity & morphogenesis	YFL039C	act1-112	ACT1
Cell polarity & morphogenesis	YOR035C	she4	SHE4
Cell polarity & morphogenesis	YAL041W	cdc24-h	CDC24
Cell polarity & morphogenesis	YJL085W	exo70-38	EXO70
Cell polarity & morphogenesis	YNL272C	sec2-41	SEC2
Cell polarity & morphogenesis	YER008C	sec3-2	SEC3
Cell polarity & morphogenesis	YDR164C	sec1-1	SEC1
Cell polarity & morphogenesis	YIL068C	sec6-4	SEC6
Cell polarity & morphogenesis	YDR166C	sec5-24	SEC5
Cell polarity & morphogenesis	YJL085W	exo70-29/37	EXO70
Cell polarity & morphogenesis	YJR087W	yjr087w	YJR087W
Cell polarity & morphogenesis	YPL232W	sso1	SSO1
Cell polarity & morphogenesis	YOR327C	snc2	SNC2
Cell polarity & morphogenesis	YGR009C	sec9-4	SEC9
Cell polarity & morphogenesis	YNL181W	ynl181w-5001	YNL181W
Glycosylation, protein folding/targeting, cell wall biosynthesis	YPL120W	vps30	VPS30
Glycosylation, protein folding/targeting, cell wall biosynthesis	YJL053W	pep8	PEP8
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR360W	vps38	VPS38
Glycosylation, protein folding/targeting, cell wall biosynthesis	YHR012W	vps29	VPS29
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR068C	vam10	VAM10
Glycosylation, protein folding/targeting, cell wall biosynthesis	YER136W	gdi1-1	GDI1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR086C	sss1-5001	SSS1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR239C	rnt1-ts	RNT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOL018C	tlg2	TLG2
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR370C	mrs6-2	MRS6
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL145C	cop1-1	COP1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YBR029C	cds1-5001	CDS1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGR166W	trs65	TRS65
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDL096C	opi6	OPI6
Glycosylation, protein folding/targeting, cell wall biosynthesis	YMR200W	rot1-5001	ROT1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YLR459W	gab1-3	GAB1
Glycosylation, protein folding/targeting, cell wall biosynthesis	YOR149C	smp3-2	SMP3
Glycosylation, protein folding/targeting, cell wall biosynthesis	YDR389W	sac7	SAC7
Glycosylation, protein folding/targeting, cell wall biosynthesis	YGL027C	cwh41	CWH41
