gene	BY	RM	1_1_d	1_3_d	1_4_d	1_5_c	2_2_d	2_3_d	2_4_a	2_5_d	3_1_d	3_3_d	3_4_d	3_5_d	4_1_c	4_3_d	4_4_d	5_1_d	5_2_d	5_3_d	5_4_d	5_5_d	6_1_d	6_2_b	6_3_c	6_4_d	6_5_d	6_6_d	6_7_d	7_1_d	7_2_c	7_3_d	7_4_c	7_5_d	7_6_c	7_7_c	7_8_d	8_1_a	8_2_d	8_3_a	8_4_c	8_5_b	8_6_c	8_7_b	9_1_d	9_2_d	9_3_d	9_4_d	9_5_d	9_6_d	9_7_d	10_1_c	10_2_d	10_3_c	10_4_d	11_1_a	11_2_d	11_3_b	12_1_d	12_2_b	13_1_a	13_2_c	13_3_b	13_4_a	13_5_c	14_1_b	14_2_c	14_5_b	14_6_d	14_7_c	15_2_d	15_3_b	15_5_b	16_1_d	17_1_a	17_2_d	17_4_a	17_5_b	18_1_d	18_2_d	18_3_d	19_1_c	19_5_b	20_1_d	20_2_d	20_3_c	20_4_c	20_5_d	21_1_d	21_3_d	21_4_d	21_5_c	22_1_d	22_2_d	22_3_b	22_4_d	22_5_d	23_3_d	23_4_d	23_5_d	24_1_d	25_1_d	25_3_d	25_4_d	26_1_d	26_2_d	26_3_d
EFB1	45227429.66064	47262145.91819	44236656.24145	35114133.381425	42818321.7758	39447562.346425	40266988.5257	38638896.901775	27883310.989775	40024309.6955	33399584.8254	49517005.325	21518729.887675	45762895.874175	19181488.6514	49538629.32065	39176396.75735	29003004.363825	50032131.929825	45207573.62975	35734954.233275	43798864.7745	29487499.436125	38949787.239725	39410850.262675	52548353.681975	34551450.527175	39589315.42145	39804660.7471	42926400.031325	37232588.556075	41972663.8082	45382875.699425	35194337.053225	50682561.856875	48890743.063725	43523037.32365	24697853.978825	47317907.98225	45330502.680325	44840608.67605	41719582.58205	19895041.622725	37023850.104525	40086905.918775	28360675.70965	40346373.590375	27523616.24815	42866383.220575	16811065.3713	45445188.852225	22058031.346825	46895357.522475	46495026.970225	52486316.967825	48146862.03495	31177764.384925	59513325.4375	27065825.6459	40997440.57225	28549703.032125	27128106.08935	47281334.26535	35594101.33515	39245407.7965	28973793.29225	55988769.941425	40686089.85385	31901470.798	22784421.9325	44057721.4592	38063108.8847	26138676.841225	50410317.88945	25764200.906925	40544423.200375	57799226.04535	50948683.378825	60321683.927525	46623042.4227	34366217.16885	24929464.242675	32063677.152075	34808807.61585	33293090.106025	38320033.133475	33770433.985025	21733674.170725	20142287.081175	39272426.279625	22556489.544025	42782491.445775	40111102.2973	28549000.454625	33168654.227325	40912117.8099	25161640.176425	41867396.0518	36321381.660325	42538385.778975	18570802.4452	30546167.33355	43255896.730425	45608061.66265	26998112.874625	45437261.022975	23574601.9526
SSA1	13153234.34308	6366782.57415	10470481.4955	8798039.195675	10728676.202325	11006036.50625	5731411.378625	5293268.775775	11756690.4805	10741155.03135	10974532.33145	11685452.800525	6028016.586975	7885336.034075	4102013.41775	7011804.340025	9360364.20275	6509815.1279	6427803.204825	18185208.387475	9377951.75165	9212321.1494	12788596.6025	16657399.768575	7542826.606975	12906392.286775	20717346.136475	6452213.801725	6993287.45695	7598948.607025	12981570.6709	11631447.331725	9077706.11705	14372236.122225	6188656.444175	9412272.769225	9908945.59955	6459507.44675	6470459.07155	9324914.573575	9662815.6725	8291468.7453	6062354.736125	6780070.06765	8384458.045175	8560948.45875	13558969.893075	5162457.367125	10288288.56365	5741568.296025	9583592.960675	6593319.2555	14441180.903675	16540897.160275	4959376.8668	9305506.254625	16356453.564	12629855.2029	5591999.695825	20448635.014575	12700222.913525	6295238.68875	5115128.851825	9742917.5423	13835611.06025	5640045.796125	9778096.550825	13284896.4503	8769999.8198	8326936.454775	5710150.355825	14460808.500225	4899901.19155	8418112.189775	3281013.287025	9440735.038625	7991083.124825	7177444.56005	4136639.794175	6475053.37345	14155445.352125	10781160.12555	6865578.6016	9183012.5861	3379212.036225	10266153.858575	9503331.102425	7528827.563	5607649.48805	10436063.2857	5396949.578725	11084277.596875	5897732.098625	7102311.913975	11481586.641775	17144110.39485	7088468.3186	11082539.5621	5039844.4596	6354331.700825	6563658.109075	4392010.8803	3495396.15555	11827220.576	4438448.069675	5101126.583075	11549396.7382
ERP2	606925.874842857	695006.541511111	535722.460733333	507180.56035	561026.375633333	746054.6694	642921.049366667	565511.7648	NA	647017.319	333438.8885	NA	NA	509686.2972	NA	574174.244233333	627615.14645	NA	524025.242366667	659022.350933333	476733.129133333	766960.71475	483104.980833333	NA	499567.157075	NA	442783.736775	526895.5918	655453.6204	768995.021375	NA	640064.252775	631169.9035	NA	512113.214	762691.218466667	622867.992625	NA	613868.34115	573176.4678	327110.6125	551432.90575	NA	522155.9807	545404.796825	398927.847733333	503260.485375	571718.378133333	645048.29775	412619.166566667	910611.746475	424829.147075	714314.286775	626055.146375	523725.792875	693567.845575	600792.610425	648509.30795	371965.5363	932884.21675	310837.299	476770.24945	629720.659425	527831.24955	637162.9834	530688.29575	812581.48755	542531.99575	539148.88715	415512.867233333	672020.230833333	780916.025	446445.3038	656698.8776	NA	773381.93875	692783.2886	NA	769430.41	NA	774185.7659	NA	NA	NA	NA	515966.104433333	844701.7276	NA	98213.7063	661540.697775	392577.97265	786983.8856	589482.7417	520718.0928	505896.8537	901039.164075	520114.092166667	858144.1645	351066.1478	566185.491575	NA	322723.1587	499989.7096	921370.272675	442581.877	601938.041533334	NA
CYS3	4786957.79719	5338869.69962	5218012.236275	4270197.698425	5438277.717575	4948002.12775	4922467.733825	4110618.4811	3811965.794875	5760897.96495	3219069.691525	3442760.988025	3047844.437175	4445345.953875	3827986.0781	4156935.209	2884417.0677	4852547.587575	4224963.0697	3786949.492	3505136.160075	4424186.56155	3224486.151975	4149419.064875	3384529.276425	5791607.174375	2793212.056225	3991650.670625	3596859.356	3359190.645025	4164892.5481	3421153.4134	4805045.64555	3692970.091675	5081164.24915	3828935.936375	2680322.9985	4610616.914175	4269810.841625	4526717.960075	4010534.734725	4860896.506	5515794.796225	3923522.534425	4161128.211525	4296748.98875	5007121.2163	5542783.580875	5516381.064925	5018262.344275	6874822.263875	5356114.9866	7601368.89985	6096253.6152	7242262.889375	5747540.578775	4622968.59685	8169023.995825	4661561.67525	5787617.860075	5258764.907125	3871577.47785	5520962.12975	4760159.403525	4958613.414425	6495094.78945	7626852.56315	5965284.860875	6404258.6793	5606805.8517	6827420.1371	4959674.43495	5958522.375975	4820139.372625	3943479.8596	4457062.390575	4451536.7077	4382530.886975	6119871.79565	4289576.22255	3620911.049675	3157127.363325	3904421.181275	3847498.086925	4448077.347725	4526538.071925	4749171.45875	4592844.34	4551343.85175	3859405.3976	3527264.690725	3801542.387525	2838335.61165	2862747.319375	3915048.898975	4225851.09965	3809510.01425	5607654.096475	4835408.234925	5532956.437825	3575013.0449	3763247.22635	4465854.77425	3991833.182175	4263552.16955	6387571.1475	4538936.464225
TPD3	1196710.4242	994523.927855556	720030.958075	1217143.263175	1163984.5294	1444027.2139	NA	306160.7907	592052.9529	NA	2749433.92845	953512.9221	794070.20375	799526.00415	772065.15835	1620235.2574	1041590.59795	542898.90315	1086043.541675	1122751.6066	937822.04015	1162148.3138	1534406.424575	1070075.982925	698154.879133333	608151.078975	686782.14925	859073.507625	1558819.7653	1638434.764375	789537.16865	1682081.345125	415177.163925	578841.237025	453124.739675	1208471.405075	814550.72745	729022.921125	1092806.824875	329112.876175	869384.500075	2780974.974375	3019042.526625	3797714.474075	4635075.630625	3217538.31155	2789006.5394	3321018.76703333	1523405.65315	390146.389166667	1649707.84525	1645800.425075	2616311.19215	1986352.8944	1844394.947975	2048826.6307	2015981.2162	1614777.4253	1076610.58295	2191173.880175	1662906.23325	1498630.517175	1579342.483925	1783435.42615	1991565.282675	1797673.821375	2610757.9172	2311221.16835	1634715.33785	1953610.850175	1610525.023025	2455981.022575	1675487.224125	903049.2754	772220.5245	847317.120025	831895.7046	827046.4068	632527.3641	793308.10625	938913.152225	1306108.199125	1352401.907275	1199373.7542	1015973.5889	1217998.708825	2395688.345575	738454.400066667	524334.85405	2280747.715675	1623612.1274	1734386.7127	1197126.05735	697922.632	1267214.367175	1433007.81946667	846594.03585	1146854.3641	940489.9591	1776607.0496	1692115.511375	1088143.291	1371358.74156667	1876833.390125	1443713.713275	1492837.938	414020.80755
PSK1	1472748.63589	1223872.389	495017.161166667	408027.89975	295260.3449	NA	NA	NA	700239.61425	NA	NA	663629.5615	NA	1277340.963575	NA	NA	NA	NA	NA	NA	782318.333233333	1042057.747175	371605.20915	637168.9364	2652102.307625	720702.173733333	1776406.714475	1722067.485675	1439232.81945	1705541.8681	NA	1270069.150825	249015.9792	NA	513891.13925	1691457.116575	1397045.304075	NA	1187515.6046	330831.4942	518997.063025	486458.64925	NA	567504.8846	334903.4687	NA	NA	NA	NA	NA	NA	NA	338969.059966667	210925.35605	523070.4418	431980.977575	404224.88185	507012.1289	NA	673709.766375	531002.50805	547496.3479	679018.270125	657482.4481	356513.528366667	181860.4994	278424.30825	273485.02435	221836.6894	NA	503933.9218	758177.650825	296953.728525	NA	NA	543746.5879	462631.6213	NA	781126.6728	758349.449	238491.8223	NA	NA	428861.9568	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	536813.7464	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
LTE1	1480990.41901429	2259037.71826667	2441376.7289	1478362.7511	2478812.6415	2154759.7924	2264123.8059	2443178.0153	NA	2237773.17465	2865300.098725	1544046.325475	NA	NA	NA	3370728.449925	2467361.010475	NA	1555060.525975	2083168.3139	2278989.7105	2758074.3592	2467477.7783	1735923.47195	3415105.532425	1343161.60515	2298738.514025	3525040.08345	3028445.585425	3261977.682075	2008557.8601	2829124.497425	1479045.7119	1343786.1816	1973641.6647	3104854.675675	3407415.072475	NA	1194895.8825	1553567.48435	1687846.7639	1600008.42385	NA	1449851.52205	1427506.65805	NA	1576700.974	1389441.2849	1527796.51885	NA	2654965.332525	1100370.26655	1913257.332525	968268.9671	1552478.95965	2011899.42405	1635415.960975	1566688.05766667	1099748.0492	1775129.532675	1737210.196675	1973533.7299	2192891.509275	1277245.30836667	1983487.50376667	894178.1153	1461739.69046667	1984508.35056667	1267633.86496667	685386.0593	2007196.12195	2037541.457525	1060297.8534	2832964.37665	NA	1288113.95446667	1843456.3145	2225654.9443	1596938.511425	1988118.08036667	1696031.71666667	NA	NA	NA	NA	1201781.4758	2145946.44575	1418392.807875	NA	2473387.908625	1527320.25905	2928834.57525	2120625.278725	1766654.744875	2381341.233575	3225598.813325	NA	994534.7377	880793.3963	1256982.19155	NA	NA	1181114.0755	1778753.62516667	624475.751	1677247.717575	NA
DRS2	21709020.8925	16558382.16356	13261928.7866	16416533.91345	17467256.725525	17711919.069825	21221754.21055	22943337.602175	11455340.6115	26561868.5455	12243258.013425	24749460.330775	12598789.2993	14290795.760775	11350283.0477	17580037.114825	14559915.597075	14699753.702325	14158288.596325	16892517.010325	20642903.382325	16606370.687125	22679394.60055	22137896.35595	23898844.5613	16512786.2205	24653511.50625	33202662.242075	31540605.110125	38743843.912925	15872142.0398	38359127.28285	12203480.72765	12956797.8958	12226663.4345	22925406.4715	35392847.9505	13332624.81965	15609231.6028	13847901.49485	19093758.642925	22784323.517925	5858473.1956	16233159.888875	13442844.5559	8583514.9888	11648049.33305	7426178.060025	10068856.517025	7926169.616675	20323878.41065	11388027.8678	15216824.904725	22414465.045225	14644412.918025	21959257.779425	24380303.835225	20542941.58605	14638840.64085	18378262.20845	21081567.700625	16006809.5888	20616008.597	23269327.66155	21048008.089675	9716269.9713	17871294.625775	19408603.71345	11574528.3524	10143446.37385	21975494.365875	18989513.596375	12027509.97905	13018880.109875	18460299.27295	24814123.11005	15421183.528025	20765260.570025	18861591.11815	27630568.636775	20795967.72125	21192584.180375	10383412.600575	17018241.86285	11219016.128675	19078504.914925	22927984.677825	9582719.2929	7465826.85075	11156622.489125	8893366.0816	24599418.525825	25863983.002375	10422793.14385	21438825.536625	24778707.362	24257722.515275	13563609.476625	14555699.4841	13708009.572925	6089095.2065	13216600.272675	28231575.5596	21600080.512	19840572.427325	11108457.30845	10534420.505925
MYO4	11013440.52763	9333975.07193	4660138.830675	6999539.00675	9263395.5276	9942605.95775	5935671.6159	9759992.4421	4496991.92395	6467796.151	6580745.8093	9426266.925975	2871865.01165	7675307.9351	3206099.009525	9834300.588225	8494064.3705	7870973.62115	8901708.6895	8964828.02605	8428042.0104	4208170.921475	5603325.92495	5615984.2956	6509727.395925	9594368.679925	6946272.67955	6068303.48235	9781110.3229	5796822.719075	11976011.69115	5905110.899525	10923815.515425	7259141.76095	16326021.930125	9553198.561475	5898678.52525	2592969.082725	3688272.2207	16491535.1416	6548854.032475	9062998.9491	3595738.9803	12212123.89945	11729943.891825	4844868.914275	12752439.703375	4356490.37525	12359752.1151	2890480.1273	5484137.805525	3691064.450075	4399549.76325	3690437.22435	4564006.01775	9934363.57755	7005348.8046	4573746.63755	4635290.101225	5910204.029875	12304005.011575	5756850.812675	11490218.2074	13844636.320275	15246374.0525	3057140.137525	3872993.193975	14277828.9129	3130955.610775	4441955.5466	12450272.428125	5277878.328625	3676122.355275	3297535.334575	1683431.30305	3837408.274	3648617.605075	3316696.9925	3363002.632	3885054.3077	6179964.12513333	3856154.593025	5829548.9764	5505228.173575	12193080.131375	6116409.358725	5071243.124225	6948308.482575	6816190.635175	3375112.357325	2859336.063525	4714205.70645	2828971.224475	2701888.3673	3257999.4958	3035412.081325	5841325.286775	4299336.8962	8338048.59563333	3342059.47045	8584415.017025	4692322.344975	12707466.76925	8412425.506425	11001791.180525	3659507.413425	1542552.675925
GIP4	NA	NA	NA	NA	NA	NA	NA	NA	1886172.45746667	NA	NA	NA	1897771.1134	NA	1657466.68736667	NA	6062470.34125	2714160.58505	NA	NA	NA	2564370.682975	1029866.0615	NA	1344753.95565	986119.2787	NA	NA	NA	NA	NA	NA	NA	1875522.10675	NA	NA	4435197.023525	2159395.1598	NA	NA	NA	NA	1819064.1054	NA	NA	1452335.91665	NA	1323394.07085	NA	1558108.463	NA	1729132.135	NA	NA	NA	NA	NA	NA	2272178.269425	NA	1530843.47335	2192454.30535	NA	NA	NA	3145400.130125	NA	NA	1269363.037075	1949713.863925	NA	NA	2199011.52115	NA	2106874.8574	NA	NA	NA	NA	NA	1801009.68395	NA	NA	NA	10728837.3044	NA	NA	6818847.900675	16053182.5279	NA	18298149.982675	NA	NA	23557189.184525	15465366.9691	NA	7339335.99145	NA	10754393.0283	9494875.567	19255104.656925	22552696.273475	5815384.114825	5453967.85595	11957613.1832	6268598.884425	4507134.888275
