protein.group	BY	RM	1_1_d	1_3_d	1_4_d	1_5_c	2_2_d	2_3_d	2_4_a	2_5_d	3_1_d	3_3_d	3_4_d	3_5_d	4_1_c	4_3_d	4_4_d	5_1_d	5_2_d	5_3_d	5_4_d	5_5_d	6_1_d	6_2_b	6_3_c	6_4_d	6_5_d	6_6_d	6_7_d	7_1_d	7_2_c	7_3_d	7_4_c	7_5_d	7_6_c	7_7_c	7_8_d	8_1_a	8_2_d	8_3_a	8_4_c	8_5_b	8_6_c	8_7_b	9_1_d	9_2_d	9_3_d	9_4_d	9_5_d	9_6_d	9_7_d	10_1_c	10_2_d	10_3_c	10_4_d	11_1_a	11_2_d	11_3_b	12_1_d	12_2_b	13_1_a	13_2_c	13_3_b	13_4_a	13_5_c	14_1_b	14_2_c	14_5_b	14_6_d	14_7_c	15_2_d	15_3_b	15_5_b	16_1_d	17_1_a	17_2_d	17_4_a	17_5_b	18_1_d	18_2_d	18_3_d	19_1_c	19_5_b	20_1_d	20_2_d	20_3_c	20_4_c	20_5_d	21_1_d	21_3_d	21_4_d	21_5_c	22_1_d	22_2_d	22_3_b	22_4_d	22_5_d	23_3_d	23_4_d	23_5_d	24_1_d	25_1_d	25_3_d	25_4_d	26_1_d	26_2_d	26_3_d
[crap] sp|PEPC_PIG|	4698351.672166667	2558360.3870857144	2941363.7206	NA	9299238.291025	10399351.79815	3834517.249725	11162744.1748	4321851.89435	5537131.8073	7258511.781699998	4246127.034225	3651319.222366667	6892030.9002	4075403.4228000008	9967000.8529	11966995.526200002	9880062.8874	8675738.998225	6308867.665650001	NA	NA	NA	NA	NA	3216203.60595	8059054.6687	2774017.3602	3628496.237	9028821.91265	8276425.641125001	4913437.34625	2595191.448925	7433735.522325002	8651023.91655	7068100.393025	6151972.964849999	3909115.079775	NA	3728667.8959	3871708.3601	6810382.73875	7382450.3411	8845037.554699998	6857114.71	5131948.6677	8874290.248949999	5446498.15095	5542967.760825	4704862.540475	3623398.892275	4644436.45235	2983913.27235	3989123.4803	4382807.6737	7240527.840325	7203740.593599998	5719694.753025	9825544.57235	4431133.735	7576982.987525	9746748.286975	6546851.758575	7836457.738074998	11855814.40235	4355736.947975	5037128.55055	9666576.421324998	3503679.82895	5077318.595275	5193051.2444750015	4979531.240175	4585788.226775	4858522.63525	3721519.06085	6789011.82845	4368752.1099999985	5670788.735625	4796160.181266666	3010649.8037	4562025.5909	1665598.8782499996	2119862.434125	2905623.5249	NA	NA	109303.1528	337792.7647	193315.5455	6260933.2032	NA	5040530.5498	3593907.2286000005	NA	NA	NA	NA	3844847.91855	NA	NA	NA	1582143.15055	NA	NA	NA	NA	4440292.578950001
[crap] sp|TRYP_PIG|	48627691.14649	34988714.13833	33080702.422100004	36801777.848825	40411472.11585	46649783.62180001	35515032.04800001	40672251.444425	54133952.28085	49846236.499625	65764309.50855	59767523.589225	72017686.90725	46275421.77225	71379853.91445	43773058.28035	48157165.687225	71554927.00167501	38466190.27245	40716660.357575	51416374.70907501	25913387.68525	66365312.305825	80103674.4435	31485353.108025	42546622.4092	46473480.745875	44822507.959075	36075596.2527	64592346.172175	75105040.46217501	60110699.2084	29208850.95025	49094219.91735	50735569.44175	36566370.828225	55924379.12365001	83860551.23640001	39176141.252925	40962812.805175	37268052.71485	35088640.343025	108732764.2054	47814648.301425	39205185.89835	48558571.96070001	45147639.71935	45982720.0201	36540842.2478	75156374.09135	31857444.028525	60492612.08415	38306348.41930001	59026240.5447	39564826.715925	44237762.066625	64514183.75885001	51012301.928325	94822101.43375	35660219.96905	79905425.13875	86464279.204475	38824201.68205	54475814.17345	80429450.15595001	35120320.218100004	40743361.170675	39850630.10492501	37769705.377975	82066756.3639	41472262.184925	35395532.150575	53257081.065025	52369273.21555001	64602417.05180001	48455151.75870001	53813505.173575	67010045.72955	46478480.18662501	44454617.7132	64244492.56442499	42795128.5336	29004297.9946	29687737.542975	40932933.2281	46469645.309275	33351256.501725	26206526.9662	37642454.886675	52818885.4788	95638157.482375	105425143.43455	48623031.6646	49150209.8447	53949631.01155	98993658.03852502	55534355.158025	43069784.45182499	61585963.862025	39196671.5192	175942738.5735	34900411.83105	96401517.7539	62088935.21595	92312229.620925	47329794.36285	63878497.165925
[crap] sp|ANXA5_HUMAN|	3785969.32136	NA	2841954.16175	NA	3965539.432875	3537971.971775	NA	3159090.632025	NA	3176277.3464	NA	3258012.3558	2004971.931425	NA	1607578.1347249998	3597624.344625	NA	2055414.433725	4423886.071525	NA	NA	3300331.849725	NA	2649066.9036	NA	3521496.634675	2689854.0938750003	3277953.27295	3412316.1931	2620218.00015	NA	NA	NA	NA	NA	NA	NA	3112900.09395	3368376.872925	NA	3655453.120475	3783872.816125	NA	2691521.874975	NA	NA	2439150.042725	NA	3753859.87565	NA	NA	NA	NA	3197192.290525	4005809.876675	3563287.342925	NA	4633937.5781	NA	NA	NA	NA	3600747.6579	4166052.068275	2493901.1942	NA	4849226.5300750015	NA	NA	1960411.33655	3359045.900275	2543693.62075	2657360.026525	3994901.373425	2773104.49935	3895195.229275	5229466.8821749985	NA	4918303.162375	NA	NA	NA	1987289.2011666663	NA	1449078.025925	NA	NA	NA	1160493.5197	2901508.075525	1437055.53885	NA	NA	NA	NA	2842260.3141	2714691.010375	NA	NA	2810107.491625	NA	2681905.489475	NA	2742922.8506	NA	NA	NA
[crap] sp|CO5_HUMAN|	4482642.21232	3637343.2787000006	2425514.456975	1974600.36875	1662026.931275	1251991.11345	1310656.91905	1331747.307775	2293060.1116	2213928.08155	2660342.669325	3609756.837475	2316927.5846	3252553.62985	2583140.58815	2739945.81985	1162499.1302333332	2455351.589725	2143127.488725	2981355.8409	4320946.180725	3883584.0724	2029336.37005	3563139.745875	7058363.53975	3466666.7544	3770551.31715	5143372.8807	4543098.8163	4941744.82865	3007208.10435	5244515.799625	3345729.05605	1729172.283433333	2314832.437025	4026939.685775	5524692.099874998	2360943.63205	2746840.9328	1878100.85695	2759645.34845	2980951.114375	2111149.3374	4107369.9958	2590691.76905	976125.2328333331	1904387.544425	1002086.0619	2042538.299375	1045878.502125	1343008.0946000002	1605737.0164	1893533.6404	2193683.624375	2329938.51605	2367009.3819999998	3223090.006175	2376065.171075	2174914.854775	2927135.10475	3099093.397375	2302065.68035	3720760.52245	3040302.3247	3352772.605875	986930.708925	1111152.308825	1741080.3973	1010157.276175	1435898.226625	2800038.25565	3219977.61435	2126709.37285	1162740.69085	1250994.692075	1578310.961675	2661936.9506	2870956.050925	2692440.165225	3036605.293625	2452474.4863	NA	1136201.7880666668	2717564.41395	841902.5301333334	736903.8726666667	465852.1022	378516.2742	459935.98283333326	1210606.976025	1149055.7413249998	2343230.9957	2061549.42395	1253487.1834000002	2750741.633175	1248657.30475	951861.181775	1195147.5605499998	1277968.5781	773606.1311250002	NA	409102.48155	1369966.5866	1292894.512033333	1157506.0292	1268258.467225	1033248.848
[crap] sp|MYG_HUMAN|	7275451.1649	6859619.2365125	4707947.348733333	7093254.491975	6132276.5964	6035693.40975	3981329.7264	5956825.3236	4232722.369825	2530375.889	2324977.71475	5548597.682666667	4344407.767875	5659841.9634	3790336.7457	6599856.3577999985	3937628.499366666	5698020.006066666	6919103.027525	5699039.249333332	5197976.125975	3453707.3869333337	3203737.40945	3047437.2618666664	2483419.4006666667	6971358.962475001	2307276.0655	2882385.6081666667	4539086.12645	2948827.47055	5154985.2992	2315120.9378	8810669.6011	5271631.9703	7273134.258399999	2815755.1501	2872862.3443666673	3799339.485666666	3256562.482	11824009.4608	5507353.08215	8173850.60155	2963428.4998666667	8122431.251566666	7618247.057375001	4968403.20055	7759647.35035	4558846.930825002	5469186.580266667	2883500.20145	5116440.601066667	4712336.2214	2867221.1868	3025629.36205	3122673.613625	8908150.54215	3559598.828425	2458330.6321000005	4212879.349933334	5190334.557625	6503993.5339250015	5216369.997625	8511748.585825	9291338.579475	7672704.533275	6287195.93685	2806372.1365	9465228.8135	4729661.0265500005	3372407.11175	10285549.354225	5008390.0263	4541565.360766666	NA	1961783.8202666664	4008756.1325	1588962.787275	1977396.8026	2373872.43115	3961302.58715	3751381.5104	3794673.6509	3220469.8584	NA	4432255.07595	NA	2872990.397	1088202.7225	3488892.338050001	NA	2565299.5828	NA	1299468.5402	2608720.593725	1062441.8508666668	NA	2948957.96735	1744296.72495	2730628.437275	2586343.421325	3068339.837233333	3560720.27665	1910889.6786666668	989073.53005	2658868.63315	2259160.1239	3411412.018925
[crap] sp|NQO2_HUMAN|	8974322.835389998	9841133.3405	12520328.679675	10148360.065025	6881330.625325	6560616.455	10078610.93625	7250876.097975	10816352.715825	6213910.5134	3817034.815525	7625615.757375	4317287.69255	16510256.003375	3622976.635575	5750631.7282	5111424.220375	3098585.2012250004	11738254.28055	9775142.449825	6055827.851175001	16355948.11055	6313327.922775	7617093.32195	8769801.156100001	12648256.893075	4698303.70645	6217771.178675	5573766.2907	5044999.00825	5584837.741175	4536301.656675	11460881.85025	6183816.056125	6528981.587075002	7213877.9619499985	5432691.844225	4077443.292375	13835722.78765	5603115.431125	15585289.940675	19413593.863175	1383190.255825	9942121.882875	11401460.1254	7190380.283775	15178422.75465	7436842.5084500015	7270602.98545	3202311.10615	20975741.68715	4819174.0093	13193286.64335	10006423.503725	14828240.833425	15148137.08245	9673536.345275	13544486.68765	3850188.8862	15883914.42005	5015584.4725	4213364.221525	11891200.308975	15555520.98905	5962881.673175	9256596.56155	20467010.91495	16317846.69215	8931487.8484	3057116.790025	16210299.9048	13686591.0442	4203490.6694	8901120.82735	4046460.232825	11221999.65355	9845865.701975	7763123.951725	12452203.5125	9982153.59705	5838097.85575	9913470.97815	6463123.39215	8437133.9418	4175158.659225	5653889.355699998	6541440.017825	4015623.0575	2035102.8948	7006689.166774998	2478926.173475	6347874.591075001	11090441.331975	5543191.00545	4491293.30145	4887935.374325	11197422.55155	16415042.8276	7754691.904625	13843358.636875	1452107.38585	12587238.8935	8973138.656849999	8928412.906125	5190842.262125	10919822.68815	3165084.949425
[crap] sp|PPIA_HUMAN|	NA	1134197.4814	NA	NA	NA	NA	NA	NA	NA	NA	6034345.862675001	NA	NA	NA	NA	5642733.866225001	5982511.0818	NA	2506591.395725	4228047.958025	4043623.859425	5006726.368125	5405800.5304000005	NA	6428776.944924999	NA	4255781.509625	5715399.793225	6095569.6715	5528864.715675	NA	6915000.411675	1007885.23435	1464626.7048	NA	7575341.658175	8111919.757975001	NA	NA	NA	1388572.52485	1153881.25375	NA	1055166.89465	1359020.95875	NA	765946.2727	NA	1075146.93315	429410.0147	1724238.8325	NA	NA	NA	NA	1252991.82615	1174604.3902	1438709.9517	1263707.9076	1334031.6137	NA	1118606.8062	1417607.6479	NA	877185.05645	975137.04605	1190030.297425	NA	704114.1451	NA	NA	1356025.218	530636.7604	NA	NA	NA	NA	NA	NA	NA	NA	NA	2790541.1518	3297310.17255	5381973.983275	3968421.1647	4363503.3573	3075444.2469333336	3532955.6173	6833393.600575	4478262.00975	6710187.473850002	6010708.5211	5854065.604475	6596689.9545	5815431.309075	3332085.159075	5592894.013649999	4247992.7403500015	5690742.676099999	3045721.0691	7197304.203325	4931155.263125	7724396.461899999	3626714.15345	4618193.37845	1214028.9129
"[orf_trans_mod] EFB1/YAL003W SGDID:S000000003, Chr I from 142176-142255,142622-143162, Verified ORF, ""Translation elongation factor 1 beta; stimulates nucleotide exchange to regenerate EF-1 alpha-GTP for the next elongation cycle; part of the EF-1 complex, which facilitates binding of aminoacyl-tRNA to the ribosomal A site"""	45227429.66063999	47262145.91819	44236656.24145	35114133.381425	42818321.7758	39447562.346425	40266988.5257	38638896.901775	27883310.989775	40024309.6955	33399584.8254	49517005.325	21518729.887675	45762895.874175	19181488.6514	49538629.32065	39176396.75735	29003004.363825	50032131.929825	45207573.62975	35734954.233275	43798864.7745	29487499.436125007	38949787.239725	39410850.262675	52548353.68197501	34551450.527174994	39589315.42145	39804660.7471	42926400.031325	37232588.55607501	41972663.8082	45382875.699425	35194337.053225	50682561.856875	48890743.063725	43523037.32365	24697853.978824995	47317907.98225	45330502.680325	44840608.67605	41719582.58205	19895041.622725	37023850.104525	40086905.918775	28360675.70965	40346373.590375	27523616.24815	42866383.22057501	16811065.3713	45445188.85222501	22058031.346825	46895357.522475	46495026.970225	52486316.967825	48146862.03495	31177764.384925	59513325.4375	27065825.645900004	40997440.57225	28549703.032125	27128106.08935	47281334.26535	35594101.33515	39245407.7965	28973793.29225	55988769.941425	40686089.85385	31901470.798	22784421.9325	44057721.4592	38063108.8847	26138676.841225	50410317.88945	25764200.906925	40544423.200375	57799226.04535	50948683.37882501	60321683.92752501	46623042.4227	34366217.16885	24929464.242675	32063677.152075	34808807.61585	33293090.106025	38320033.133475	33770433.985025	21733674.170725	20142287.081175	39272426.279625	22556489.544025	42782491.445775	40111102.2973	28549000.454625007	33168654.227325	40912117.8099	25161640.176425	41867396.0518	36321381.660325	42538385.778975	18570802.4452	30546167.33355	43255896.730425	45608061.66265	26998112.874625	45437261.022975	23574601.9526
"[orf_trans_mod] SSA1/YAL005C SGDID:S000000004, Chr I from 141433-139505, reverse complement, Verified ORF, ""ATPase involved in protein folding and nuclear localization signal (NLS)-directed nuclear transport; member of heat shock protein 70 (HSP70) family; forms a chaperone complex with Ydj1p; localized to the nucleus, cytoplasm, and cell wall"""	13153234.34308	6366782.574150002	10470481.4955	8798039.195675	10728676.202325	11006036.50625	5731411.378625	5293268.775775	11756690.480499998	10741155.03135	10974532.33145	11685452.800524997	6028016.586975	7885336.034075001	4102013.41775	7011804.340024998	9360364.20275	6509815.127900002	6427803.204825	18185208.387475	9377951.75165	9212321.1494	12788596.6025	16657399.768575003	7542826.6069749985	12906392.286775	20717346.136475	6452213.801725	6993287.456950001	7598948.607024998	12981570.670899998	11631447.331725	9077706.11705	14372236.122225	6188656.444175	9412272.769225	9908945.59955	6459507.44675	6470459.07155	9324914.573575	9662815.6725	8291468.7453	6062354.736125	6780070.06765	8384458.045175001	8560948.45875	13558969.893075	5162457.367125001	10288288.56365	5741568.296025	9583592.960675	6593319.2555	14441180.903675	16540897.160275	4959376.8668	9305506.254625	16356453.564	12629855.202900002	5591999.695825	20448635.014575	12700222.913525	6295238.68875	5115128.851825	9742917.5423	13835611.06025	5640045.796125	9778096.550825	13284896.4503	8769999.8198	8326936.454775	5710150.355825	14460808.500225	4899901.19155	8418112.189775001	3281013.287025	9440735.038625	7991083.124825002	7177444.56005	4136639.794175	6475053.373450002	14155445.352125	10781160.12555	6865578.601600002	9183012.5861	3379212.036225	10266153.858575	9503331.102425	7528827.562999999	5607649.48805	10436063.2857	5396949.578725001	11084277.596875	5897732.0986250015	7102311.9139749985	11481586.641775	17144110.39485	7088468.318600001	11082539.5621	5039844.4596	6354331.700825	6563658.109075001	4392010.8803	3495396.1555500007	11827220.576	4438448.069675	5101126.583075	11549396.7382
"[orf_trans_mod] ERP2/YAL007C SGDID:S000000005, Chr I from 138347-137700, reverse complement, Verified ORF, ""Protein that forms a heterotrimeric complex with Erp1p, Emp24p, and Erv25p; member, along with Emp24p and Erv25p, of the p24 family involved in ER to Golgi transport and localized to COPII-coated vesicles"" ||||| [orf_trans_mod] ERP4/YOR016C SGDID:S000005542, Chr XV from 361084-360461, reverse complement, Verified ORF, ""Protein with similarity to Emp24p and Erv25p, member of the p24 family involved in ER to Golgi transport"""	606925.8748428571	695006.5415111111	535722.4607333333	507180.56035	561026.3756333332	746054.6694	642921.0493666667	565511.7648	NA	647017.319	333438.8885	NA	NA	509686.2972	NA	574174.2442333334	627615.14645	NA	524025.24236666673	659022.3509333334	476733.1291333333	766960.71475	483104.9808333333	NA	499567.157075	NA	442783.736775	526895.5918	655453.6203999999	768995.021375	NA	640064.2527750001	631169.9035	NA	512113.214	762691.2184666665	622867.992625	NA	613868.34115	573176.4678	327110.6125	551432.90575	NA	522155.9807	545404.796825	398927.8477333333	503260.485375	571718.3781333334	645048.2977499999	412619.16656666674	910611.7464750002	424829.147075	714314.286775	626055.146375	523725.792875	693567.845575	600792.610425	648509.3079499999	371965.5363	932884.21675	310837.299	476770.24945	629720.659425	527831.24955	637162.9834	530688.29575	812581.48755	542531.99575	539148.8871500001	415512.86723333335	672020.2308333333	780916.025	446445.30380000005	656698.8776	NA	773381.93875	692783.2886	NA	769430.41	NA	774185.7659	NA	NA	NA	NA	515966.10443333327	844701.7276000001	NA	98213.7063	661540.697775	392577.97265	786983.8856	589482.7417	520718.0928	505896.8537	901039.164075	520114.0921666667	858144.1645	351066.1478	566185.491575	NA	322723.1587	499989.70960000006	921370.272675	442581.87700000004	601938.0415333335	NA
