Standard name	Systematic name
AAC1	YMR056C
AAC3	YBR085W
AAD10	YJR155W
AAD14	YNL331C
AAD15	YOL165C
AAD16	YPL088W
AAD3	YCR107W
AAD4	YDL243C
AAD6	YFL056C
AAH1	YNL141W
AAP1	YHR047C
AAR2	YBL074C
AAT1	YKL106W
AAT2	YLR027C
ASP5	YLR027C
ABD1	YBR236C
ABF1	YKL112W
BAF1	YKL112W
OBF1	YKL112W
REB2	YKL112W
SBF1	YKL112W
ABF2	YMR072W
HIM1	YMR072W
ABM1	YJR108W
ABP1	YCR088W
ABP140	YOR239W
TRM140	YOR239W
ABZ1	YNR033W
ABZ2	YMR289W
ACA1	YER045C
ACB1	YGR037C
ACB	YGR037C
ACC1	YNR016C
ABP2	YNR016C
FAS3	YNR016C
MTR7	YNR016C
ACE2	YLR131C
ACF2	YLR144C
ENG2	YLR144C
PCA1	YLR144C
ACF4	YJR083C
ACH1	YBL015W
ACK1	YDL203C
ACL4	YDR161W
ACM1	YPL267W
ACO1	YLR304C
GLU1	YLR304C
ACO2	YJL200C
ACP1	YKL192C
ACS1	YAL054C
ACS2	YLR153C
ACT1	YFL039C
ABY1	YFL039C
END7	YFL039C
ADA2	YDR448W
ADD37	YMR184W
ADD66	YKL206C
PBA2	YKL206C
POC2	YKL206C
ADE1	YAR015W
ADE12	YNL220W
ADE13	YLR359W
ADE16	YLR028C
ADE17	YMR120C
ADE2	YOR128C
ADE3	YGR204W
ADE4	YMR300C
ADE5,7	YGL234W
ADE6	YGR061C
ADE8	YDR408C
ADF1	YCL058W-A
ADH1	YOL086C
ADC1	YOL086C
ADH2	YMR303C
ADR2	YMR303C
ADH3	YMR083W
ADH4	YGL256W
ZRG5	YGL256W
ADH5	YBR145W
ADH6	YMR318C
ADH7	YCR105W
ADI1	YMR009W
ADK1	YDR226W
AKY	YDR226W
AKY1	YDR226W
AKY2	YDR226W
ADK2	YER170W
AKY3	YER170W
PAK3	YER170W
ADO1	YJR105W
ADP1	YCR011C
ADR1	YDR216W
ADY2	YCR010C
ATO1	YCR010C
ADY3	YDL239C
ADY4	YLR227C
AEP1	YMR064W
NCA1	YMR064W
AEP2	YMR282C
ATP13	YMR282C
AEP3	YPL005W
AFG1	YEL052W
AFG	YEL052W
AFG2	YLR397C
AFG3	YER017C
YTA10	YER017C
AFI1	YOR129C
AFR1	YDR085C
AFT1	YGL071W
RCS1	YGL071W
AFT2	YPL202C
AGA1	YNR044W
AGA2	YGL032C
AGC1	YPR021C
AGE1	YDR524C
SAT1	YDR524C
AGE2	YIL044C
AGP1	YCL025C
AGP2	YBR132C
AGP3	YFL055W
AGX1	YFL030W
AHA1	YDR214W
AHC1	YOR023C
AHC2	YCR082W
AHP1	YLR109W
AHT1	YHR093W
AI1	Q0050
AI2	Q0055
AI3	Q0060
ENS3	Q0060
I-SCEIII	Q0060
AI4	Q0065
ENS2	Q0065
I-SCEII	Q0065
AI5_ALPHA	Q0070
I-SCEIV	Q0070
AI5_BETA	Q0075
AIF1	YNR074C
CPD1	YNR074C
AIM10	YER087W
AIM11	YER093C-A
GEP8	YER093C-A
AIM14	YGL160W
AIM17	YHL021C
FMP12	YHL021C
AIM18	YHR198C
FMP22	YHR198C
AIM19	YIL087C
AIM2	YAL049C
AIM20	YIL158W
AIM21	YIR003W
AIM22	YJL046W
AIM23	YJL131C
AIM24	YJR080C
FMP26	YJR080C
AIM25	YJR100C
AIM26	YKL037W
AIM29	YKR074W
AIM3	YBR108W
AIM32	YML050W
AIM33	YML087C
AIM34	YMR003W
AIM36	YMR157C
FMP39	YMR157C
AIM39	YOL053W
AIM41	YOR215C
AIM44	YPL158C
AIM45	YPR004C
AIM46	YHR199C
FMP34	YHR199C
AIM4	YBR194W
SOY1	YBR194W
AIM6	YDL237W
AIM7	YDR063W
AIM9	YER080W
FMP29	YER080W
AIP1	YMR092C
AIR1	YIL079C
AIR2	YDL175C
AKL1	YBR059C
AKR1	YDR264C
AKR2	YOR034C
ALA1	YOR335C
CDC64	YOR335C
ALB1	YJL122W
ALD2	YMR170C
ALD5	YMR170C
ALD3	YMR169C
ALD4	YMR169C
ALD4	YOR374W
ALD7	YOR374W
ALDH2	YOR374W
ALD5	YER073W
ALD3	YER073W
ALDH5	YER073W
ALD6	YPL061W
ALDH1	YPL061W
ALE1	YOR175C
LCA1	YOR175C
LPT1	YOR175C
SLC4	YOR175C
ALF1	YNL148C
ALG1	YBR110W
ALG11	YNL048W
ALG12	YNR030W
ECM39	YNR030W
ALG13	YGL047W
ALG14	YBR070C
ALG2	YGL065C
ALG3	YBL082C
RHK1	YBL082C
ALG5	YPL227C
ALG6	YOR002W
ALG7	YBR243C
TUR1	YBR243C
ALG8	YOR067C
ALG9	YNL219C
ALK1	YGL021W
ALK2	YBL009W
ALO1	YML086C
ALP1	YNL270C
ALR1	YOL130W
ALR2	YFL050C
ALT1	YLR089C
ALT2	YDR111C
ALY1	YKR021W
ART6	YKR021W
ALY2	YJL084C
ART3	YJL084C
AMA1	YGR225W
SPO70	YGR225W
AMD1	YML035C
AMD	YML035C
AMD2	YDR242W
AMDY	YDR242W
