module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
protein localization	37	100.0	37	142	105
meiotic chromosome segregation	3	100.0	3	34	31
phosphatidylinositol 3-kinase complex, class III	20	100.0	20	66	46
phosphatase regulator activity	4	100.0	4	80	76
phosphoprotein phosphatase activity	1	100.0	1	37	36
septin ring	27	100.0	27	56	29
cellular response to heat	62	100.0	62	140	78
termination of RNA polymerase II transcription	1	100.0	1	46	45
attachment of spindle microtubules to kinetochore	4	100.0	4	24	20
mRNA cleavage factor complex	23	100.0	23	77	54
energy coupled proton transmembrane transport, against electrochemical gradient	2	100.0	2	30	28
positive regulation of autophagy	1	100.0	1	2	1
ATP hydrolysis coupled ion transmembrane transport	2	100.0	2	30	28
mRNA cleavage involved in mRNA processing	22	100.0	22	28	6
ATP hydrolysis coupled cation transmembrane transport	2	100.0	2	30	28
regulation of macroautophagy	1	100.0	1	2	1
response to abiotic stimulus	26	100.0	26	27	1
metallo-sulfur cluster assembly	23	100.0	23	31	8
protein dephosphorylation	1	100.0	1	76	75
regulation of protein dephosphorylation	5	100.0	5	59	54
cellular bud neck septin structure	27	100.0	27	56	29
intrinsic component of Golgi membrane	28	100.0	28	55	27
cleavage apparatus septin structure	27	100.0	27	56	29
protein serine|threonine phosphatase complex	1	100.0	1	100	99
sulfur compound metabolic process	107	97.27272727272727	110	154	47
karyogamy	33	97.05882352941177	34	79	46
ribonucleoprotein complex disassembly	77	96.25	80	144	67
peptide metabolic process	84	95.45454545454545	88	114	30
protein localization to chromosome, centromeric region	21	95.45454545454545	22	195	174
negative regulation of protein phosphorylation	82	95.34883720930233	86	160	78
SAGA-type complex	20	95.23809523809524	21	24	4
serine|threonine protein kinase complex	38	95.0	40	118	80
small nucleolar ribonucleoprotein complex assembly	52	94.54545454545455	55	54	2
pre-replicative complex	28	93.33333333333333	30	85	57
protein import into nucleus	28	93.33333333333333	30	29	1
DNA replication preinitiation complex	28	93.33333333333333	30	56	28
protein-DNA complex	28	93.33333333333333	30	78	50
organelle disassembly	97	93.26923076923077	104	231	134
signal sequence binding	38	92.6829268292683	41	46	8
regulation of protein phosphorylation	36	92.3076923076923	39	68	32
mRNA 3'-end processing	48	90.56603773584905	53	58	10
RNA polyadenylation	48	90.56603773584905	53	58	10
response to heat	192	90.14084507042253	213	283	91
core promoter sequence-specific DNA binding	18	90.0	20	72	54
protein-DNA complex assembly	71	89.87341772151899	79	105	34
regulation of autophagy	52	89.65517241379311	58	64	12
histone lysine methylation	60	88.23529411764706	68	82	22
peptidyl-threonine modification	44	88.0	50	58	14
pre-replicative complex assembly involved in cell cycle DNA replication	51	87.93103448275862	58	174	123
intrinsic component of plasma membrane	72	87.8048780487805	82	275	203
U2-type spliceosomal complex	7	87.5	8	67	60
replication fork	28	87.5	32	67	39
negative regulation of chromatin silencing	39	86.66666666666667	45	78	39
cofactor metabolic process	145	86.30952380952381	168	224	79
establishment of protein localization to mitochondrion	107	86.29032258064517	124	156	49
mitochondrial transport	93	86.11111111111111	108	135	42
protein transporter activity	6	85.71428571428571	7	6	0
peptide transmembrane transporter activity	6	85.71428571428571	7	6	0
macromolecule transmembrane transporter activity	6	85.71428571428571	7	6	0
intracellular pH reduction	16	84.21052631578948	19	75	59
mitochondrion disassembly	20	83.33333333333333	24	80	60
transcription by RNA polymerase I	43	82.6923076923077	52	68	25
regulation of chromatin silencing at telomere	28	82.3529411764706	34	30	2
respiratory electron transport chain	135	82.3170731707317	164	201	66
aerobic electron transport chain	69	82.14285714285714	84	69	0
mitotic spindle checkpoint	41	82.0	50	71	30
regulation of growth	27	81.81818181818181	33	32	5
TOR complex	27	81.81818181818181	33	32	5
negative regulation of exit from mitosis	40	81.63265306122449	49	56	16
cellular protein localization	44	81.48148148148148	54	104	60
intracellular protein transmembrane transport	131	81.36645962732919	161	218	87
positive regulation of cellular biosynthetic process	34	80.95238095238095	42	41	7
peptidase complex	21	80.76923076923077	26	26	5
mRNA metabolic process	24	80.0	30	77	53
DNA integrity checkpoint	64	80.0	80	240	176
regulation of macromolecule metabolic process	42	79.24528301886792	53	54	12
regulation of mitotic cell cycle phase transition	29	78.37837837837837	37	42	13
cofactor binding	128	78.04878048780488	164	179	51
organelle localization by membrane tethering	42	77.77777777777777	54	67	25
positive regulation of nucleic acid-templated transcription	24	77.41935483870968	31	77	53
DNA-binding transcription factor activity	24	77.41935483870968	31	60	36
secondary active transmembrane transporter activity	17	77.27272727272727	22	23	6
nucleosome	101	77.09923664122137	131	201	100
growth of unicellular organism as a thread of attached cells	89	76.72413793103448	116	205	116
cell growth	89	76.72413793103448	116	196	107
protein folding	169	75.44642857142857	224	272	103
endoplasmic reticulum organization	49	75.38461538461539	65	82	33
peroxisome organization	49	75.38461538461539	65	68	19
response to stress	74	74.74747474747475	99	113	39
protein processing	35	74.46808510638297	47	104	69
endosomal transport	20	74.07407407407408	27	63	43
plasma membrane protein complex	48	73.84615384615384	65	147	99
DNA helicase activity	28	73.6842105263158	38	58	30
intracellular protein transport	163	73.42342342342343	222	209	46
respiratory chain complex III	76	73.07692307692308	104	102	26
regulation of cellular protein metabolic process	43	72.88135593220339	59	115	72
posttranscriptional regulation of gene expression	43	72.88135593220339	59	115	72
response to osmotic stress	84	72.41379310344827	116	167	83
anatomical structure homeostasis	26	72.22222222222223	36	27	1
telomere organization	26	72.22222222222223	36	27	1
protein modification by small protein conjugation	75	72.11538461538461	104	163	88
signal transduction	116	72.04968944099379	161	237	121
cellular developmental process	51	71.83098591549296	71	102	51
regulation of cyclin-dependent protein kinase activity	5	71.42857142857143	7	101	96
activating transcription factor binding	40	71.42857142857143	56	53	13
regulation of phosphatase activity	5	71.42857142857143	7	38	33
RNA polymerase II transcription factor binding	40	71.42857142857143	56	53	13
autophagosome organization	20	71.42857142857143	28	104	84
mitochondrial membrane part	77	71.29629629629629	108	102	25
regulation of Arp2|3 complex-mediated actin nucleation	22	70.96774193548387	31	31	9
late endosome to vacuole transport	17	70.83333333333333	24	17	0
endosome transport via multivesicular body sorting pathway	17	70.83333333333333	24	17	0
ATPase regulator activity	29	70.73170731707317	41	43	14
regulation of chromatin silencing at silent mating-type cassette	55	69.62025316455696	79	61	6
import into nucleus	120	69.36416184971098	173	135	15
protein localization to nucleus	120	69.36416184971098	173	135	15
double-strand break repair via homologous recombination	96	69.06474820143885	139	139	43
protein import	119	68.78612716763006	173	132	13
heterochromatin	24	68.57142857142857	35	63	39
lysosomal microautophagy	26	68.42105263157895	38	95	69
autophagy of nucleus	26	68.42105263157895	38	95	69
nucleus organization	21	67.74193548387096	31	22	1
cation-transporting ATPase activity	21	67.74193548387096	31	42	21
cellular response to starvation	63	67.74193548387096	93	95	32
protein-containing complex subunit organization	21	67.74193548387096	31	24	3
regulation of catalytic activity	50	67.56756756756756	74	142	92
chaperone complex	80	67.22689075630252	119	126	46
electron transfer activity	86	67.1875	128	105	19
snoRNA binding	49	67.12328767123287	73	77	28
mitochondrial transmembrane transport	57	66.27906976744185	86	76	19
response to temperature stimulus	48	65.75342465753425	73	114	66
regulation of cellular amide metabolic process	43	65.15151515151516	66	131	88
endopeptidase activity	105	64.81481481481481	162	161	56
phospholipid binding	60	64.51612903225806	93	68	8
cell cortex part	156	64.46280991735537	242	277	121
DNA geometric change	25	64.1025641025641	39	25	0
tRNA transport	48	64.0	75	64	16
kinase activity	85	63.909774436090224	133	130	45
positive regulation of transcription from RNA polymerase II promoter in response to stress	53	63.855421686746986	83	62	9
protein kinase activity	112	63.63636363636363	176	162	50
nuclear transport	41	62.121212121212125	66	79	38
membrane organization	116	62.032085561497325	187	163	47
cell development	91	61.904761904761905	147	242	151
homologous recombination	26	61.904761904761905	42	52	26
sexual sporulation resulting in formation of a cellular spore	91	61.904761904761905	147	242	151
microbody	84	61.76470588235294	136	146	62
cellular catabolic process	44	61.111111111111114	72	144	100
rRNA-containing ribonucleoprotein complex export from nucleus	86	60.99290780141844	141	86	0
ribosome localization	86	60.99290780141844	141	86	0
regulation of protein kinase activity	109	60.22099447513812	181	209	100
cytoskeletal part	160	59.9250936329588	267	376	216
establishment of organelle localization	94	59.87261146496815	157	94	0
organelle inheritance	55	59.13978494623656	93	80	25
establishment of protein localization to organelle	130	59.09090909090909	220	138	8
rRNA transcription	43	58.9041095890411	73	68	25
cell cycle	60	58.8235294117647	102	148	88
ribosome	67	58.771929824561404	114	101	34
vesicle docking	14	58.333333333333336	24	24	10
phosphotransferase activity, alcohol group as acceptor	95	58.282208588957054	163	188	93
nucleoplasm part	46	58.22784810126582	79	111	65
proteasomal protein catabolic process	105	57.69230769230769	182	177	72
negative regulation of transcription by RNA polymerase II	117	57.635467980295566	203	234	117
cellular protein-containing complex assembly	150	57.47126436781609	261	349	199
regulation of pseudohyphal growth	27	57.4468085106383	47	47	20
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	27	57.4468085106383	47	37	10
mRNA export from nucleus	58	57.42574257425743	101	65	7
regulation of protein serine|threonine kinase activity	20	57.142857142857146	35	30	10
regulation of TORC1 signaling	4	57.142857142857146	7	6	2
ATPase activity, coupled to transmembrane movement of ions, rotational mechanism	17	56.666666666666664	30	49	32
lytic vacuole membrane	216	55.38461538461539	390	422	206
organelle assembly	78	54.929577464788736	142	418	340
proton-exporting ATPase activity	17	54.83870967741935	31	72	55
integral component of membrane	72	54.54545454545455	132	164	92
ubiquitin-dependent protein catabolic process	104	54.45026178010471	191	169	65
positive regulation of cell cycle process	32	54.23728813559322	59	135	103
reproductive process in single-celled organism	95	53.97727272727273	176	247	152
transferase complex	199	53.929539295392956	369	291	92
membrane microdomain	36	53.73134328358209	67	120	84
cellular protein complex disassembly	29	53.7037037037037	54	41	12
regulation of localization	61	53.50877192982456	114	182	121
inner mitochondrial membrane protein complex	88	53.333333333333336	165	116	28
vacuole fusion	50	53.191489361702125	94	55	5
protein kinase regulator activity	50	53.191489361702125	94	98	48
phosphorylation	145	52.72727272727273	275	232	87
chromatin organization	163	52.58064516129032	310	268	105
translation factor activity, RNA binding	210	52.23880597014925	402	403	193
positive regulation of gene expression	38	52.054794520547944	73	109	71
establishment of cell polarity	14	51.851851851851855	27	151	137
regulation of cell morphogenesis	70	51.851851851851855	135	104	34
actin binding	57	51.81818181818182	110	98	41
cellular response to DNA damage stimulus	148	51.74825174825175	286	317	169
phosphate-containing compound metabolic process	183	51.69491525423729	354	323	140
endocytic patch	85	51.515151515151516	165	114	29
protein targeting	120	51.502145922746784	233	217	97
heterocyclic compound binding	57	51.351351351351354	111	133	76
organic cyclic compound binding	57	51.351351351351354	111	133	76
catalytic activity, acting on a protein	77	51.333333333333336	150	164	87
nucleosome organization	80	51.282051282051285	156	145	65
protein transmembrane import into intracellular organelle	22	51.16279069767442	43	29	7
transcription factor activity, transcription factor recruiting	24	51.06382978723404	47	131	107
cytoplasmic ribonucleoprotein granule	397	50.06305170239597	793	674	277
organelle membrane	76	50.0	152	95	19
RNA splicing, via transesterification reactions with bulged adenosine as nucleophile	20	50.0	40	84	64
