module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
positive regulation of protein kinase activity	95	100.0	95	100	5
intrinsic component of Golgi membrane	28	100.0	28	35	7
attachment of spindle microtubules to kinetochore	4	100.0	4	4	0
response to abiotic stimulus	26	100.0	26	26	0
TOR complex	33	100.0	33	36	3
phosphatase regulator activity	4	100.0	4	37	33
protein deacetylation	30	100.0	30	39	9
histone deacetylase complex	30	100.0	30	39	9
protein localization	37	100.0	37	154	117
ammonium transport	5	100.0	5	103	98
regulation of growth	33	100.0	33	35	2
positive regulation of autophagy	1	100.0	1	1	0
regulation of gluconeogenesis	24	100.0	24	27	3
regulation of macroautophagy	1	100.0	1	1	0
negative regulation of cellular biosynthetic process	24	100.0	24	26	2
phosphatidylinositol 3-kinase complex, class III	20	100.0	20	88	68
ribonucleoprotein complex disassembly	79	98.75	80	106	27
histone lysine methylation	67	98.52941176470588	68	77	10
regulation of translational initiation	57	98.27586206896552	58	58	1
internal peptidyl-lysine acetylation	46	97.87234042553192	47	49	3
basal RNA polymerase II transcription machinery binding	48	96.0	50	50	2
RNA polymerase core enzyme binding	48	96.0	50	50	2
secondary active transmembrane transporter activity	21	95.45454545454545	22	22	1
mitochondrial membrane part	103	95.37037037037037	108	116	13
establishment of protein localization to mitochondrial membrane	16	94.11764705882354	17	18	2
inner mitochondrial membrane organization	16	94.11764705882354	17	19	3
transporter complex	16	94.11764705882354	17	22	6
regulation of Arp2|3 complex-mediated actin nucleation	29	93.54838709677419	31	30	1
catalytic activity, acting on RNA	13	92.85714285714286	14	46	33
mitochondrial transport	100	92.5925925925926	108	109	9
establishment of protein localization to mitochondrion	113	91.12903225806451	124	117	4
histone modification	75	90.36144578313252	83	78	3
protein import into nucleus	27	90.0	30	27	0
transcription by RNA polymerase I	46	88.46153846153847	52	87	41
organelle disassembly	92	88.46153846153847	104	171	79
positive regulation of molecular function	64	87.67123287671232	73	86	22
U2-type spliceosomal complex	7	87.5	8	56	49
protein-DNA complex assembly	69	87.34177215189874	79	72	3
protein localization to chromosome, centromeric region	19	86.36363636363636	22	29	10
antioxidant activity	125	86.20689655172414	145	148	23
negative regulation of protein phosphorylation	74	86.04651162790698	86	82	8
negative regulation of exit from mitosis	42	85.71428571428571	49	58	16
tRNA transport	64	85.33333333333333	75	70	6
response to stress	84	84.84848484848484	99	115	31
nucleosome	111	84.73282442748092	131	170	59
RNA-dependent ATPase activity	69	84.14634146341463	82	104	35
RNA helicase activity	69	84.14634146341463	82	104	35
cellular lipid biosynthetic process	313	83.91420911528151	373	506	193
ergosterol metabolic process	313	83.91420911528151	373	506	193
cellular alcohol biosynthetic process	313	83.91420911528151	373	506	193
phytosteroid biosynthetic process	313	83.91420911528151	373	506	193
