module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
Cytochrome bc1 complex respiratory unit	43	100.0	43	67	24
eIF4F complex	37	94.87179487179488	39	61	24
N-glycosylation by oligosaccharyltransferase	24	85.71428571428571	28	24	0
Proline biosynthesis, glutamate to proline	26	81.25	32	32	6
Leucine biosynthesis, 2-oxoisovalerate to 2-oxoisocaproate	110	80.88235294117646	136	158	48
RNA polymerase I, eukaryotes	14	73.6842105263158	19	26	12
Cytochrome bc1 complex	76	73.07692307692308	104	102	26
C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	66	70.2127659574468	94	72	6
Ergocalciferol biosynthesis	89	66.41791044776119	134	173	84
Pyrimidine ribonucleotide biosynthesis, UMP to UDP|UTP,CDP|CTP	9	64.28571428571429	14	10	1
Pyruvate oxidation, pyruvate to acetyl-CoA	26	61.904761904761905	42	30	4
Pentose phosphate pathway, non-oxidative phase, fructose 6P to ribose 5P	40	57.142857142857146	70	84	44
Nucleotide sugar biosynthesis, glucose to UDP-glucose	25	53.191489361702125	47	144	119
Shikimate pathway, phosphoenolpyruvate + erythrose-4P to chorismate	90	49.18032786885246	183	111	21
Citrate cycle, second carbon oxidation, 2-oxoglutarate to oxaloacetate	7	46.666666666666664	15	21	14
Valine|isoleucine biosynthesis, pyruvate to valine | 2-oxobutanoate to isoleucine	93	45.14563106796116	206	162	69
Fatty acid biosynthesis, initiation	54	42.857142857142854	126	93	39
Isoleucine biosynthesis, threonine to 2-oxobutanoate to isoleucine	121	41.86851211072664	289	186	65
Citrate cycle (TCA cycle, Krebs cycle)	74	41.57303370786517	178	145	71
Tryptophan biosynthesis, chorismate to tryptophan	47	41.228070175438596	114	53	6
Citrate cycle, first carbon oxidation, oxaloacetate to 2-oxoglutarate	67	41.104294478527606	163	137	70
Guanine ribonucleotide biosynthesis IMP to GDP,GTP	13	40.625	32	102	89
Glyoxylate cycle	41	36.93693693693694	111	85	44
C5 isoprenoid biosynthesis, mevalonate pathway	96	36.090225563909776	266	100	4
Fatty acid biosynthesis, elongation	31	36.04651162790697	86	124	93
Gluconeogenesis, oxaloacetate to fructose-6P	33	33.673469387755105	98	118	85
Glycolysis (Embden-Meyerhof pathway), glucose to pyruvate	53	33.54430379746835	158	194	141
ESCRT-0 complex	14	33.333333333333336	42	56	42
Arginine biosynthesis, ornithine to arginine	27	32.926829268292686	82	47	20
Serine biosynthesis, glycerate-3P to serine	28	32.55813953488372	86	28	0
Glycolysis, core module involving three-carbon compounds	24	31.16883116883117	77	77	53
Pentose phosphate pathway (Pentose phosphate cycle)	48	27.586206896551722	174	156	108
C1-unit interconversion, eukaryotes	27	25.96153846153846	104	33	6
Lysine biosynthesis, 2-oxoglutarate to 2-oxoadipate	33	25.19083969465649	131	54	21
Adenine ribonucleotide biosynthesis, IMP to ADP,ATP	11	22.448979591836736	49	12	1
Methionine salvage pathway	23	19.166666666666668	120	119	96
Lysine biosynthesis, AAA pathway, 2-oxoglutarate to 2-aminoadipate to lysine	33	18.75	176	64	31
Uridine monophosphate biosynthesis, glutamine (+ PRPP) to UMP	19	18.446601941747574	103	70	51
p97-Ufd1-Npl4 complex	4	14.285714285714286	28	45	41
Ribosome, eukaryotes	149	9.993293091884642	1491	445	296
Threonine biosynthesis, aspartate to homoserine to threonine	13	9.090909090909092	143	20	7
Cysteine biosynthesis, homocysteine + serine to cysteine	1	3.5714285714285716	28	1	0
Aminoacyl-tRNA biosynthesis, eukaryotes	2	1.492537313432836	134	27	25
N-glycan precursor trimming	0	0.0	44	5	5
N-glycan precursor biosynthesis	0	0.0	44	0	0
beta-Oxidation, acyl-CoA synthesis	0	0.0	5	26	26
COPII complex	0	0.0	22	0	0
Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate to ubiquinone	0	0.0	14	0	0
DNA polymerase epsilon complex	0	0.0	33	0	0
Sphingosine degradation	0	0.0	34	0	0
ESCRT-III complex	0	0.0	9	0	0
Exosome, eukaryotes	0	0.0	4	58	58
F-type ATPase, eukaryotes	0	0.0	11	0	0
GABA (gamma-Aminobutyrate) shunt	0	0.0	1	0	0
GPI-anchor biosynthesis, core oligosaccharide	0	0.0	7	0	0
Proteasome, 20S core particle	0	0.0	8	0	0
Proteasome, 19S regulatory particle (PA700)	0	0.0	33	0	0
Galactose degradation, Leloir pathway, galactose to alpha-D-glucose-1P	0	0.0	47	1	1
Phosphatidylethanolamine (PE) biosynthesis, PA to PS to PE	0	0.0	13	0	0
Phenylalanine biosynthesis, chorismate to phenylalanine	0	0.0	45	0	0
Pentose phosphate pathway, oxidative phase, glucose 6P to ribulose 5P	0	0.0	72	0	0
Histidine biosynthesis, PRPP to histidine	0	0.0	66	0	0
Inosine monophosphate biosynthesis, PRPP + glutamine to IMP	0	0.0	54	34	34
N-glycan biosynthesis, high-mannose type	0	0.0	2	12	12
Acylglycerol degradation	0	0.0	41	8	8
