module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
Cytochrome bc1 complex respiratory unit	43	100.0	43	45	2
beta-Oxidation, acyl-CoA synthesis	5	100.0	5	103	98
Ergocalciferol biosynthesis	134	100.0	134	195	61
C10-C20 isoprenoid biosynthesis, non-plant eukaryotes	88	93.61702127659575	94	96	8
eIF4F complex	35	89.74358974358974	39	159	124
Nucleotide sugar biosynthesis, glucose to UDP-glucose	42	89.36170212765957	47	139	97
Exosome, eukaryotes	3	75.0	4	38	35
Cytochrome bc1 complex	76	73.07692307692308	104	81	5
C5 isoprenoid biosynthesis, mevalonate pathway	192	72.18045112781955	266	212	20
Cysteine biosynthesis, homocysteine + serine to cysteine	20	71.42857142857143	28	49	29
Pyrimidine ribonucleotide biosynthesis, UMP to UDP|UTP,CDP|CTP	9	64.28571428571429	14	9	0
N-glycan precursor biosynthesis	26	59.09090909090909	44	74	48
Pentose phosphate pathway, non-oxidative phase, fructose 6P to ribose 5P	40	57.142857142857146	70	64	24
F-type ATPase, eukaryotes	6	54.54545454545455	11	6	0
Citrate cycle, second carbon oxidation, 2-oxoglutarate to oxaloacetate	7	46.666666666666664	15	7	0
Guanine ribonucleotide biosynthesis IMP to GDP,GTP	14	43.75	32	66	52
Valine|isoleucine biosynthesis, pyruvate to valine | 2-oxobutanoate to isoleucine	79	38.349514563106794	206	122	43
Serine biosynthesis, glycerate-3P to serine	31	36.04651162790697	86	58	27
Ubiquinone biosynthesis, eukaryotes, 4-hydroxybenzoate to ubiquinone	5	35.714285714285715	14	5	0
Isoleucine biosynthesis, threonine to 2-oxobutanoate to isoleucine	103	35.6401384083045	289	133	30
Pentose phosphate pathway (Pentose phosphate cycle)	52	29.885057471264368	174	55	3
Ribosome, eukaryotes	370	24.815560026827633	1491	427	57
Methionine salvage pathway	29	24.166666666666668	120	72	43
Tryptophan biosynthesis, chorismate to tryptophan	27	23.68421052631579	114	58	31
Pentose phosphate pathway, oxidative phase, glucose 6P to ribulose 5P	15	20.833333333333332	72	15	0
DNA polymerase epsilon complex	6	18.181818181818183	33	6	0
Adenine ribonucleotide biosynthesis, IMP to ADP,ATP	8	16.3265306122449	49	8	0
Shikimate pathway, phosphoenolpyruvate + erythrose-4P to chorismate	29	15.846994535519126	183	53	24
Fatty acid biosynthesis, initiation	19	15.079365079365079	126	24	5
C1-unit interconversion, eukaryotes	13	12.5	104	14	1
Leucine biosynthesis, 2-oxoisovalerate to 2-oxoisocaproate	16	11.764705882352942	136	17	1
Uridine monophosphate biosynthesis, glutamine (+ PRPP) to UMP	12	11.650485436893204	103	35	23
Acylglycerol degradation	3	7.317073170731708	41	3	0
p97-Ufd1-Npl4 complex	2	7.142857142857143	28	2	0
Fatty acid biosynthesis, elongation	6	6.976744186046512	86	8	2
Citrate cycle (TCA cycle, Krebs cycle)	12	6.741573033707865	178	16	4
Phenylalanine biosynthesis, chorismate to phenylalanine	3	6.666666666666667	45	4	1
Glycolysis (Embden-Meyerhof pathway), glucose to pyruvate	10	6.329113924050633	158	15	5
Glyoxylate cycle	7	6.306306306306307	111	7	0
Citrate cycle, first carbon oxidation, oxaloacetate to 2-oxoglutarate	5	3.067484662576687	163	9	4
Gluconeogenesis, oxaloacetate to fructose-6P	2	2.0408163265306123	98	7	5
Glycolysis, core module involving three-carbon compounds	1	1.2987012987012987	77	6	5
RNA polymerase I, eukaryotes	0	0.0	19	24	24
N-glycosylation by oligosaccharyltransferase	0	0.0	28	0	0
Inosine monophosphate biosynthesis, PRPP + glutamine to IMP	0	0.0	54	0	0
Proline biosynthesis, glutamate to proline	0	0.0	32	0	0
Phosphatidylethanolamine (PE) biosynthesis, PA to PS to PE	0	0.0	13	0	0
GPI-anchor biosynthesis, core oligosaccharide	0	0.0	7	0	0
Histidine biosynthesis, PRPP to histidine	0	0.0	66	0	0
GABA (gamma-Aminobutyrate) shunt	0	0.0	1	0	0
N-glycan biosynthesis, high-mannose type	0	0.0	2	263	263
Arginine biosynthesis, ornithine to arginine	0	0.0	82	5	5
Aminoacyl-tRNA biosynthesis, eukaryotes	0	0.0	134	0	0
Proteasome, 20S core particle	0	0.0	8	0	0
COPII complex	0	0.0	22	0	0
N-glycan precursor trimming	0	0.0	44	0	0
ESCRT-0 complex	0	0.0	42	0	0
Sphingosine degradation	0	0.0	34	0	0
Pyruvate oxidation, pyruvate to acetyl-CoA	0	0.0	42	0	0
Threonine biosynthesis, aspartate to homoserine to threonine	0	0.0	143	0	0
Lysine biosynthesis, 2-oxoglutarate to 2-oxoadipate	0	0.0	131	0	0
Proteasome, 19S regulatory particle (PA700)	0	0.0	33	0	0
ESCRT-III complex	0	0.0	9	0	0
Galactose degradation, Leloir pathway, galactose to alpha-D-glucose-1P	0	0.0	47	0	0
Lysine biosynthesis, AAA pathway, 2-oxoglutarate to 2-aminoadipate to lysine	0	0.0	176	0	0
