module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
Sesquiterpenoid and triterpenoid biosynthesis 	19	100.0	19	22	3
Steroid biosynthesis 	153	99.35064935064935	154	222	69
Synthesis and degradation of ketone bodies 	112	94.91525423728814	118	128	16
Arachidonic acid metabolism 	25	92.5925925925926	27	36	11
Longevity regulating pathway - multiple species 	238	87.17948717948718	273	282	44
Butanoate metabolism 	184	84.40366972477064	218	305	121
Spliceosome 	124	83.78378378378379	148	127	3
Autophagy - other 	45	78.94736842105263	57	114	69
Terpenoid backbone biosynthesis 	240	76.43312101910828	314	260	20
Propanoate metabolism 	108	76.05633802816901	142	164	56
Fructose and mannose metabolism 	98	71.01449275362319	138	248	150
C5-Branched dibasic acid metabolism 	71	69.6078431372549	102	101	30
Various types of N-glycan biosynthesis 	36	64.28571428571429	56	92	56
Phagosome 	33	61.111111111111114	54	47	14
Oxidative phosphorylation 	92	57.5	160	98	6
Phosphatidylinositol signaling system 	29	56.86274509803921	51	63	34
Starch and sucrose metabolism 	135	56.25	240	224	89
Peroxisome 	62	49.6	125	154	92
Endocytosis 	134	47.34982332155477	283	155	21
Amino sugar and nucleotide sugar metabolism 	101	46.75925925925926	216	288	187
Valine, leucine and isoleucine degradation 	121	45.149253731343286	268	153	32
Selenocompound metabolism 	39	44.827586206896555	87	40	1
Methane metabolism 	131	43.95973154362416	298	230	99
MAPK signaling pathway - yeast 	115	43.89312977099237	262	205	90
Galactose metabolism 	42	43.29896907216495	97	112	70
Pantothenate and CoA biosynthesis 	79	38.349514563106794	206	122	43
Fatty acid degradation 	94	38.21138211382114	246	257	163
Protein processing in endoplasmic reticulum 	147	36.8421052631579	399	151	4
Lysine degradation 	53	34.193548387096776	155	59	6
Glyoxylate and dicarboxylate metabolism 	117	31.9672131147541	366	144	27
Pyruvate metabolism 	203	31.375579598145286	647	284	81
Pentose phosphate pathway 	62	30.541871921182267	203	78	16
N-Glycan biosynthesis 	35	29.661016949152543	118	67	32
Mitophagy - yeast 	28	28.571428571428573	98	28	0
Valine, leucine and isoleucine biosynthesis 	121	28.470588235294116	425	153	32
Pyrimidine metabolism 	70	28.11244979919679	249	119	49
Ribosome biogenesis in eukaryotes 	68	24.90842490842491	273	72	4
Tryptophan metabolism 	56	24.88888888888889	225	64	8
Ribosome 	370	24.815560026827633	1491	427	57
Inositol phosphate metabolism 	20	21.50537634408602	93	56	36
Autophagy - yeast 	35	21.47239263803681	163	35	0
Fatty acid biosynthesis 	28	21.374045801526716	131	132	104
Glycolysis | Gluconeogenesis 	111	20.63197026022305	538	133	22
Tyrosine metabolism 	33	19.186046511627907	172	78	45
Glycine, serine and threonine metabolism 	114	18.96838602329451	601	172	58
Purine metabolism 	45	18.218623481781375	247	116	71
Cyanoamino acid metabolism 	11	18.0327868852459	61	12	1
RNA transport 	53	16.510903426791277	321	57	4
Cell cycle - yeast 	39	15.98360655737705	244	94	55
Glutathione metabolism 	30	15.789473684210526	190	33	3
Glycerophospholipid metabolism 	8	15.384615384615385	52	8	0
Pentose and glucuronate interconversions 	9	14.754098360655737	61	13	4
Phenylalanine, tyrosine and tryptophan biosynthesis 	56	14.659685863874346	382	89	33
Ubiquinone and other terpenoid-quinone biosynthesis 	8	13.559322033898304	59	9	1
Cysteine and methionine metabolism 	66	12.815533980582524	515	119	53
Ubiquitin mediated proteolysis 	17	12.686567164179104	134	18	1
Vitamin B6 metabolism 	15	11.538461538461538	130	58	43
SNARE interactions in vesicular transport 	4	8.51063829787234	47	4	0
RNA degradation 	6	8.333333333333334	72	32	26
Alanine, aspartate and glutamate metabolism 	22	6.748466257668712	326	103	81
One carbon pool by folate 	11	6.626506024096385	166	12	1
Homologous recombination 	2	6.0606060606060606	33	2	0
beta-Alanine metabolism 	4	3.7383177570093458	107	4	0
Histidine metabolism 	4	2.4242424242424243	165	4	0
Glycerolipid metabolism 	4	2.1390374331550803	187	4	0
Arginine and proline metabolism 	4	2.094240837696335	191	4	0
Hippo signaling pathway - multiple species 	0	0.0	48	0	0
Phenylalanine metabolism 	0	0.0	85	0	0
Protein export 	0	0.0	43	0	0
Porphyrin and chlorophyll metabolism 	0	0.0	49	0	0
AGE-RAGE signaling pathway in diabetic complications 	0	0.0	2	0	0
Arginine biosynthesis 	0	0.0	152	67	67
Monobactam biosynthesis 	0	0.0	96	0	0
Other types of O-glycan biosynthesis 	0	0.0	57	0	0
Sulfur metabolism 	0	0.0	46	0	0
Sulfur relay system 	0	0.0	3	0	0
Mannose type O-glycan biosynthesis 	0	0.0	29	0	0
mRNA surveillance pathway 	0	0.0	90	0	0
Carbapenem biosynthesis 	0	0.0	32	0	0
Other glycan degradation 	0	0.0	26	0	0
Aminoacyl-tRNA biosynthesis 	0	0.0	134	0	0
RNA polymerase 	0	0.0	19	3	3
Thiamine metabolism 	0	0.0	4	0	0
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	0	0.0	7	0	0
Base excision repair 	0	0.0	74	0	0
Nitrogen metabolism 	0	0.0	30	0	0
Nicotinate and nicotinamide metabolism 	0	0.0	14	0	0
DNA replication 	0	0.0	39	0	0
Meiosis - yeast 	0	0.0	156	0	0
Nucleotide excision repair 	0	0.0	58	0	0
Riboflavin metabolism 	0	0.0	61	0	0
Ether lipid metabolism 	0	0.0	29	0	0
Lysine biosynthesis 	0	0.0	272	0	0
Citrate cycle (TCA cycle) 	0	0.0	247	0	0
Proteasome 	0	0.0	41	0	0
Mismatch repair 	0	0.0	35	0	0
Sphingolipid metabolism 	0	0.0	34	0	0
