module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
colocalization	2651	74.1331096196868	3576	4154	1503
association	6532	67.84378894889905	9628	10590	4058
additive genetic interaction defined by inequality	8741	67.55023183925812	12940	14216	5475
synthetic genetic interaction defined by inequality	8330	66.98295271791572	12436	13471	5141
direct interaction	8059	66.84638354346383	12056	13162	5103
suppressive genetic interaction defined by inequality	8805	66.62883087400681	13215	14265	5460
genetic	8890	65.725269850658	13526	14445	5555
physical association	8875	65.43537565435376	13563	14406	5531
all	8890	65.14252216604382	13647	14445	5555
physical	8890	65.14252216604382	13647	14445	5555
