module_name	common_pQTLs	overlap_ratio	old_pQTLs	predicted_pQTLs	delta
Respiration, oxidative phosphorylation, mitochondrial targeting	133	56.118143459915615	237	150	17
Ribosome biogenesis	256	42.80936454849498	598	267	11
Glycosylation, protein folding|targeting, cell wall biosynthesis	162	40.6015037593985	399	173	11
rDNA & ncDNA processing	88	36.36363636363637	242	98	10
mRNA & tRNA processing	54	33.12883435582822	163	94	40
Vesicle traffic	22	20.37037037037037	108	25	3
Nuclear-cytoplasmic transport	22	18.181818181818183	121	22	0
Cell polarity & morphogenesis	5	5.747126436781609	87	5	0
Protein degradation|turnover	2	2.7777777777777777	72	2	0
Mitosis & chromosome segregation	2	0.9259259259259259	216	9	7
MVB sorting and pH depending signaling	0	0.0	36	0	0
Transcription & chromatin organization	0	0.0	37	0	0
DNA replication & repair	0	0.0	247	0	0
Metabolism	0	0.0	62	0	0
