SNP	gene	p.value	FDR	q.value
SLI15	SEC4	1.44887669973116e-06	0.00155735558004574	0.00148326845027176
RPB5	SEC4	3.1814235919695803e-06	0.0028838194790853197	0.00274662928904184
RTC2	SEC4	3.22138314705489e-06	0.00290889052995392	0.00277050765005652
NBR034W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
NBR035W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
MAK5	SEC4	9.69450143815881e-06	0.0067525022345986795	0.00643126955288885
NBR031C	SEC4	1.03245147519976e-05	0.00706654149416846	0.00673036921377225
SLI15	ATG1	1.5080300009493801e-05	0.0094223013965295	0.008974059983149929
YBR144C	SEC4	1.64676670921748e-05	0.0100429039258429	0.00956513896580744
gBR08	SEC4	2.8256055666244396e-05	0.0148731338886751	0.0141655833365245
IRA1	SEC4	3.35315277953789e-05	0.0168349360223055	0.0160340578504851
RPB5	ATG1	4.46056478088742e-05	0.0205413242873265	0.0195641243609231
LEU2	PEP4	4.6075519724889294e-05	0.0210288116228017	0.0200284207578937
RTC2	ATG1	5.57722941511415e-05	0.0240502667479342	0.0229061380361079
NBR034W	ATG1	6.263244113180141e-05	0.0261756154015203	0.0249303787709047
NBR035W	ATG1	6.263244113180141e-05	0.0261756154015203	0.0249303787709047
gBR07	SEC4	7.43506055808e-05	0.0295058670382645	0.0281022023721041
MAK5	ATG1	7.60325422972253e-05	0.0300221896554475	0.0285939622874644
NBR056W	ATG1	8.03725945990016e-05	0.031246753884574	0.0297602710673395
YCL065W	SEC4	9.63750754276487e-05	0.0355884765893011	0.0338954476386149
NBR041W	ATG1	9.80843286013708e-05	0.0360087880013975	0.034295763831551
YBR139W	SEC4	0.000114176338920017	0.0399089693296143	0.0380104042056607
NBR051C	ATG1	0.00011747152946708999	0.0407152703191201	0.0387783475286117
YBR137W	SEC4	0.00012204820274536299	0.0416614028603759	0.039679470281952005
ECM31	ATG1	0.000130129088563267	0.04359305274978299	0.0415192269660639
NBR038W	ATG1	0.000135446622870571	0.0446809075295779	0.0425553298920892
RED1	ATG9	0.000137334333583738	0.0450503527391553	0.0429071997094203
YCL022C	PEP4	0.000139642273369328	0.0455782405829387	0.0434099746658905
gCL01	PEP4	0.000150138889434797	0.0479454249295635	0.0456645463913935
NBR031C	ATG1	0.00015150806272743	0.0482442118077865	0.0459491192631908
AGP2	SEC4	0.000157572913287643	0.0495581351436249	0.0472005361233455
YBR138C	SEC4	0.000161517422578778	0.0504351609280502	0.0480358396935645
YLR257W	ATG9	0.000167225497672029	0.0516241320834707	0.0491682486473799
VPS63	ATG9	0.000168117768385756	0.0518403675717077	0.0493741972962568
