p_value	real_mean	simulated_mean
0.0	0.25	0.0
0.0	0.25	0.0
0.0	0.25	0.0
0.0	0.25	0.0
0.0	0.25	0.0
0.125	0.25	0.0
0.125	0.25	0.0
0.125	0.25	0.0
0.125	0.25	0.0
0.125	0.25	0.0
0.125	0.25	0.0
0.125	0.19999999999999998	0.0
0.6436608050408421	0.057142857142857155	0.0
0.6436608050408421	0.04081632653061224	0.0
0.6436608050408421	0.042857142857142864	0.0
0.6436608050408421	0.042857142857142864	0.0
0.6436608050408421	0.03896103896103897	0.0
0.6436608050408421	0.05494505494505496	0.0
0.5751343812501344	0.07692307692307691	0.0
0.563663106814899	0.07692307692307691	0.0
0.563663106814899	0.0625	0.0
0.5373216100816841	0.0625	0.0
