SNP	gene	p.value	FDR	q.value
NBR031C	TOP1	2.42104196142803e-08	3.630051382510229e-05	3.29642602310153e-05
NBR034W	TOP1	3.29588061731294e-08	4.72973641587173e-05	4.29504284121428e-05
NBR035W	TOP1	3.29588061731294e-08	4.72973641587173e-05	4.29504284121428e-05
RPB5	TOP1	3.61347984647636e-08	5.1240950107088705e-05	4.65315731328987e-05
RTC2	TOP1	5.90281928489841e-08	7.89549159482167e-05	7.16984450516279e-05
YBR162W	TOP1	9.52118627301095e-08	0.00011988138569596201	0.00010886350573373101
EXO5	TOP1	2.4371181453491895e-07	0.000270404807191116	0.000245552844648759
UBS1	TOP1	2.4371181453491895e-07	0.000270404807191116	0.000245552844648759
TYR1	TOP1	3.8479897920087e-07	0.000398925399492375	0.000362261557645908
CSH1	TOP1	4.7634369949923705e-07	0.000478743169935845	0.000434743555246133
MAK5	TOP1	4.89340251628879e-07	0.000489788092597253	0.000444773377595103
ECM31	TOP1	5.345244329445211e-07	0.000527042411348794	0.00047860378186904403
YBR174C	TOP1	5.52742566227794e-07	0.0005415273462941849	0.000491757456973197
YBR144C	TOP1	7.17805215397401e-07	0.000675177509696897	0.000613124300085982
PCH2	TOP1	8.968639925260071e-07	0.000813565303227447	0.000738793354268419
NBR041W	TOP1	9.01609476231432e-07	0.000816879879761488	0.000741803299635865
NBR038W	TOP1	9.484596151839349e-07	0.000853258355420515	0.000774838356500612
gBR08	TOP1	1.7653980443313203e-06	0.00143415420917841	0.00130234609875057
SLI15	TOP1	2.05201714091809e-06	0.00161799565215285	0.0014692913160181
NTC20	TOP1	3.6732456148575598e-06	0.0025682292664803803	0.00233219227367039
YAP3	HHF1	3.7056619465969e-06	0.0025872681065783397	0.00234948132039049
STE20	HHF1	3.7056619465969e-06	0.0025872681065783397	0.00234948132039049
TAF5	TOP1	4.37809761964134e-06	0.0029590992431108697	0.00268713875426892
YHL008C	HHF1	4.87703918743434e-06	0.00322034496023422	0.00292437428886726
PGI1	TOP1	5.84832127863601e-06	0.00371264345599011	0.0033714273472240396
RIM2	TOP1	6.0396020210056296e-06	0.0038042229959994603	0.00345459013117938
NBR043C	TOP1	8.27620315196913e-06	0.00486114845524	0.00441437725846509
YHL012W	HHF1	1.0622242711257001e-05	0.00590451984392076	0.00536185602253384
MED8	TOP1	1.08282827383277e-05	0.0059960233585226895	0.00544494976831174
YBR139W	TOP1	1.2443037858207901e-05	0.00666516549685568	0.00605259338696193
RAD51	HTB1	1.2902660279555699e-05	0.006844614337437721	0.0062155497105997
SLX1	TOP1	1.4787126320029e-05	0.00757319322394335	0.0068771674532385795
SMY2	TOP1	1.6136542450975197e-05	0.00809452170118397	0.007350582448750691
YAP3	HHT1	1.80799509844925e-05	0.00879209485150583	0.007984044084257309
STE20	HHT1	1.80799509844925e-05	0.00879209485150583	0.007984044084257309
NHR001C	HHF1	1.98817906135404e-05	0.009433540939594271	0.00856653710002537
VPS63	RSP5	1.99367540356517e-05	0.00945524879931681	0.008586249866087
GSY2	RSP5	2.01038490999118e-05	0.00952172824066653	0.00864661941389073
RED1	RSP5	2.01858865599747e-05	0.009549071123243871	0.00867144930751397
YBR138C	TOP1	2.1849806540108602e-05	0.0101281313645305	0.0091972901420315
BUD3	SIR2	2.86978496343859e-05	0.0123804475443833	0.0112426037988275
YBR225W	TOP1	2.9362754022937e-05	0.0125990836289402	0.0114411458035481
KTR4	TOP1	3.12462441206956e-05	0.0131768318852091	0.0119657952330141
OM14	TOP1	3.1510348681461e-05	0.0132524119037785	0.0120344289557319
YHL008C	HHT1	3.32381075156791e-05	0.0137682420465376	0.0125028509495043
ROT2	TOP1	3.6304850577707e-05	0.0146803589452037	0.0133311383658643
YHL017W	HHF1	3.7974474245582596e-05	0.0151467983430795	0.0137547089458196
PEX32	TOP1	3.89013240470479e-05	0.0154005487918366	0.0139851380760205
NBR056W	TOP1	4.23746215917812e-05	0.0163696706731414	0.0148651913459225
MCM7	TOP1	4.3912629017363596e-05	0.0168022763031481	0.0152580377015872
YHL012W	HHT1	4.51039181163258e-05	0.0171083041998143	0.0155359396418258
IRA1	TOP1	4.6352298954051706e-05	0.0174513607284619	0.0158474670416519
gBR07	TOP1	5.71464325128287e-05	0.0202946456464108	0.0184294355613751
PCS60	TOP1	6.443399815864611e-05	0.0221425093567789	0.020107468564255
NNL035W	SIR2	6.75176652505667e-05	0.0228739664145993	0.0207716999555235
DUR3	HHF1	7.13825908501205e-05	0.0238192971930407	0.0216301486798327
YAP3	HTB1	7.32739976189807e-05	0.0242451606423577	0.0220168725051152
STE20	HTB1	7.32739976189807e-05	0.0242451606423577	0.0220168725051152
YSH1	RSP5	8.41119634264006e-05	0.0267320795104366	0.0242752273354561
YHL008C	HTB1	9.00985138470967e-05	0.028058280004793996	0.0254795413687265
YHL017W	HHT1	9.065887271278629e-05	0.0281551667986078	0.0255675236353031
YLR257W	RSP5	9.077337735475029e-05	0.0281797211604467	0.0255898212914014
LEU2	SIR2	9.769329813670479e-05	0.029658500465124003	0.0269326911487948
NBR051C	TOP1	9.99438014520088e-05	0.0301184999697884	0.0273504137036588
YJL163C	TOP1	0.00010286474042534	0.0307096799132191	0.0278872603607748
ILV6	SIR2	0.000105490901816799	0.0312645071473088	0.028391095359252
NHR001C	HHT1	0.000106078126637256	0.0313673925310732	0.0284845249063025
PYC2	TOP1	0.00010921041118355	0.0319837350794302	0.029044221561104
YBR226C	TOP1	0.000110335557889022	0.0322239402439958	0.029262350306932004
YBR137W	TOP1	0.00011501961594740901	0.0331866624488891	0.0301365920723565
FTH1	TOP1	0.000115114203608298	0.0332075524141037	0.0301555621137411
gCL01	SIR2	0.000121551473991006	0.0344585219775781	0.0312915594285487
DUR3	HHT1	0.000130066872871823	0.0360982420893618	0.0327805785848972
YAP3	HTB2	0.000130887605293018	0.0362420224355998	0.0329111445810791
STE20	HTB2	0.000130887605293018	0.0362420224355998	0.0329111445810791
YHL008C	HTB2	0.00013607384492845802	0.0372031720752395	0.0337839583102369
YHL012W	HTB1	0.000144727894689635	0.0388646296749094	0.0352927171377896
YCL022C	SIR2	0.00014550420737396202	0.0390066138932235	0.0354216520818996
SEC72	RSP5	0.000147250936390519	0.0393021945393411	0.0356900669419431
ECM23	TOP1	0.00015217105858511	0.0402353571941202	0.0365374658723882
YLR269C	RSP5	0.000152857616373242	0.0403598509031936	0.0366505177989475
PIG1	RSP5	0.000173370573562071	0.0437995182743766	0.0397740573410627
YLR271W	RSP5	0.00018526870533913	0.0457441865616262	0.0415399979498584
SHU1	HHF1	0.000190656808828011	0.0466379427599985	0.0423516121338389
NGR093C	RSP5	0.000193473581455122	0.047096063691274004	0.0427676287684409
NEJ1	RSP5	0.000197957482226904	0.0478548345229287	0.0434566636198723
NLR121W	RSP5	0.000208855380193745	0.0495770901211201	0.0450206327139916
VPS29	HHF1	0.000210141826948097	0.0497910633580435	0.0452149404171387
NBR050C	TOP1	0.00021199422168677198	0.0501149367921605	0.0455090477737337
MCM5	RSP5	0.000213864510981283	0.0503859721508153	0.0457551732180608
SMA1	TOP1	0.000221266646809768	0.0515336872059679	0.0467974057862108
ARG4	HHF1	0.00023084399228394	0.0529932744521433	0.0481228474602492
