p_value	real_mean	simulated_mean
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.0625	0.015625
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.125	0.03125
0.0	0.1875	0.046875
0.0	0.1875	0.046875
0.0	0.17647058823529413	0.04411764705882353
0.0	0.23529411764705885	0.058823529411764705
0.0	0.19999999999999998	0.05
0.0	0.19047619047619047	0.047619047619047616
0.0	0.2380952380952381	0.05952380952380952
0.0	0.2608695652173913	0.06521739130434782
0.0	0.25	0.0625
0.0	0.2307692307692308	0.057692307692307696
0.0	0.20689655172413793	0.05172413793103448
0.0	0.20689655172413793	0.05172413793103448
0.0	0.23333333333333336	0.058333333333333334
