SNP	gene	p.value	FDR	q.value
NNL035W	DHH1	1.44672494695506e-22	3.46462095379782e-18	3.14619972800063e-18
NCS2	DCP2	2.4177980887059198e-21	4.44029879805796e-17	4.032206425172679e-17
MLF3	DHH1	3.19195057841032e-18	3.10735454578807e-14	2.8217684292543998e-14
NAF1	DCP2	8.60400623572869e-18	7.734571405608311e-14	7.0237139291822e-14
YNL115C	DCP2	1.68047409514748e-17	1.42104663431732e-13	1.2904431953701898e-13
FPR1	DCP2	1.38070904416185e-15	8.53076853700756e-12	7.74673535970759e-12
YNL114C	DCP2	1.5885148060838099e-15	9.72438575013028e-12	8.83065137861498e-12
NNL038C	DCP2	2.6405232916610302e-15	1.5652308347364e-11	1.4213759289043499e-11
SRV2	DCP2	5.703234653321949e-14	2.7670426087585904e-10	2.51273337520502e-10
NOP15	DCP2	8.45356147946241e-14	4.0136028352475597e-10	3.64472659980781e-10
MEP2	DCP2	1.7505322426195902e-13	7.862302168258961e-10	7.13970540301667e-10
SUN4	DHH1	1.9722963164749603e-11	6.01536008803351e-08	5.4625093264679506e-08
NNL045W	DCP2	7.51125824567859e-10	1.62875609183939e-06	1.4790628012300199e-06
PGA1	DCP2	1.8808597547972104e-09	3.73861902987689e-06	3.39501559672869e-06
gNL07	DHH1	2.2105207171119e-09	4.337726321531939e-06	3.9390610271479e-06
gNL06	DCP2	2.54250472336339e-07	0.00028038300932602204	0.00025461398503364303
NNL035W	DCP2	8.106253917820271e-07	0.000745873916598874	0.0006773232468486309
NOP15	DHH1	3.13419754782123e-06	0.00226623945147205	0.002057957289091
MLF3	DCP2	3.19189320426666e-05	0.0133626228635738	0.012134510810674999
YNL046W	DHH1	4.55110092511747e-05	0.0172169045219163	0.0156345588871673
YNL115C	DHH1	5.5821322916415897e-05	0.0199571629672664	0.0181229697379882
NNL012W	DHH1	6.13572948236395e-05	0.0213735121667652	0.0194091472233874
SAM50	DHH1	6.457791624605589e-05	0.0221680642810336	0.0201306748245679
YNL040W	DHH1	6.59148511547667e-05	0.0224838670796372	0.0204174532896059
NNL005C	DHH1	6.97255041971995e-05	0.0234060600901128	0.0212548907574888
YNL114C	DHH1	9.00744004423283e-05	0.0280557011995037	0.0254771995724345
NNL038C	DHH1	9.64947670926715e-05	0.0294361992279218	0.026730820842823
COG6	DHH1	9.841813881058841e-05	0.0297982242331326	0.0270595733927015
KTR5	DHH1	0.000100363154597107	0.0302098999052269	0.0274334133898728
DUG3	DCP2	0.00012131032881014399	0.0344146032865161	0.0312516771511752
YNL050C	DHH1	0.000138939569394767	0.0377590637559445	0.0342887599257541
NNL013C	DHH1	0.00013947701286178	0.0378638728730647	0.0343839364025384
YNL035C	DHH1	0.000160096569382878	0.0416485305279951	0.0378207593748941
NNL004W	DHH1	0.000160096569382878	0.0416485305279951	0.0378207593748941
YNL198C	DCP2	0.000167867351569422	0.04290386377449701	0.0389607193218445
YNL200C	DCP2	0.000216966387661104	0.0508506275862886	0.0461771237933749
SUN4	DCP2	0.000239220365219383	0.0543246093578745	0.0493318240190551
