SNP	gene	p.value	FDR	q.value
YLR257W	ERG28	1.4534861067641103e-17	1.24670938332371e-13	1.1321286729531698e-13
RED1	ERG28	1.0914900000578398e-16	8.09479046623198e-13	7.350826512540721e-13
GSY2	ERG28	4.96072600332736e-16	3.3184247270394298e-12	3.0134398864492004e-12
VPS63	ERG28	5.52048567114661e-16	3.65610468545956e-12	3.3200848578617597e-12
NEJ1	ERG28	6.572780787830791e-16	4.29130693415578e-12	3.896907883734971e-12
NLR116W	ERG28	1.49994998880471e-15	9.21992924294014e-12	8.37255770924259e-12
YLR271W	ERG28	1.87840549205757e-15	1.13711090291073e-11	1.0326030065489998e-11
BOP2	ERG28	5.22867027387566e-15	2.9672118986147395e-11	2.69450580390581e-11
PIG1	ERG28	1.63342312676484e-14	8.63897146104504e-11	7.844993730454471e-11
YLR269C	ERG28	1.79665566253804e-14	9.43560528789902e-11	8.56841172127874e-11
MCM5	ERG28	7.75804786715313e-14	3.70394632272575e-10	3.3635295371387096e-10
MCP2	ERG28	1.6026430627786201e-13	7.23607483812748e-10	6.57103244225122e-10
NNT1	ERG28	1.7755942345279002e-13	7.95100606677499e-10	7.2202568356569e-10
CTS1	ERG28	1.7755942345279002e-13	7.95100606677499e-10	7.2202568356569e-10
MEC3	ERG28	1.9361360888307299e-13	8.59278007174366e-10	7.80304763060864e-10
YSH1	ERG28	2.11410666423369e-13	9.33419719580659e-10	8.47632369317613e-10
NLR118C	ERG28	2.1424067969888302e-13	9.45217722212211e-10	8.58346058683732e-10
YLR281C	ERG28	7.609036480698391e-13	3.01691090550971e-09	2.7396371484482697e-09
YLR282C	ERG28	7.609036480698391e-13	3.01691090550971e-09	2.7396371484482697e-09
YLR252W	ERG28	1.3055020138559199e-12	4.94616451362168e-09	4.49157978749298e-09
NLR121W	ERG28	1.3843234574783702e-12	5.22240342166807e-09	4.74243054113919e-09
YLR294C	ERG28	7.73014168521277e-12	2.5512628818668397e-08	2.31678521028075e-08
SEC72	ERG28	3.5446827599302294e-11	1.02869803666901e-07	9.34153988653523e-08
ATP14	ERG28	3.9193972829589105e-11	1.1276049480469e-07	1.0239707108359e-07
gLR07	ERG28	4.2440249550380206e-10	9.821804064162078e-07	8.919116315240489e-07
YHL008C	ERG11	3.0777514227922397e-09	5.83671818578306e-06	5.30028577827465e-06
YAP3	ERG11	3.9732561705809104e-09	7.32386468782669e-06	6.65075383311279e-06
STE20	ERG11	3.9732561705809104e-09	7.32386468782669e-06	6.65075383311279e-06
NHR001C	ERG11	1.2143496317210901e-08	1.9665457791619102e-05	1.78580741674434e-05
SHU1	ERG11	2.66067931574133e-08	3.9468547294595e-05	3.58411307957705e-05
UBC12	ERG28	2.96997736761168e-08	4.33161395608591e-05	3.93351042788749e-05
CDC3	ERG28	3.90081617114123e-08	5.47963719435376e-05	4.97602285511778e-05
YHL012W	ERG11	4.51551001173828e-08	6.24350809442198e-05	5.6696890454661904e-05
gLR08	ERG28	6.44879083552601e-08	8.513551460601999e-05	7.73110064473403e-05
MET17	ERG28	6.90886478763208e-08	9.053057965770792e-05	8.22102298904012e-05
ATG39	ERG28	1.0354487705423e-07	0.000128616863728599	0.00011679613645343798
YLR312W	ERG28	1.0714643496819401e-07	0.00013231981356840402	0.000120158761090925
YLR317W	ERG28	1.1637304917215399e-07	0.00014245067675424798	0.000129358531982104
CDA2	ERG28	1.25675203182538e-07	0.000151942310416049	0.00013797782270488998
SPH1	ERG28	2.47192650701114e-07	0.00027371419722877003	0.000248558080192608
YLR311C	ERG28	5.67091710882336e-07	0.000554044067019341	0.0005031238095601299
YHL017W	ERG11	6.58621273307786e-07	0.0006276934373834169	0.0005700043232142651
DUR3	ERG11	1.27748480936742e-06	0.0010933967828558198	0.000992906498774949
YLR257W	ERG11	4.9304802359229695e-06	0.00325097133103882	0.00295218589676897
GSY2	ERG11	6.47468829717826e-06	0.00401616288417161	0.0036470513635657796
YLR236C	ERG28	6.93213869835269e-06	0.00423540799183676	0.0038461464182053
YLR271W	ERG11	1.01979686843645e-05	0.00572053873316511	0.00519478397386364
VPS63	ERG11	1.11315468026304e-05	0.00611194503193099	0.00555021748510105
gLR07	ERG11	1.32792395363916e-05	0.0069904950372859705	0.0063480230242186205
RED1	ERG11	2.0888914558204898e-05	0.009794195135278759	0.0088940448266992
YLR232W	ERG28	2.43254498305478e-05	0.0109600119215562	0.00995271545901293
YLR236C	ERG11	2.50171322004293e-05	0.0112075535471338	0.0101775063973138
YLR269C	ERG11	2.90310924872895e-05	0.0124890521648178	0.0113412269474568
VPS65	ERG28	3.16096466398761e-05	0.0132758453665707	0.0120557087307047
NLR124W	ERG28	3.5137249982689896e-05	0.0143358364563724	0.013018279737141
BOP2	ERG11	3.5772369419703e-05	0.0145286913855083	0.0131934100424998
YLR235C	ERG11	3.8586173809648605e-05	0.0153186826074877	0.0139107959270913
PIG1	ERG11	4.31074867246855e-05	0.0165736465947276	0.0150504205521103
DIA4	ERG11	4.34243824908554e-05	0.0166665864442226	0.0151348186242518
NLR116W	ERG11	4.49176729119997e-05	0.0170462995783375	0.0154796336488105
YLR235C	ERG28	6.00880952482171e-05	0.021058720375881	0.0191232868478762
YLR294C	ERG11	6.10378394920765e-05	0.021295686031698003	0.0193384738169037
NEJ1	ERG11	6.177184950829849e-05	0.0214754366999088	0.0195017042282458
YLR326W	ERG28	7.05486167629075e-05	0.0236122016100092	0.0214420865294005
VPS29	ERG11	8.783430604045121e-05	0.0275422723042122	0.0250109581358516
YSC84	ERG11	9.256684439284541e-05	0.0285566210824896	0.025932081656396
MCP2	ERG11	0.000101691459520874	0.0304672711800875	0.0276671305686811
MCM5	ERG11	0.00010345952397791	0.0308303665458371	0.0279968551059952
YSH1	ERG11	0.000106671251657239	0.031480333729514	0.0285870860731814
ARG4	ERG11	0.000106678943253692	0.0314810518539263	0.028587738197284
NLR126C	ERG28	0.000109195045607934	0.0319807994530878	0.029041555737938003
YLR252W	ERG11	0.00011565616079975301	0.0332991784937879	0.0302387671600723
SEC72	ERG11	0.00020504012674338502	0.0490128832585455	0.0445082801359636
