SNP	gene	p.value	FDR	q.value
SHE10	TRX1	4.11048397355749e-06	0.0034964490099410003	0.0033301145678478
MTC3	TRX1	4.11048397355749e-06	0.0034964490099410003	0.0033301145678478
NLR032W	RNR2	6.58911824539975e-06	0.005002052965672	0.00476409334235128
YGL226C	TRX1	6.82315380190142e-06	0.00514257296306153	0.00489792846737395
RFX1	RNR2	9.73469554335749e-06	0.0067752477061654	0.006452932967971279
YLR162W	RNR2	1.59720612120571e-05	0.00980704776219308	0.00934050304397532
IDP2	RNR2	2.00931885720065e-05	0.0116421903903309	0.0110883435480596
YLR169W	RNR2	3.8073996624781e-05	0.0183977928012393	0.0175225657944562
DPH5	RNR2	3.8199664217913396e-05	0.018449092003195	0.0175714245706791
NLR076W	RNR2	4.47695216686165e-05	0.0205817186672184	0.0196025970835495
VTA1	RNR4	6.87893693144402e-05	0.0278599596566231	0.0265345947412338
NLR028W	RNR2	0.000104057283171418	0.0375535170161094	0.0357670063924016
SAM1	RNR4	0.00011849182077702	0.0409274470087282	0.0389804304656184
VTA1	RNR2	0.00012756101454923998	0.0430649132460111	0.041016212321673
YRO2	RNR3	0.000157961182184397	0.049630742319303006	0.0472696892020171
NLR076W	RNR4	0.000166882507814423	0.0515518978536273	0.0490994507726179
RTC2	RNR3	0.000167943260937501	0.0517949994413954	0.0493309874364134
