p_value	real_mean	simulated_mean
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	0.5	0.0
0.0	0.5	0.0
0.0	0.3333333333333333	0.0
0.0	0.3333333333333333	0.0
0.0	0.3333333333333333	0.0
0.0	0.6666666666666666	0.0
0.0	0.6666666666666666	0.0
0.0	0.6666666666666666	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	1.0	0.0
0.0	0.75	0.0
0.0	0.75	0.0
0.0	0.6	0.0
0.0	0.6	0.0
0.0	0.6	0.0
0.0	0.6	0.0
0.0	0.5	0.0
0.0	0.4285714285714285	0.0
0.0	0.375	0.0
0.0	0.375	0.0
0.0	0.5	0.0
0.0	0.5	0.0
0.0	0.44444444444444453	0.0
0.0	0.39999999999999997	0.0
0.0	0.3333333333333333	0.0
0.0	0.41666666666666663	0.0
0.0	0.41666666666666663	0.0
0.0	0.5	0.0
0.0	0.4375	0.0
0.0	0.5	0.0
0.0	0.5	0.0
0.0	0.625	0.0
0.0	0.625	0.0
