SNP	gene	p.value	FDR	q.value
NHR011W	DOG2	6.62951220156354e-27	3.6750866627172498e-22	3.3373222678068697e-22
BCD1	DOG2	3.55626251637962e-23	9.547698914530229e-19	8.67020321371635e-19
SMF2	DOG2	1.42989066048698e-22	3.4380583909920397e-18	3.12207843768085e-18
MSC7	DOG2	2.91341371343973e-20	4.2856580580490495e-16	3.8917781761255496e-16
YHR033W	DOG2	2.53568622896354e-15	1.50606857168733e-11	1.36765106306907e-11
PIH1	DOG2	6.71764087225774e-15	3.7587441986629207e-11	3.41329113145671e-11
GIC1	DOG2	2.3866911129794498e-14	1.23076110251902e-10	1.1176461430028701e-10
RPN1	DOG2	1.4975879983135699e-13	6.81830405248617e-10	6.191657512156651e-10
NHR006C	DOG2	1.4975879983135699e-13	6.81830405248617e-10	6.191657512156651e-10
NHR007W	DOG2	1.4975879983135699e-13	6.81830405248617e-10	6.191657512156651e-10
YIM1	PAH1	1.8076494684785102e-13	8.058384230325501e-10	7.317766246775999e-10
ATG16	PAH1	1.8076494684785102e-13	8.058384230325501e-10	7.317766246775999e-10
MRPS8	PAH1	2.2615653802920497e-13	9.90490692228688e-10	8.99458147957303e-10
PAN5	DOG2	4.21994334829459e-13	1.7581649523899202e-09	1.59657814484031e-09
RIM13	PAH1	8.6465398591918e-13	3.39677786501052e-09	3.08459186083832e-09
YIM2	PAH1	1.9109088806531697e-12	7.027410838349309e-09	6.3815460227842e-09
gHR03	DOG2	6.331770681259839e-11	1.7333495834978198e-07	1.5740434699365698e-07
CEP3	PAH1	6.472812634676179e-11	1.7655022575624001e-07	1.60324110389002e-07
NHR005W	DOG2	8.63424725489146e-11	2.29340278415111e-07	2.08262413462075e-07
YHR022C	DOG2	1.17898766291586e-10	3.04381517498528e-07	2.7640687403698396e-07
YHR021W	DOG2	3.19171115328891e-10	7.55885957939826e-07	6.86415116396179e-07
REX4	TSL1	5.70963769545104e-09	1.0134491802588e-05	9.20306601441502e-06
REX4	TPS2	1.14505580176416e-08	1.86644625661657e-05	1.69490769212657e-05
gOL02	TSL1	1.7469634843238203e-08	2.72230156413095e-05	2.47210432391337e-05
IRA2	TSL1	2.27718072357279e-08	3.42745858893583e-05	3.11245282645502e-05
NMR044C	PAH1	2.91316260971588e-08	4.26433372530739e-05	3.8724136884178604e-05
gOL02	TPS2	3.1890447180818e-08	4.6151397269685206e-05	4.1909783342263297e-05
IRA2	TPS2	4.9447403978832503e-08	6.76232249622995e-05	6.14082102544853e-05
YCL023C	MET22	7.45007034536865e-08	9.67121060455649e-05	8.782363375173431e-05
NDE1	PAH1	1.3015095852112597e-07	0.000156909927451206	0.000142488883387499
REX4	DOG1	3.9635910278298504e-07	0.000408856775133606	0.000371280175196802
AGP1	ISN1	4.01234854302568e-07	0.000413032304221709	0.000375071945972432
REX4	THR4	4.3362325024896604e-07	0.000442342040314076	0.000401687926465332
AGP1	MET22	4.46901182052546e-07	0.00045372231732353094	0.000412022281914079
SHU1	LPP1	4.87707348240046e-07	0.000488442172610336	0.000443551156419045
YCL026C	ISN1	5.27684776389435e-07	0.000522374935134054	0.000474365277111065
YCL022C	MET22	5.31662532331453e-07	0.0005247390871589411	0.00047651214817050896
gOL02	DOG1	5.39679258892306e-07	0.0005309882499166889	0.00048218697217892
gCL01	MET22	5.49059761066225e-07	0.000539154442007842	0.000489602638042116
STE50	ISN1	6.591057325506411e-07	0.0006279552250987929	0.0005702420509339469
MPD2	DOG1	6.968066036268079e-07	0.000658114215737486	0.00059762923395038
YCL026C	MET22	8.82803035250967e-07	0.000803122314491534	0.000729310144197653
gOL02	THR4	9.56973337072703e-07	0.0008593679417830559	0.000780386432093399
YPQ1	DOG1	9.88707644749332e-07	0.0008830136787763259	0.000801858971885971
TRM10	DOG1	1.35018104999594e-06	0.0011473419265636599	0.00104189373250813
LEU2	MET22	1.5064327683851801e-06	0.00125718198067347	0.00114163877041337
HAL9	DOG1	1.54863983390628e-06	0.0012882992469937	0.00116989615733633
LEU2	ISN1	1.6281635338338e-06	0.00134156708976159	0.0012182683384962302
NOL019C	DOG1	2.2400325191794702e-06	0.00173292290639038	0.00157365600723363
NOL020W	DOG1	2.2400325191794702e-06	0.00173292290639038	0.00157365600723363
YAP3	LPP1	2.38324232634094e-06	0.00182205190786611	0.00165459347310346
STE20	LPP1	2.38324232634094e-06	0.00182205190786611	0.00165459347310346
IRA2	THR4	2.56755587179706e-06	0.0019330954448365302	0.0017554313859578599
YCL022C	ISN1	3.11060912599516e-06	0.00225190309692828	0.00204493853888207
MDY2	DOG1	3.20136796937983e-06	0.0023053418862464302	0.00209346595549114
YHL012W	LPP1	3.6322223869516502e-06	0.0025456937001495697	0.00231172787262745
YCL023C	ISN1	4.50339633171016e-06	0.0030258276764295	0.0027477344100582898
STE50	MET22	5.20329418337157e-06	0.0033883139763873	0.00307690585869283
YHL008C	LPP1	5.23419264391468e-06	0.00340251335488227	0.00308980022184377
MLF3	DPP1	5.5332418892733e-06	0.00355407766589127	0.0032274347857484897
DUR3	LPP1	5.711873121868419e-06	0.00364379588318999	0.00330890731467046
YLR257W	YBR242W	5.8949051879864405e-06	0.0037346064638801796	0.0033913718116752103
BUD3	MET22	5.95791685465305e-06	0.00376385880703026	0.00341793567401094
IRA2	DOG1	6.28882289065421e-06	0.00392978046843826	0.00356860805432401
YOL099C	DOG1	6.77393939246295e-06	0.0041561408649571	0.00377416445643981
YHL017W	LPP1	6.9227278421290605e-06	0.00423095345548403	0.00384210128274943
gCL01	ISN1	6.96204332071236e-06	0.004248884747745789	0.00385838457249136
gLR07	LPP1	7.14161454607738e-06	0.00432937386377755	0.0039314762146488
GSY2	LPP1	7.73114088331649e-06	0.00459555148792713	0.00417319038190316
MPD2	TSL1	8.26398243226643e-06	0.00485539947692405	0.0044091566486913
YOL106W	DOG1	8.93038324086068e-06	0.00516233146429618	0.0046878795878129206
YLR257W	LPP1	9.52672328641179e-06	0.00542378841791655	0.0049253069448987104
NHR001C	LPP1	9.66213055219256e-06	0.005487583235326729	0.00498323860318408
GSY2	YBR242W	1.01000358822273e-05	0.0056794388585654	0.00515746144536464
ILV6	MET22	1.0420803817111802e-05	0.00581828083546348	0.00528354294050567
TRM10	TSL1	1.1136428911183801e-05	0.00611406491024851	0.0055521425327974
RED1	YBR242W	1.12249749344151e-05	0.0061492063619855795	0.0055840542562936
YPQ1	TSL1	1.82995152263413e-05	0.00886617510372355	0.00805131587891701
RFC4	DOG1	1.8583042290421803e-05	0.0089694295609522	0.0081450805791771
ILV6	ISN1	1.9761398756055e-05	0.00939204831962313	0.00852885792201192
HAL9	TSL1	2.1230363802851998e-05	0.00991005276003598	0.008999254381325471
YLR235C	LPP1	2.2402379110742002e-05	0.0103179629627407	0.00936967498026326
NDJ1	TSL1	2.6009514231855104e-05	0.0115279200305535	0.0104684291148165
VPS63	YBR242W	2.86134393994763e-05	0.0123545984406996	0.0112191303960907
BUD3	ISN1	2.8771350338507397e-05	0.0124039948063726	0.0112639869141102
NDJ1	DOG1	3.13982511423397e-05	0.013223237857128999	0.0120079361939386
DMC1	YNL010W	3.1431287461295e-05	0.0132306361562107	0.0120146545411601
RED1	LPP1	3.24842412954988e-05	0.0135208134055784	0.0122781626117997
MPD2	TPS2	3.51391605183133e-05	0.0143358364563724	0.013018279737141
VPS63	LPP1	3.90045625004728e-05	0.0154220438992384	0.0140046576430852
NEJ1	YBR242W	4.045943574725271e-05	0.0158403691495457	0.0143845360789324
MPD2	THR4	4.17589717716127e-05	0.0162039831686725	0.0147147316020011
HRP1	DOG1	4.3970223961310103e-05	0.0168178114821453	0.015272145096476002
