SNP	gene	p.value	FDR	q.value
NNL035W	POL2	2.16103084502855e-11	6.53439737192013e-08	5.93384370421458e-08
YCR041W	HOP2	4.51262491087418e-07	0.000457452030643042	0.000415409210293214
DMC1	DMC1	5.75286616438255e-07	0.0005611347343796269	0.000509562798418585
YER186C	DMC1	6.11766488041244e-07	0.000590654772821858	0.000536369753105998
PUG1	DMC1	6.13805452229795e-07	0.000592432297136538	0.0005379839113616741
FMP10	DMC1	7.44728685259987e-07	0.00069612737732277	0.000632148738460379
YER188W	DMC1	7.741326524711151e-07	0.000717118615081716	0.0006512107447832349
NNL055W	RAD50	1.2670171638937799e-06	0.00108616238743806	0.000986336991403409
YGL235W	RTT106	1.63202651296495e-06	0.00134401020045485	0.00122048691140828
RPB5	LRP1	1.71110383592877e-06	0.0013991246440088	0.0012705359787177199
RTC2	LRP1	1.83520054552803e-06	0.00148097567225774	0.00134486436449138
YER184C	DMC1	2.06277220069528e-06	0.00162398679104444	0.0014747318302338
MLF3	POL2	2.3016440586831e-06	0.0017707477628943898	0.0016080045131254901
NNL035W	THP1	2.45000888644475e-06	0.0018635160275064198	0.0016922467701520599
YLR252W	MLH1	2.54056410147377e-06	0.0019161470218533897	0.00174004063340781
NML013W	ACO1	2.62126539395558e-06	0.0019666083035676397	0.00178586419475005
MCP2	MLH1	2.85932858392345e-06	0.0021079694923346604	0.00191423336978523
YLR232W	MLH1	3.23796608683353e-06	0.00232704889118167	0.00211317794532601
IMG1	HOP2	3.39305596745866e-06	0.0024126750113515802	0.0021909344674913
BUD23	HOP2	3.4572937345238296e-06	0.00244725015247698	0.0022223319280086197
NML011W	ACO1	3.63114538059228e-06	0.0025456937001495697	0.00231172787262745
SLI15	LRP1	5.05781999646961e-06	0.00331521827497302	0.0030105281282067397
SHE10	RTT106	5.453024007473079e-06	0.00351537556841923	0.0031922896630457898
MTC3	RTT106	5.453024007473079e-06	0.00351537556841923	0.0031922896630457898
SUN4	POL2	5.50977250078136e-06	0.00354356884243619	0.00321789179159794
NBR034W	LRP1	6.16102925908311e-06	0.00386647015737268	0.00351111637309527
NBR035W	LRP1	6.16102925908311e-06	0.00386647015737268	0.00351111637309527
MUM2	DPB2	6.3493587660184995e-06	0.00395893099121684	0.00359507945424339
NBR031C	LRP1	7.688612335999209e-06	0.00457799859531712	0.004157250714420999
YLR269C	MLH1	9.16280193193266e-06	0.0052586042279615	0.0047753042576099605
YLR235C	MLH1	9.30515269833223e-06	0.00531888622694137	0.00483004594835276
YCF1	DPB4	9.44026951981074e-06	0.005382245471573521	0.00488758206583466
NCR015C	HOP2	9.51988821069859e-06	0.00542092803468422	0.0049227094495110394
TEX1	RAD50	1.0534685791928399e-05	0.00586927578439195	0.00532985112157011
RED1	MLH1	1.0835278383310499e-05	0.00599781040996078	0.00544657257808615
MLF3	THP1	1.10174526101494e-05	0.00606360453843273	0.00550631979772806
YGL235W	LRP1	1.15711481793764e-05	0.00629844032620819	0.005719572647455829
TAT1	DPB2	1.1843122912035801e-05	0.0064184719630867	0.00582857259531007
TRM7	DPB2	1.2159092990639e-05	0.006551167642963171	0.0059490726781478605
YGL235W	ACO1	1.24282761202004e-05	0.00666083395663529	0.0060486599434929605
YLR271W	MLH1	1.3184716602667999e-05	0.00695480093332068	0.0063156094408326
YLR257W	MLH1	1.4076981357348002e-05	0.007295088510971321	0.00662462237428868
NEJ1	MLH1	1.5784212994665196e-05	0.00795590113559115	0.00722470201577422
YDR133C	DPB4	1.80671254992152e-05	0.00878882144979701	0.007981071529480509
YDR015C	RAD57	1.86990249719624e-05	0.0090094313053528	0.008181405902792841
MCD1	RAD57	1.9054458075927102e-05	0.00913803058969738	0.008298186075522141
NHP10	RAD57	1.9054458075927102e-05	0.00913803058969738	0.008298186075522141
PIG1	MLH1	1.93913153905758e-05	0.00926322037681201	0.00841187010601811
MAK5	LRP1	2.01482863398258e-05	0.00953505109118186	0.00865871780769095
VPS63	MLH1	2.1123373047310603e-05	0.009877052663063091	0.00896928720814704
YDR010C	RAD57	2.16544354450082e-05	0.0100601580344775	0.00913556400362394
gCR02	HOP2	2.17045544636283e-05	0.0100756237501453	0.00914960831931563
NTH1	RAD57	2.18624723442446e-05	0.0101324334233085	0.0092011968135946
NDR001C	RAD57	2.2273897814359602e-05	0.0102738044785713	0.00932957494833039
GSY2	MLH1	2.28527921690684e-05	0.0104658323786245	0.00950395423396437
YBR064W	DPB2	2.28621235267234e-05	0.0104679053197585	0.00950583665831009
NLR116W	MLH1	2.28910165513823e-05	0.0104726008177709	0.00951010060948004
YBR144C	LRP1	2.34213358015032e-05	0.0106589507355316	0.0096793237563668
gNL07	POL2	2.35377175138148e-05	0.0106903716825392	0.00970785691374456
MCM5	MLH1	2.54362377474853e-05	0.0113435332177176	0.010300988650728999
BOP2	MLH1	2.9317982107257106e-05	0.0125843822843435	0.0114277956082488
YLR236C	MLH1	3.1092503821052504e-05	0.0131314219825175	0.0119245587960699
NGL041C	RTT106	3.3442039757120694e-05	0.0138205098446994	0.0125503149966692
MKC7	DPB4	3.5538233669488595e-05	0.0144641504926488	0.013134800877956999
YBR075W	DPB2	3.6042889803035796e-05	0.014612922973589999	0.0132699001991564
HSP26	DPB2	3.7294881964326596e-05	0.0149604502100233	0.0135854874196113
YBR225W	TPP1	3.73202089580866e-05	0.0149673551581303	0.0135917577580252
EXO5	LRP1	3.86814043068544e-05	0.0153449402567564	0.0139346403274135
UBS1	LRP1	3.86814043068544e-05	0.0153449402567564	0.0139346403274135
NGL041C	LRP1	4.22342623067114e-05	0.0163386420308941	0.0148370144379432
RTC4	RAD50	4.45874472938022e-05	0.0169587441046335	0.0154001250932641
TIP1	DPB2	4.46513369960485e-05	0.0169741599886338	0.015414124157143
YSH1	MLH1	4.65506230722414e-05	0.017515014214923998	0.0159052703582236
PCS60	TPP1	4.8631252240338794e-05	0.0180819555074944	0.0164201060543254
NBR016C	DPB2	5.30900027118265e-05	0.0192265682035192	0.0174595213903528
