	mean_p_score	mean_q_score	median_p_score	median_q_score	robustness_score
DNA repair	0.34940819057342204	0.015649236064060833	0.34940819057342204	0.00978443199402983	0.008056495312469663
DNA-dependent DNA replication	0.0	0.015722974365694222	0.0	0.0133520559026848	0.0025112089891565024
aerobic respiration	0.09506941207080823	0.016514506685451822	0.08067346848367113	0.0124634864451743	2.1145913730401094
anchored component of membrane	0.0	0.006973724112902338	0.0	0.00012112515287188399	107.29231621070977
cell cortex	0.22405208687834696	0.014055199706601459	0.125	0.00893652534776418	0.8891423121842996
cell division	0.3171248652366667	0.014214785325732277	0.125	0.008565964013931629	1.5359355377633221
cellular response to DNA damage stimulus	0.6121494601567812	0.016318935669315363	0.6121494601567812	0.00978569086813727	0.0013250231432358425
chromatin assembly or disassembly	0.6500784671722968	0.017438978016993276	0.6291854172603104	0.01354292365584195	0.11057530680056954
chromatin binding	0.5359971415026878	0.0175902948182958	0.5479945933569701	0.014388397406239251	0.18255297499053358
cytoplasm	0.6554055834098911	0.016573478707311434	0.6665038188253665	0.012017178358713998	0.09571595767857617
cytoplasmic side of membrane	0.0	0.014779446911850529	0.0	0.012134510810674999	0.948042202567049
demethylation	0.0	0.007067405512609502	0.0	0.000120158761090925	1.9355615033478746
dephosphorylation	0.0	0.013604797946049501	0.0	0.0049253069448987104	168.63316258201556
double-strand break repair	0.17844131956592132	0.02459821971466317	0.2154592012289704	0.0268983376274406	0.078134579267911
double-stranded DNA binding	0.5724089761868363	0.01808553699799231	0.5745737536033644	0.014385827382678351	0.0005454631785037914
endocytosis	0.6215242438313379	0.015554846028242957	0.6395404056410684	0.010202757328459898	3.579366698913175
endosome	0.6527122591547581	0.01802958422135946	0.6139414546098826	0.0142057427290575	0.03857209510634881
endosome membrane	0.7107235589182939	0.018439470679834594	0.7219937617558967	0.0135917577580252	0.12175071655766286
histone acetylation	0.6797265720815533	0.021067383859839132	0.6797265720815533	0.020439556668816902	2.258620105274016e-05
integral component of membrane	0.4489748265266658	0.013398758688206149	0.5070351828612706	0.00641695329695575	15.925902013520083
