SNP	gene	p.value	FDR	q.value
LEU2	TOR1	4.03398977749455e-08	0.000103969931108177	9.90238328135423e-05
gCL01	TOR1	8.51318243427106e-08	0.000180549424587761	0.00017196025662802
YCL022C	TOR1	2.45090593043343e-07	0.000401433564046221	0.00038233640926911203
AGP1	NEO1	2.63935320635117e-07	0.000427122081543078	0.00040680286254770297
YCL026C	NEO1	3.34099123238195e-07	0.0005068481962034401	0.00048273621524740594
gOL02	RHO1	3.4860762291340497e-07	0.000523826911711003	0.000498907212649148
REX4	RHO1	3.4860762291340497e-07	0.000523826911711003	0.000498907212649148
ILV6	TOR1	5.556228012936611e-07	0.0007475904791406219	0.00071202581198589
SLI15	FAB1	6.1837694108904e-07	0.000804559010299062	0.000766284213861689
SPO7	RHO1	7.387181312497851e-07	0.000934668865558666	0.000890204432114175
MDM10	RHO1	9.63346326787876e-07	0.00114762756339199	0.00109303217534405
NAL001C	RHO1	9.63346326787876e-07	0.00114762756339199	0.00109303217534405
RPB5	FAB1	1.11249265915555e-06	0.00127550519714465	0.00121482636420563
YCL023C	NEO1	1.17901482661207e-06	0.00133319092384005	0.00126976784291132
IRA2	RHO1	1.20263608284776e-06	0.00135262453647869	0.00128827695211608
NAL002C	RHO1	1.2844314206485202e-06	0.0014268072119404	0.00135893058027843
RTC2	FAB1	1.39819901716287e-06	0.00151797494372193	0.00144576124500716
NBR034W	FAB1	1.6308740305787202e-06	0.0017207158156441699	0.00163885724874319
NBR035W	FAB1	1.6308740305787202e-06	0.0017207158156441699	0.00163885724874319
BUD3	TOR1	1.70034637354391e-06	0.00177520384112488	0.00169075314852914
YAL004W	RHO1	2.17614960369724e-06	0.00213858756583643	0.00203684984032708
gAR03	RHO1	2.46798172151543e-06	0.00236398034696527	0.0022515201477706697
AGP1	TOR1	2.57641602284114e-06	0.0024443301247634103	0.00232804749446103
NBR031C	FAB1	3.47247888202208e-06	0.00307976642854175	0.00293325457345324
SWC3	RHO1	3.5387169268980903e-06	0.0031267861452353	0.0029780374497634897
MAK5	FAB1	3.92088863427346e-06	0.0033792397514011	0.00321848123407385
gCL01	NEO1	4.43430831397556e-06	0.00370689559967057	0.0035305497099647897
YAR002C	RHO1	4.76300811666034e-06	0.003927868419302039	0.0037410103240509704
YBR144C	FAB1	5.64403938791146e-06	0.004428717127339571	0.00421803246113389
LEU2	NEO1	7.86276600381563e-06	0.0057810215434653395	0.0055060045217878795
YOL073C	RSP5	7.95173419564911e-06	0.00581929441180105	0.00554245665823709
MPD2	RHO1	1.01989835498907e-05	0.0070084132608526604	0.00667500627954446
YCL023C	TOR1	1.0961733064168301e-05	0.007361416629038291	0.0070112164332038
YCL022C	NEO1	1.18249948164319e-05	0.00781188760002848	0.00744025742268255
NML013W	NEO1	1.2952968478933901e-05	0.008374598782740309	0.0079761990885589
RTC2	HSE1	1.52842846828196e-05	0.00950818713820183	0.00905585993467219
