SNP	gene	p.value	FDR	q.value
HFI1	YAH1	1.18497498370534e-10	3.0579541044262e-07	2.7769082101284103e-07
YCL022C	DRE2	8.534599631631929e-10	1.8320798758256699e-06	1.66369980550966e-06
HEM25	YFH1	8.619889149022219e-10	1.84773851322664e-06	1.67791931217108e-06
gCL01	DRE2	1.3770700746233999e-09	2.82831155274813e-06	2.5683713042845297e-06
LEU2	DRE2	1.59297955351022e-09	3.22965788612346e-06	2.9328312962254396e-06
CYK3	YFH1	1.8610212454564001e-09	3.70533662244636e-06	3.36479205926195e-06
YCL023C	DRE2	4.25403446619982e-09	7.79820395816889e-06	7.081498235814251e-06
ILV6	DRE2	4.946484966241169e-09	8.92275990306738e-06	8.10270016674491e-06
BUD3	DRE2	5.42410101694428e-09	9.687986502730459e-06	8.79759745906768e-06
NUP84	YFH1	1.38542677763104e-08	2.21011452588982e-05	2.0069906096315e-05
SRP68	YAH1	1.7247123094324198e-08	2.6911297027777103e-05	2.44379735959645e-05
VMA11	YAH1	4.23615171626994e-08	5.8939972062212705e-05	5.3523004837578996e-05
NSL1	YAH1	4.23615171626994e-08	5.8939972062212705e-05	5.3523004837578996e-05
gPL03	YAH1	4.23615171626994e-08	5.8939972062212705e-05	5.3523004837578996e-05
RVB2	YAH1	4.70957781565696e-08	6.48190237916849e-05	5.8861733431219604e-05
YPL238C	YAH1	6.99192781331332e-08	9.15188473148263e-05	8.31076693146502e-05
IQG1	YAH1	8.0978634973332e-08	0.00010394932556513399	9.43957056717487e-05
RBD2	YAH1	9.13017629691218e-08	0.000115663202287024	0.00010503300084709699
FAS2	YAH1	1.24631578530835e-07	0.000150863350805734	0.00013699802650849
gCL01	CFD1	1.44947132361263e-07	0.00017262770958361	0.0001567620989944
AGP1	CFD1	1.4958856629644802e-07	0.000177258016848126	0.000160966850870708
NEW1	YAH1	2.8202933349221504e-07	0.000306726386775938	0.000278536234559004
YCL023C	CFD1	4.2708575910423605e-07	0.000436267775014055	0.00039617192569942403
YCL026C	CFD1	5.068880247483279e-07	0.0005046129285640861	0.00045823571460353605
LEU2	CFD1	5.17614679127141e-07	0.000513753764462358	0.000466536448161508
GRE1	YAH1	5.68875395069469e-07	0.00055560537885949	0.000504541626675569
YCL026C	DRE2	6.486470375330829e-07	0.000621103246087435	0.000564019813410915
MMT2	YAH1	6.74104430716162e-07	0.000640410654622132	0.000581552745379613
RRP42	YFH1	7.041198483011659e-07	0.000663869363876853	0.000602855446500654
YCL022C	CFD1	8.598646020154671e-07	0.0007857166348166691	0.000713504159823317
AGP1	DRE2	8.692859128310421e-07	0.0007933568361464691	0.000720442176901155
BUD3	CFD1	8.86713857279982e-07	0.0008061901397922941	0.0007320960163768951
TRM3	YFH1	1.5272772286541e-06	0.00127333511473231	0.00115630732626984
REX4	NFU1	1.7093524195465e-06	0.0013984565320158198	0.0012699292705673699
IRA2	NFU1	1.96135049044333e-06	0.00156048094561297	0.00141706258552064
NCR015C	DRE2	2.27469255492296e-06	0.00175610577036385	0.00159470821505096
ILV6	CFD1	2.6139521218017397e-06	0.00196161314250337	0.00178132812151395
gCR02	DRE2	2.85623345366401e-06	0.00210598905778769	0.00191243495006888
gCL01	TAH18	4.13393551626221e-06	0.0028283635308294698	0.0025684185052417302
gOL02	NFU1	4.26454869422399e-06	0.0028987151321707397	0.00263230433631993
SLX8	NFU1	5.0146119583357204e-06	0.00329374842532525	0.00299103149754417
QRI7	YFH1	7.5882752974071e-06	0.00453358520342315	0.004116919202443271
RAD51	NFU1	7.72689712626759e-06	0.00459439737642705	0.004172142340765021
MLF3	TAH18	8.97633032062998e-06	0.0051813876266799	0.004705184364787921
YCL023C	TAH18	1.0219586339568302e-05	0.0057299807971623795	0.00520335825069685
YCL022C	TAH18	1.07851290232863e-05	0.00597710293051172	0.00542776825083681
SUV3	ISD11	1.31673091450377e-05	0.00694745501211814	0.0063089386576221295
NUR1	YFH1	1.40851615026763e-05	0.007297908080120091	0.00662718280667284
CCT4	YFH1	1.6323423444592903e-05	0.00816786046190905	0.00741718089981422
NDE2	YFH1	1.6960845345804597e-05	0.00839351130858403	0.0076220929643371
YDL094C	YFH1	1.7121125752590196e-05	0.00845256862609368	0.00767572252981137
YCL026C	TAH18	2.2800071564093e-05	0.0104544832698726	0.00949364818220732
POL3	YFH1	2.3815548810392498e-05	0.0107789429571108	0.00978828791144442
LEU2	TAH18	2.78356573512484e-05	0.0120964125289632	0.0109846734508401
CDC53	YFH1	3.1542122297829304e-05	0.0132586468434993	0.0120400908638931
AGP1	TAH18	3.21385165276773e-05	0.0134263849990105	0.0121924127906731
TRM44	ISD11	3.2466831915396194e-05	0.0135163862002156	0.0122741422954378
YCR041W	DRE2	3.42907832746451e-05	0.0140741180160954	0.012780614925725001
RPN6	YFH1	3.5561566544449396e-05	0.0144699295672248	0.0131400488179486
NER014W	ISD11	4.16394737002146e-05	0.0161722880648395	0.0146859494845955
STE50	DRE2	4.2340535961374895e-05	0.0163634256670857	0.0148595202965882
QRI1	YFH1	4.2492537270587394e-05	0.0164067533913819	0.0148988659208898
DUN1	YFH1	4.42386720916926e-05	0.0168839572480959	0.0153322116358225
NER016C	ISD11	4.5410029674872294e-05	0.0171895653473488	0.0156097323607637
YBR174C	YAH1	4.63883979463029e-05	0.0174616575431186	0.0158568175119932
