SNP	gene	p.value	FDR	q.value
REX4	TCB1	1.22097005936844e-07	0.000148244905541052	0.000134620233413838
gOL02	TCB1	3.18527052451113e-07	0.000340722475024867	0.000309407860929739
RAD51	TCB2	5.532317501409311e-07	0.000541917925509817	0.000492112139415626
IRA2	TCB1	6.44461731142968e-07	0.000618223661377815	0.000561404881286745
SLX8	TCB2	1.01627356180348e-06	0.0009028694062075	0.000819889828674142
NER037W	TCB2	1.35330563502903e-06	0.00114941840119992	0.0010437793656042
SAK1	TCB2	1.36724487916634e-06	0.00116010553603785	0.0010534842831604301
NDJ1	TCB1	9.97670042302034e-06	0.00562752734779779	0.00511032094046231
TRM10	TCB1	1.0007341360921901e-05	0.00564002850223374	0.00512167315740337
gER03	TCB2	1.24444786663533e-05	0.00666534092742958	0.00605275269432378
YPQ1	TCB1	2.66943129992427e-05	0.0117522640478459	0.0106721544560866
REX4	TCB2	2.86981209510782e-05	0.0123804475443833	0.0112426037988275
MPD2	TCB1	3.38229675346931e-05	0.0139327331354741	0.0126522242362712
YOL106W	TCB1	3.89178338750307e-05	0.0154014895345305	0.0139859923583352
MDY2	TCB1	5.21743110646341e-05	0.0190004845233663	0.0172542162725671
YOL099C	TCB1	5.24474496858541e-05	0.0190621453408817	0.0173102100594437
gOL02	TCB2	5.62725628840104e-05	0.0200703370083541	0.0182257423477585
NOL019C	TCB1	6.26162290085825e-05	0.021705969624688	0.019711049676105
NOL020W	TCB1	6.26162290085825e-05	0.021705969624688	0.019711049676105
UBP5	TCB2	6.342053133930961e-05	0.0218918344013256	0.019879832269496998
HAL9	TCB1	6.61635793980025e-05	0.0225389367283583	0.0204674616790193
HRP1	TCB1	7.787876804718209e-05	0.0253430117105042	0.0230138239113582
IRA2	TCB2	0.000102402000905282	0.0306198149808053	0.0278056546008124
REX4	NCR1	0.000106096181880929	0.0313674247070356	0.0284845541250845
NER037W	NCR1	0.00011917544666052	0.034007638201371	0.0308821148073392
CST9	VTA1	0.000123617346754053	0.0348730608243703	0.0316679994560195
RFC4	TCB1	0.000143709454232565	0.0386917978349842	0.0351357696693613
SKM1	TCB1	0.000165534711927143	0.0425327236285875	0.0386236893720515
YOL118C	TCB1	0.000171965816184638	0.0435461043546988	0.0395439338107273
SAK1	NCR1	0.000193777048643899	0.0471507639370195	0.0428173017054174
SFP1	VTA1	0.00020868836538331	0.0495486478572507	0.0449948044793757
STE23	VTA1	0.00022154945569930498	0.051562294541175	0.0468233839210336
gOL02	NCR1	0.00022599311609436802	0.0522442801764149	0.0474426906355936
