p_value	real_mean	simulated_mean
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.125	0.0
0.25	0.25	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.375	0.0
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.40625	0.015625
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.25	0.46249999999999997	0.03125
0.28433797205848427	0.30833333333333335	0.05625
0.28433797205848427	0.30833333333333335	0.05625
0.28433797205848427	0.30833333333333335	0.05625
0.28433797205848427	0.30833333333333335	0.05625
0.4372956968612999	0.23124999999999998	0.04375
0.5238747948665449	0.23124999999999998	0.04375
0.5238747948665449	0.23124999999999998	0.04375
0.492039977463607	0.2647321428571429	0.059375
0.4397999339547948	0.2647321428571429	0.05520833333333333
0.4119164841869107	0.22864145658263307	0.05106209150326797
0.4119164841869107	0.21953781512605047	0.06477591036414565
0.4119164841869107	0.1678571428571429	0.05416666666666667
0.4119164841869107	0.15638528138528138	0.0514069264069264
0.4632294941763688	0.10714285714285712	0.027405753968253968
0.44641679031636666	0.09982746721877156	0.029257246376811593
0.4541721632791953	0.10833333333333331	0.028124999999999997
0.44641679031636666	0.09859225741578682	0.025876696832579187
0.44641679031636666	0.08875907441016331	0.023196460980036297
0.44641679031636666	0.0881463293121241	0.023114224137931034
0.44641679031636666	0.0994152046783626	0.027281746031746032
