SNP	gene	p.value	FDR	q.value
LYS14	MRH1	1.3625159963696801e-27	9.16560989649129e-23	8.323230664436929e-23
YDL009C	MRH1	1.2606992365461199e-19	1.64082938132528e-15	1.49002647679602e-15
NDL002C	MRH1	1.2606992365461199e-19	1.64082938132528e-15	1.49002647679602e-15
APC11	MRH1	3.7032806401767896e-19	4.33885853536261e-15	3.940089183155021e-15
YDL011C	MRH1	3.5268533526190496e-18	3.40569285646835e-14	3.09268750653052e-14
MCD1	MRH1	1.35819508482346e-17	1.17677619105697e-13	1.0686227964310499e-13
NHP10	MRH1	1.35819508482346e-17	1.17677619105697e-13	1.0686227964310499e-13
NTH1	MRH1	1.3875500858830703e-17	1.19874055945635e-13	1.08856849635188e-13
YDR010C	MRH1	4.52506115672355e-17	3.61220970943093e-13	3.2802241159556295e-13
NDR001C	MRH1	6.38995170733322e-17	4.92364036054903e-13	4.47112575075543e-13
YDR015C	MRH1	9.069593295494351e-17	6.8044760084308e-13	6.179100355392309e-13
MED2	MRH1	9.661893250156171e-17	7.21269607505458e-13	6.549802339737321e-13
ENA5	MRH1	6.76167744892684e-12	2.2570235909841898e-08	2.04958842619176e-08
VMS1	MRH1	6.408095713253141e-10	1.4167398039851002e-06	1.28653219078975e-06
TGL2	MRH1	4.35622739884686e-07	0.000444003471748178	0.000403196661532103
UBC5	MRH1	4.9346593446689e-07	0.000493384102190183	0.00044803889049075193
MAK21	MRH1	8.713000552084559e-07	0.000794710470693694	0.000721671403619197
RTR2	MRH1	8.797581774335959e-07	0.000800839040079395	0.000727236717571705
RPS13	MRH1	1.27515872566675e-06	0.00109187417286583	0.00099152382655764
LYS14	YRO2	2.28891609960638e-05	0.0104726008177709	0.00951010060948004
APC11	YRO2	2.74427300560163e-05	0.0119647405290183	0.0108651029650825
YDL009C	YRO2	6.657180099620571e-05	0.0226419268628581	0.0205609863495304
NDL002C	YRO2	6.657180099620571e-05	0.0226419268628581	0.0205609863495304
NER037W	STF1	7.45276226331752e-05	0.0245554674150117	0.0222986600647762
REX4	INH1	8.04821506286653e-05	0.0259308577757439	0.023547643095398002
RGA1	INH1	0.00011252703789531101	0.0326832660732787	0.0296794611015684
SAK1	STF1	0.000128787961083642	0.0358646646134001	0.032568468399934
MCD1	YRO2	0.000139054868605972	0.037778394142943005	0.0343063137243162
NHP10	YRO2	0.000139054868605972	0.037778394142943005	0.0343063137243162
MED2	YRO2	0.00014670152712276398	0.0392222154152941	0.035617438420186005
NDR001C	YRO2	0.000154165124605972	0.0405794355498761	0.0368499211867577
YAP1	YRO2	0.000165061348349341	0.0424713532747525	0.0385679593533517
NTH1	YRO2	0.000170551554792297	0.0433364464986998	0.0393535448768979
YDL011C	YRO2	0.000185545553877856	0.0457850580652492	0.0415771130961606
REX4	STF1	0.000206136053874852	0.0491781437819902	0.044658352141197
