module_name	reason
RNA processing	no linkages
nuclear ubiquitin ligase complex	no linkages
nucleoplasm part	linkage sets don't intersect
invasive filamentous growth	no linkages
protein-DNA complex assembly	linkage sets don't intersect
septin ring	linkage sets don't intersect
ncRNA 3'-end processing	no linkages
cation-transporting ATPase activity	linkage sets don't intersect
positive regulation of protein polymerization	no linkages
tRNA modification	linkage sets don't intersect
chromatin	linkage sets don't intersect
catalytic activity	linkage sets don't intersect
membrane lipid biosynthetic ppi_test_handler	no linkages
phospholipid transport	linkage sets don't intersect
protein import into nucleus	linkage sets don't intersect
TOR complex	linkage sets don't intersect
protein-DNA complex	linkage sets don't intersect
mitotic actomyosin contractile ring	linkage sets don't intersect
spliceosomal complex	no linkages
ammonium transport	no linkages
attachment of mitotic spindle microtubules to kinetochore	no linkages
exonucleolytic trimming involved in rRNA processing	linkage sets don't intersect
enzyme regulator activity	no linkages
nuclear chromosome	no linkages
pre-replicative complex	linkage sets don't intersect
regulation of programmed cell death	no linkages
histone binding	no linkages
DNA-directed 5'-3' RNA polymerase activity	no linkages
oxidoreductase activity                                                                                                         ,acting on a heme group of donors                                         ,oxygen as acceptor	linkage sets don't intersect
regulation of attachment of spindle microtubules to kinetochore	no linkages
core promoter sequence-specific DNA binding	no linkages
nucleotide-excision repair complex	no linkages
microtubule binding	no linkages
mRNA metabolic ppi_test_handler	linkage sets don't intersect
mannosyltransferase activity	linkage sets don't intersect
maintenance of protein location in cell	no linkages
protein modification by small protein removal	no linkages
regulation of nuclear-transcribed mRNA catabolic ppi_test_handler                                                                        ,deadenylation-dependent decay	no linkages
negative regulation of cellular biosynthetic ppi_test_handler	linkage sets don't intersect
regulation of mitochondrial translation	no linkages
retrograde transport                                                                                                            ,endosome to Golgi	no linkages
nuclear polyadenylation-dependent ncRNA catabolic ppi_test_handler	linkage sets don't intersect
positive regulation of response to nutrient levels	no linkages
telomere maintenance	linkage sets don't intersect
clathrin adaptor complex	no linkages
transmembrane transport	linkage sets don't intersect
replication fork	linkage sets don't intersect
carboxy-terminal domain protein kinase complex	no linkages
SAGA-type complex	linkage sets don't intersect
transition metal ion transmembrane transporter activity	no linkages
negative regulation of translation	linkage sets don't intersect
mRNA cleavage involved in mRNA processing	no linkages
spindle assembly checkpoint	no linkages
coated vesicle	linkage sets don't intersect
protein serine|threonine phosphatase complex	no linkages
regulation of translation	linkage sets don't intersect
cortical actin cytoskeleton organization	no linkages
establishment of protein localization to membrane	no linkages
Rab GTPase binding	no linkages
endosome membrane	no linkages
polymeric cytoskeletal fiber	no linkages
ATP-dependent DNA helicase activity	linkage sets don't intersect
endosome	no linkages
CUT catabolic ppi_test_handler	no linkages
catalytic step 1 spliceosome	no linkages
cellular bud neck septin structure	linkage sets don't intersect
spliceosomal snRNP complex	no linkages
TRAPP complex	no linkages
termination of RNA polymerase II transcription	no linkages
regulation of growth	linkage sets don't intersect
cellular response to osmotic stress	no linkages
DNA secondary structure binding	no linkages
basal RNA polymerase II transcription machinery binding	linkage sets don't intersect
establishment of protein localization to mitochondrial membrane	no linkages
exocytic ppi_test_handler	linkage sets don't intersect
general transcription initiation factor activity	no linkages
cytoplasmic vesicle part	linkage sets don't intersect
protein dephosphorylation	no linkages
DNA packaging	linkage sets don't intersect
sister chromatid biorientation	no linkages
signal transduction involved in positive regulation of conjugation with cellular fusion	no linkages
meiotic chromosome segregation	no linkages
negative regulation of intracellular signal transduction	no linkages
rRNA transcription	linkage sets don't intersect
DNA helicase complex	no linkages
protein localization to membrane	linkage sets don't intersect
cytosolic proteasome complex	no linkages
DNA geometric change	linkage sets don't intersect
rRNA binding	linkage sets don't intersect
drug transmembrane transporter activity	linkage sets don't intersect
protein-containing complex assembly	no linkages
microtubule cytoskeleton organization	no linkages
vesicle docking	linkage sets don't intersect
activation of protein kinase activity	no linkages
secondary active transmembrane transporter activity	linkage sets don't intersect
glycosylation	linkage sets don't intersect
regulation of pseudohyphal growth	no linkages
exonucleolytic nuclear-transcribed mRNA catabolic ppi_test_handler involved in deadenylation-dependent decay	linkage sets don't intersect
histone modification	linkage sets don't intersect
transcription-dependent tethering of RNA polymerase II gene DNA at nuclear periphery	linkage sets don't intersect
negative regulation of cellular protein metabolic ppi_test_handler	no linkages
endosomal transport	linkage sets don't intersect
enzyme activator activity	linkage sets don't intersect
snoRNA binding	linkage sets don't intersect
tethering complex	no linkages
nuclear-transcribed mRNA catabolic ppi_test_handler                                                                                      ,exonucleolytic	linkage sets don't intersect
ATP-dependent chromatin remodeling	no linkages
peptide-lysine-N-acetyltransferase activity	no linkages
GTPase regulator activity	linkage sets don't intersect
hydrolase activity	no linkages
adaptation of signaling pathway	no linkages
DNA conformation change	linkage sets don't intersect
catalytic activity                                                                                                              ,acting on RNA	no linkages
establishment of mitotic spindle localization	no linkages
regulation of cell wall organization or biogenesis	linkage sets don't intersect
positive regulation of microtubule polymerization or depolymerization	no linkages
establishment of spindle orientation	no linkages
DNA replication preinitiation complex	linkage sets don't intersect
