	mean_p_score	mean_q_score	median_p_score	median_q_score	robustness_score
DNA replication	0.125	0.01982901597009845	0.125	0.016725082921771998	0.06552614321798046
Ras protein signal transduction	0.0	0.012091763586660637	0.0	0.0050674975575638395	9.698989457745181
SNARE complex	0.0	0.011339129936745325	0.0	0.00648375864263298	0.02481653326327267
autophagy	0.0	0.026958459268109723	0.0	0.028348082329784252	2.338045754643639
cell division	0.2575064097213622	0.018125142966982692	0.21157909800524502	0.013703922860554999	0.2618743642561696
chromatin assembly or disassembly	0.7337370637533865	0.02091937847853298	0.746658585604801	0.0171863161749714	0.001414256124232416
cytoplasm	0.5810525155350477	0.01441174166140882	0.5901523710362284	0.009024466296599941	0.00486389157283729
deoxyribonucleotide biosynthetic process	0.0	0.022699940546240412	0.0	0.0175714245706791	0.06552614321798046
dephosphorylation	0.0	0.014342427838129964	0.0	0.007219808950514189	58.83355063634364
endocytosis	0.5222155485546455	0.016228426652281167	0.6321410553859987	0.0129888660156613	0.20392623273488666
endosome	0.23905804363932526	0.016557532918735452	0.25	0.012728671990286402	2.890335391120811
endosome membrane	0.46111682727284675	0.016864412187386216	0.46111682727284675	0.013644399771564751	0.0007083385531948341
establishment of cell polarity	0.0	0.024525227851297158	0.0	0.0238534542290714	0.010287002795098373
fatty acid synthase activity	0.0	0.013164231860272607	0.0	0.0102364319699363	241.5786288464181
guanyl-nucleotide exchange factor activity	0.0	0.014483816484339307	0.0	0.00465353606034606	2.2232026135685765
integral component of membrane	0.4281644381958264	0.016203667114107263	0.42885324824139076	0.0121902142002402	0.056297999816200844
intracellular protein transport	0.6624109306043897	0.02345231303185476	0.6624109306043897	0.023217841726154348	0.0020205727264666455
lipid binding	0.0	0.009133852630263959	0.0	0.0019293938526723398	0.4879453578583052
mRNA binding	0.388389857023517	0.009258514341994976	0.5	0.00374590532659439	8.175550747615599
metal ion binding	0.3556660827190602	0.012446745491014767	0.36026288946918367	0.00437743298052852	2.6740431854345514
negative regulation of apoptotic process	0.0	0.012091763586660637	0.0	0.0050674975575638395	9.698989457745181
negative regulation of protein kinase activity	0.1431492669838816	0.014545259937602086	0.125	0.00657325068868654	0.3417331824069747
nucleus	0.6221330740718114	0.01636018036059182	0.6216036656636414	0.0130174258473169	0.016625477145644066
proteasome-mediated ubiquitin-dependent protein catabolic process	0.8190147167383652	0.018156279410849522	0.8372072244275156	0.0147573890743802	0.006553274384831956
protein binding, bridging	0.1593853396329412	0.023255699488132355	0.125	0.023420600656768	1.3023546665923653
protein domain specific binding	0.033854166666666664	0.016096602075408795	0.0	0.0132234143938189	7.8938130528398425
protein polyubiquitination	0.5060566643253035	0.01603330994487368	0.5208390550952287	0.0117279920581197	0.13152218787507142
rRNA processing	0.6992324539831731	0.01467392124098846	0.7041853611427005	0.008296812386615985	0.06890202950738697
response to heat	0.10294117647058823	0.010042630592071005	0.0	0.0031781243445205753	0.2398000632779717
structural molecule activity	0.2957728495774022	0.020478843152510025	0.2957728495774022	0.0171673230112061	0.001230606288280824
translational elongation	0.2789051454368922	0.013653511932353528	0.3175364218259275	0.006649377770587465	0.26306367016325477
translational initiation	0.8068004042876684	0.015048090088623265	0.8148390482996002	0.0109204929895938	0.004268449756641894
vesicle fusion	0.0	0.01492300781619444	0.0	0.00711148388793951	0.02481653326327267
