SNP	gene	p.value	FDR	q.value
REX4	HSE1	5.710298413788009e-06	0.0036431795157116	0.0033083475953768603
gOL02	HSE1	6.56467681933746e-06	0.00405936439476463	0.0036862823740253796
IRA2	HSE1	7.03589676759293e-06	0.00428219611658598	0.0038886344096256205
REX4	VPS27	7.05985241956471e-05	0.0236249431864629	0.0214536570720104
gOL02	VPS27	7.33567729925875e-05	0.0242671849598869	0.0220368726444504
MPD2	HSE1	0.000119462027959936	0.0340629612625772	0.0309323533189801
IRA2	VPS27	0.000133498175525146	0.0367304462939467	0.0333546791064348
YPQ1	HSE1	0.000195543087198687	0.0474362674349076	0.0430765655727718
TRM10	HSE1	0.00022066412248282998	0.0514313717426544	0.0467044937802107
YHL008C	HSE1	0.000222528048108944	0.05170678342484599	0.046954593335445
YAP3	HSE1	0.00023273544351044	0.05329136181808	0.0483935386562379
STE20	HSE1	0.00023273544351044	0.05329136181808	0.0483935386562379
