SNP	gene	p.value	FDR	q.value
MLF3	CDC48	7.80025259868012e-09	2.79475516275812e-05	2.66180197526339e-05
NNL035W	CDC48	1.47407469011257e-08	4.663235282171121e-05	4.44139402642739e-05
ILV6	SSA2	1.65721633858991e-07	0.000303644748090361	0.000289199641176306
gOL02	SSA1	1.92214013200513e-07	0.00033794171040369303	0.000321865014962061
REX4	SSA1	1.92214013200513e-07	0.00033794171040369303	0.000321865014962061
IRA2	SSA1	3.7829603874097295e-07	0.00055562906218721	0.000529196458763878
gCL01	SSA2	5.99355062916587e-07	0.000785754487483645	0.000748374267172633
LEU2	SSA2	6.02323242957701e-07	0.000788007502282032	0.000750520100668375
YCL022C	SSA2	1.36837955838608e-06	0.00149374697190232	0.00142268585575466
NCR015C	SSA2	2.0211340811439802e-06	0.00201875759455543	0.00192272046738525
gCR02	SSA2	2.0807555456332e-06	0.0020641411435915803	0.0019659450124468896
MDM10	SSA1	2.1752724702375e-06	0.00213858756583643	0.00203684984032708
NAL001C	SSA1	2.1752724702375e-06	0.00213858756583643	0.00203684984032708
NML011W	NPL4	2.20071741635808e-06	0.0021582466505422303	0.00205557369535348
SPO7	SSA1	2.21957944324225e-06	0.00216999507084275	0.00206676321520082
YML108W	NPL4	2.32726110407115e-06	0.00225113055211688	0.0021440388875735897
NAL002C	SSA1	2.6926777350091703e-06	0.00252675349047197	0.00240654978352537
URA5	NPL4	2.75392279362014e-06	0.00257525840277102	0.0024527472011339198
NML013W	NPL4	5.99099254793874e-06	0.004646821625826861	0.0044257612069730605
gAR03	SSA1	6.2922578674179706e-06	0.0048348998954585295	0.00460489214347901
gML01	NPL4	6.57874390230686e-06	0.00499618229156915	0.00475850195025679
YAL004W	SSA1	6.7133087566658e-06	0.00507190744669486	0.00483062467863626
YAR002C	SSA1	7.0045282766093005e-06	0.00525832439342301	0.00500817332534272
BUD3	SSA2	7.04245181459967e-06	0.00527632483036066	0.00502531743844239
YCL022C	VID24	7.557361276488701e-06	0.00559124443257992	0.0053252555619698605
