SNP	gene	p.value	FDR	q.value
RTC2	BMH1	1.05799973273237e-08	3.58690919066365e-05	3.41627134141383e-05
SLI15	BMH1	1.3143908777057902e-08	4.25775543474336e-05	4.05520382515495e-05
RPB5	BMH1	1.7327718562984698e-08	5.2947232507528794e-05	5.0428406019718395e-05
NBR034W	BMH1	3.29384971230577e-08	8.84379066129989e-05	8.423070387257879e-05
NBR035W	BMH1	3.29384971230577e-08	8.84379066129989e-05	8.423070387257879e-05
YBR144C	BMH1	6.58628040632662e-08	0.00014833032670378302	0.000141273898290948
MAK5	BMH1	6.857706615573571e-08	0.000152626167261923	0.000145365375439089
NBR031C	BMH1	1.4779755760719e-07	0.000281854263051639	0.000268445781628633
SLI15	BMH2	1.50654572372835e-07	0.00028415179695062405	0.000270634016344877
CSH1	BMH1	3.81393157148957e-07	0.000559309517115623	0.0005327018256485559
RPB5	BMH2	8.161812639194499e-07	0.00101049062708684	0.0009624191710984881
gBR08	BMH1	1.04091079044527e-06	0.00121703765684365	0.0011591402646374599
EXO5	BMH1	1.23393029550532e-06	0.00138043525542223	0.00131476464864272
UBS1	BMH1	1.23393029550532e-06	0.00138043525542223	0.00131476464864272
NBR034W	BMH2	1.60470793168706e-06	0.00169499896038605	0.00161436380579842
NBR035W	BMH2	1.60470793168706e-06	0.00169499896038605	0.00161436380579842
RTC2	BMH2	2.14134431299353e-06	0.00211206327165001	0.00201158737025502
TYR1	BMH1	3.5803908423156897e-06	0.00315476792032607	0.00300468806488731
YBR162W	BMH1	4.32191027884425e-06	0.00363704322684164	0.00346402038158192
NBR031C	BMH2	4.39188525534934e-06	0.0036793293236383204	0.0035042948276155
YBR139W	BMH1	5.26093091769801e-06	0.00422062906389756	0.00401984364456791
IRA1	BMH1	5.6863929167848095e-06	0.0044529707784528895	0.00424113230805467
NBR041W	BMH1	5.95684520904767e-06	0.00462223089895641	0.00440234031979513
gBR07	BMH1	6.53744143062149e-06	0.00497355995262415	0.004736955810082761
ECM31	BMH1	6.6859888920777e-06	0.005059349305733	0.0048186639584761
NBR038W	BMH1	7.124062799096221e-06	0.00532061178588024	0.0050674975575638395
YBR138C	BMH1	9.97259639335442e-06	0.00689481844837459	0.00656681544398826
MAK5	BMH2	1.03965252631356e-05	0.007108010764950391	0.0067698656921583
YBR144C	BMH2	1.0774316126063302e-05	0.0072898999788094205	0.00694310200107746
AGP2	BMH1	1.2809290697506401e-05	0.00830725755594576	0.00791206144498745
YBR174C	BMH1	1.50913860524099e-05	0.009425380213445259	0.00897699233338115
RTC2	HSE1	1.52842846828196e-05	0.00950818713820183	0.00905585993467219
YBR138C	HSE1	1.5332735917558898e-05	0.00952892766917483	0.00907561378898031
gBR08	BMH2	2.0658272584403303e-05	0.0119148665554312	0.0113480478558083
SMY2	BMH1	2.31782849065406e-05	0.0129536347333829	0.0123373993470437
gBR07	HSE1	2.4044345559364498e-05	0.0133391330592011	0.0127045585954807
YML108W	VPS27	2.4060638877740303e-05	0.0133442588659219	0.012709440555316002
URA5	VPS27	2.47045282699595e-05	0.0135709688251424	0.0129253653795391
NML011W	VPS27	2.55767519596534e-05	0.013883904959818998	0.0132234143938189
NML013W	VPS27	2.7946901021498497e-05	0.0147679309458501	0.0140653851493106
AGP2	HSE1	2.90274351040834e-05	0.0151778103894851	0.0144557656474759
PEX32	BMH1	3.14065864416114e-05	0.0160622147208452	0.0152980967495044
NTC20	BMH1	3.47424409087497e-05	0.0172506067362908	0.0164299541144188
RIM2	BMH1	3.47424409087497e-05	0.0172506067362908	0.0164299541144188
PGI1	BMH1	3.56724769227882e-05	0.0175685135388836	0.0167327373300533
TAF5	BMH1	3.56724769227882e-05	0.0175685135388836	0.0167327373300533
YBR137W	BMH1	3.6510570424590505e-05	0.0178844410522628	0.0170336354159961
RPB5	HSE1	3.89105205972095e-05	0.0187159604072578	0.0178255974064737
MAK5	HSE1	4.15995318333163e-05	0.0196045513642383	0.0186719159663284
GTR1	VPS27	4.25173108851564e-05	0.0198698371455398	0.0189245814685117
NBR043C	BMH1	4.31805427182891e-05	0.0200702416710233	0.019115452271397
SLI15	HSE1	4.43372050998854e-05	0.0204639237933602	0.0194904059935786
PCH2	BMH1	4.64989789764289e-05	0.0211608162028328	0.0201541455643285
CTR1	RPT6	4.67462900151831e-05	0.0212478061751305	0.0202369972155843
NBR034W	HSE1	5.9977047440116294e-05	0.0253888921384943	0.0241810818151595
NBR035W	HSE1	5.9977047440116294e-05	0.0253888921384943	0.0241810818151595
YBR137W	HSE1	6.4742861838866e-05	0.0267888884447719	0.0255144769486828
YBR139W	BMH2	6.72320303690555e-05	0.0274451032441459	0.0261394740405379
YBR144C	HSE1	6.99326267422489e-05	0.0281902099062571	0.0268491341966112
IRA1	BMH2	7.948734947877359e-05	0.0310173311851295	0.0295417625544332
NGL3	VPS27	7.992470702704749e-05	0.0311237963743678	0.0296431629399795
CCZ1	BMH1	8.658697071905009e-05	0.0329053622655865	0.0313399754806629
DBF20	RPT6	8.95998783358983e-05	0.0337923904782969	0.0321848056397302
gBR08	HSE1	9.042686949422009e-05	0.0339486227790612	0.0323336055962758
YBR139W	HSE1	9.058242717976909e-05	0.0339765431175215	0.0323601976974567
CSH1	BMH2	0.000100594819221175	0.0366699114116082	0.0349254360198852
YCL026C	BMH2	0.000102231507562568	0.0370731692994191	0.0353095099654741
gML01	VPS27	0.000106943798449424	0.0382870425650542	0.0364656363765613
gBR07	BMH2	0.00011986768550117	0.0412157772133462	0.0392550441127838
CSH1	HSE1	0.000122963930030391	0.0418983866724392	0.0399051802072654
NBR031C	HSE1	0.000123898177532156	0.0421408175125027	0.0401360780324289
EXO5	BMH2	0.000132056309252108	0.0439979852629075	0.041904895871035006
UBS1	BMH2	0.000132056309252108	0.0439979852629075	0.041904895871035006
NPR020W	RPT6	0.000136758244268492	0.04491589479766299	0.0427791382537967
NML009C	VPS27	0.000137159267239852	0.0450007281415431	0.0428599358726068
KTR4	BMH1	0.000140492336682286	0.0457679467723953	0.0435906560781814
AGP1	BMH2	0.000147430833722054	0.0473363324173236	0.0450844298667682
