p_value	real_mean	simulated_mean
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.3333333333333333	0.08333333333333333
0.0	0.25	0.0625
0.0	0.25	0.0625
0.0	0.25	0.0625
0.0	0.25	0.0625
0.0	0.25	0.0625
0.0	0.25	0.0625
0.0	0.25	0.0625
0.0	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.25	0.0625
0.375	0.19999999999999998	0.05
0.375	0.19999999999999998	0.05
0.375	0.16666666666666666	0.041666666666666664
0.375	0.16666666666666666	0.041666666666666664
0.5831256927627536	0.08333333333333333	0.05208333333333333
0.5831256927627536	0.08333333333333333	0.05208333333333333
0.5831256927627536	0.08333333333333333	0.05208333333333333
0.5831256927627536	0.08333333333333333	0.05208333333333333
0.5831256927627536	0.0625	0.0390625
0.5831256927627536	0.0625	0.0390625
0.5831256927627536	0.0625	0.0390625
0.5831256927627536	0.0625	0.0390625
0.5831256927627536	0.0625	0.0390625
0.5831256927627536	0.0625	0.0390625
0.625	0.125	0.0703125
0.625	0.125	0.0703125
0.625	0.125	0.0703125
0.625	0.125	0.0703125
0.625	0.125	0.0703125
0.625	0.125	0.0703125
0.5729089460703563	0.0625	0.052083333333333336
0.5729089460703563	0.0625	0.052083333333333336
0.5729089460703563	0.0625	0.052083333333333336
0.5729089460703563	0.0625	0.052083333333333336
0.5729089460703563	0.0625	0.052083333333333336
0.5729089460703563	0.055555555555555566	0.046875
0.6908863200537116	0.055555555555555566	0.04224537037037037
0.36561343813944464	0.08852941176470587	0.03462962962962963
0.4106244704659005	0.13722222222222222	0.03462962962962963
0.4232817917260047	0.12408293460925038	0.031902356902356904
0.4232817917260047	0.11904761904761905	0.029166666666666664
0.4232817917260047	0.11904761904761905	0.029166666666666664
