SNP	gene	p.value	FDR	q.value
NNL035W	CRM1	2.40495310189943e-15	1.43411066292267e-11	1.30230655467929e-11
MLF3	CRM1	3.1467677146523e-14	1.58717104759876e-10	1.4412996933393e-10
SUN4	CRM1	3.17879478566118e-10	7.537214508244341e-07	6.84449541579046e-07
NNL035W	NUP159	1.1032517456178402e-08	1.8072809741433897e-05	1.64118008437192e-05
YRB2	YRB2	2.45607202824472e-08	3.6770493687435207e-05	3.33910458836902e-05
SNP1	YRB2	2.5591447862880097e-08	3.8151438619322206e-05	3.4645072984208694e-05
EFM4	YRB2	3.26622250017691e-08	4.6973089051445294e-05	4.26559562987711e-05
gNL07	CRM1	3.35765753258794e-08	4.80801701774856e-05	4.3661289460485204e-05
YAR002C	NUP60	9.378020249103859e-08	0.00011827738124610601	0.000107406919737414
YAL004W	NUP60	1.50342581725822e-07	0.000178096970556108	0.000161728699270015
MDM10	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
NAL001C	NUP60	1.52752433835588e-07	0.000180451833196666	0.000163867134700039
gAR03	NUP60	1.62089380723596e-07	0.000189971106653728	0.000172511524940923
NAL002C	NUP60	2.04365043908848e-07	0.00023274395062537203	0.000211353266032942
VHR1	YRB2	2.05498268413715e-07	0.00023390105921687997	0.00021240402881028998
SPO7	NUP60	2.1372137177664002e-07	0.00024206419766862401	0.000219816921683421
YIL054W	YRB2	2.41360137035791e-07	0.00026839242755465	0.00024372541580464798
YIL060W	YRB2	2.93346411626862e-07	0.000317302081270985	0.000288139953865517
PCL7	YRB2	3.6163075141421797e-07	0.000378313094553937	0.000343543657749906
MMF1	YRB2	5.124117799850351e-07	0.000509265091907846	0.000462460313843088
THS1	YRB2	1.61313680822955e-06	0.00133120073919062	0.00120885472304402
RNR3	YRB2	1.61313680822955e-06	0.00133120073919062	0.00120885472304402
UIP3	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
YAR028W	NUP60	1.93902543349277e-06	0.0015482458325055	0.0014059519589776
NOP15	CRM1	2.20597558030912e-06	0.00171427213007657	0.00155671935870901
YAR029W	NUP60	2.82770701118061e-06	0.00208748479283445	0.0018956313475567699
YNL115C	CRM1	2.8900912954542e-06	0.00212567528458518	0.0019303118844353102
SWC3	NUP60	3.38044568422711e-06	0.0024053662912511898	0.00218429746635943
NNL035W	NUP2	3.70422370147456e-06	0.00258686728453215	0.00234911733650033
YNL114C	CRM1	6.5777916294267995e-06	0.00406621420030146	0.00369250263783035
NNL038C	CRM1	6.58011039893981e-06	0.00406680778561221	0.0036930416687858602
gIL03	YRB2	1.116588054041e-05	0.00612517912374915	0.00556223527770632
MLF3	NUP159	1.60844118351108e-05	0.00807597495482177	0.00733374026914776
YIL089W	YRB2	1.6356705587910098e-05	0.008174948731259459	0.007423617711055509
YIL086C	YRB2	1.6356705587910098e-05	0.008174948731259459	0.007423617711055509
YIL092W	YRB2	1.86480327399129e-05	0.008991374933565891	0.00816500902914861
UTP25	YRB2	1.86480327399129e-05	0.008991374933565891	0.00816500902914861
AVT7	YRB2	1.88086134734089e-05	0.00904548963977778	0.00821415024148758
YJL118W	SAC3	4.08009771018605e-05	0.0159469732024859	0.014481342525247
YJL119C	SAC3	4.37434090037889e-05	0.0167568043962856	0.0152167449590591
GCD14	SAC3	6.70954400635519e-05	0.0227824903203588	0.0206886311099972
IRC9	SAC3	7.39666747185481e-05	0.024412995407367997	0.0221692821623523
RPB4	SAC3	7.39666747185481e-05	0.024412995407367997	0.0221692821623523
YAK1	SAC3	7.56268178209657e-05	0.0248043326219922	0.0225246529387304
PRP42	NUP159	9.05201914985059e-05	0.0281398317743857	0.0255535979996622
RPB5	BCP1	9.64067681684769e-05	0.0294168490837393	0.0267132491028907
RTC2	BCP1	0.0001026648392731	0.030671412743609	0.0278525101932316
NBR034W	BCP1	0.00010733218576720699	0.0316145729400219	0.0287089878261347
NBR035W	BCP1	0.00010733218576720699	0.0316145729400219	0.0287089878261347
NCS2	CRM1	0.00011546935689930601	0.0332756766929965	0.0302174253278074
YAK1	NUP120	0.000123650266142847	0.0348768024568495	0.03167139720811
UIP3	SAC3	0.000124220698633101	0.0349999727601574	0.031783247358511
YAR028W	SAC3	0.000124220698633101	0.0349999727601574	0.031783247358511
IRC9	NUP120	0.000138225470142974	0.0376179306934077	0.0341605979106632
RPB4	NUP120	0.000138225470142974	0.0376179306934077	0.0341605979106632
SWH1	NUP60	0.000140439819143702	0.0380458905109537	0.0345492254342838
SNR37	SAC3	0.000161187261022199	0.0418119692122685	0.0379691769798394
ATG27	MSN5	0.000169335084902341	0.0431371942241472	0.039172605183823
RTN1	NUP159	0.000174003127728568	0.0438912036807586	0.0398573162615818
NAF1	CRM1	0.000182704757753647	0.0453369510290396	0.0411701900144618
MDJ2	NUP60	0.000189646943441221	0.0464782667285273	0.0422066113694025
YAT1	NUP60	0.000194499990228424	0.0472709589590608	0.0429264500222742
NBR031C	BCP1	0.000226577018968396	0.0523368262125437	0.0475267310883815
