SNP	gene	p.value	FDR	q.value
GDH2	TIM22	2.41923423962865e-14	1.2443275195271798e-10	1.12996571794923e-10
PRR2	TIM22	2.41923423962865e-14	1.2443275195271798e-10	1.12996571794923e-10
TIM22	TIM22	3.18448744782755e-14	1.6034944189702e-10	1.45612284059082e-10
NDL036C	TIM22	3.18448744782755e-14	1.6034944189702e-10	1.45612284059082e-10
SHR3	TIM22	4.3067061778440695e-14	2.1256619978314698e-10	1.93029981882079e-10
RRI1	TIM22	1.22229123669191e-13	5.66837040287616e-10	5.14741025282631e-10
YDL211C	TIM22	2.23286703692925e-13	9.786376705830651e-10	8.88694496182766e-10
gDL01	TIM22	2.37975409091749e-13	1.0346844154394801e-09	9.39590180234229e-10
UGA4	TIM22	3.18851720435463e-11	9.33024184852961e-08	8.47273186806945e-08
NDL038W	TIM22	3.32776123645882e-11	9.69977108909815e-08	8.808298965211949e-08
RTN2	TIM22	9.522470744346429e-11	2.50488132705173e-07	2.27466642237016e-07
ACK1	TIM22	9.522470744346429e-11	2.50488132705173e-07	2.27466642237016e-07
MGT1	TIM22	1.06562172292114e-10	2.7786954331363e-07	2.52331522914415e-07
CDC13	TIM22	1.15201619579689e-10	2.9806089145848497e-07	2.70667154687258e-07
HO	TIM22	1.46732221746223e-10	3.69889195250606e-07	3.3589396964541303e-07
GLE1	TIM22	1.4706098932884602e-10	3.7056194130417795e-07	3.3650488595602397e-07
YDL228C	TIM22	1.4877688268435e-10	3.7409837802158e-07	3.3971630111132104e-07
YDL196W	TIM22	2.2198631567391397e-09	4.35320545641643e-06	3.95311752874292e-06
PHO13	TIM22	1.40632377191991e-08	2.2398697171457603e-05	2.03401110505783e-05
SNF3	TIM22	2.1367453457587998e-08	3.24770483429178e-05	2.94921961234303e-05
NUS1	TIM22	6.84988834283675e-08	8.981675308318442e-05	8.15620086262125e-05
RBS1	TIM22	1.6393246228289002e-07	0.000191767252679738	0.000174142593451401
YCL023C	TOM71	8.37536443787599e-06	0.00490831690653041	0.00445721062194095
gNL07	TOM40	2.02463349744633e-05	0.00957010494366465	0.00869054998287477
AGP1	TOM71	3.52821805708308e-05	0.0143794868654069	0.0130579183893523
SUN4	TOM40	3.60203540733053e-05	0.0146057644415413	0.0132633995828163
NNL035W	TIM22	3.6142342795791705e-05	0.0146413464588135	0.0132957113810061
YCL026C	TOM71	3.7575703297082395e-05	0.0150428618301274	0.0136603248751984
MLF3	TIM22	5.3680762242744896e-05	0.0193794099178832	0.0175983159559263
DPB11	TOM20	5.69572906338016e-05	0.0202520309850104	0.018390737464846
gJL06	TOM20	7.91652445260409e-05	0.025645953851746003	0.0232889236971891
NNL035W	TOM71	8.3407011059237e-05	0.0265927340004649	0.0241486885852096
DPB11	TIM23	8.832441544774191e-05	0.0276568458973085	0.0251150016696877
gJL06	TIM23	0.000109935004125117	0.0321424837252579	0.0291883801726762
gNL07	TOM7	0.000119630763601553	0.0340899675915205	0.0309568775904397
gCL01	TIM23	0.00012210893646778	0.0345609160589589	0.0313845428271037
APN2	SSH1	0.000134279496050678	0.0368708623560759	0.0334821900181247
POP8	SSH1	0.000134279496050678	0.0368708623560759	0.0334821900181247
SUN4	TOM7	0.000143622157124923	0.0386752512059556	0.035120743783285
gNL07	TIM22	0.000151561559704429	0.040113174434434	0.0364265125039197
SUN4	TIM22	0.00017537387948121102	0.0441090149591847	0.0400551092652258
gBL04	SSH1	0.000181326415153571	0.0451294065954689	0.0409817202657776
NNL013C	TIM54	0.00018347322984890602	0.0454527045730959	0.0412753050540813
gNL07	TOM20	0.000187428976796453	0.0461096071310424	0.0418718339894814
MCM2	SSH1	0.00020925862875096398	0.0496446693272478	0.0450820009510288
RFT1	SSH1	0.00024001182759843	0.0544423919040159	0.0494387815822561
