SNP	gene	p.value	FDR	q.value
REX4	PIL1	3.2381878651501096e-09	6.09847543754916e-06	5.53798583415117e-06
gOL02	PIL1	8.83781897021241e-09	1.4904812405463199e-05	1.3534963091580198e-05
IRA2	PIL1	1.18670099528041e-08	1.92907606995677e-05	1.75178141780201e-05
REX4	LSP1	2.0870510454553602e-08	3.18429898534622e-05	2.8916411737875703e-05
gOL02	LSP1	6.51152880538361e-08	8.581238947508979e-05	7.79256721084203e-05
IRA2	LSP1	1.03973735632714e-07	0.00012890691303566102	0.000117059528340503
MDY2	PIL1	2.7159831408327604e-07	0.000296733645459438	0.00026946189123798703
YOL106W	PIL1	3.90635115098424e-07	0.000403830734002377	0.000366716059972982
NOL019C	PIL1	4.43373025203685e-07	0.000450598778731224	0.000409185816857563
NOL020W	PIL1	4.43373025203685e-07	0.000450598778731224	0.000409185816857563
TRM10	PIL1	4.7386101892140797e-07	0.000476648057343684	0.000432840997143676
MPD2	PIL1	5.693135487196511e-07	0.000555851957172112	0.000504765542835647
NDJ1	PIL1	5.983764717462611e-07	0.000579971527437294	0.000526668367537041
HAL9	PIL1	6.5540138099124e-07	0.000625705171963965	0.000568198792333601
YPQ1	PIL1	6.812026906579021e-07	0.000645106813886064	0.00058581729702779
SKM1	PIL1	7.18407005139532e-07	0.000675620095086197	0.000613526208996078
HRP1	PIL1	7.497899431996941e-07	0.000699329745827414	0.00063505678844698
YOL099C	PIL1	1.36858465465745e-06	0.00116107778199331	0.0010543671733817199
YOL118C	PIL1	1.393544160932e-06	0.0011785787040979	0.0010702596467863199
NNL035W	GET3	2.3236448674783e-06	0.0017830912698162899	0.0016192135713855801
MPD2	LSP1	2.3452609505978297e-06	0.00179760513737753	0.00163239352000979
IRA1	MDJ1	2.52700922013342e-06	0.0019080870084504102	0.0017327213877199599
RFC4	PIL1	2.76073183441239e-06	0.00205093942396697	0.00186244473605617
TRM10	LSP1	3.20956257510239e-06	0.0023101314744020302	0.00209781534930746
NDJ1	LSP1	3.4467556844403296e-06	0.0024415227650300604	0.00221713092476239
FAR8	WSC4	3.54692411374565e-06	0.00249975979958375	0.00227001559662571
NOL019C	LSP1	4.81234181640306e-06	0.0031878207724272897	0.00289483928570351
NOL020W	LSP1	4.81234181640306e-06	0.0031878207724272897	0.00289483928570351
MAK5	MDJ1	5.3015814146912e-06	0.0034362460799855	0.00312043268985682
HAL9	LSP1	5.39270931262537e-06	0.00348361981049345	0.00316345246605342
YPQ1	LSP1	5.8697980554461e-06	0.0037235136730814	0.00338129852058238
YOL106W	LSP1	6.081465377334599e-06	0.0038265660309364	0.00347487969571724
YBR137W	MDJ1	6.25121607669744e-06	0.00391154420630964	0.00355204782343182
