SNP	gene	p.value	FDR	q.value
gOL02	PIL1	4.51589144547673e-09	1.80996642107709e-05	1.7238619894090398e-05
REX4	PIL1	4.51589144547673e-09	1.80996642107709e-05	1.7238619894090398e-05
IRA2	PIL1	3.28138575931463e-08	8.84278772372637e-05	8.422115161823521e-05
TRM10	PIL1	6.645612438936619e-08	0.00014904943489386002	0.000141958796784484
MDY2	PIL1	7.35693124277208e-08	0.000161083841295517	0.000153420697690122
NOL019C	PIL1	7.99693367153663e-08	0.00017250151884383	0.000164295209009041
NOL020W	PIL1	7.99693367153663e-08	0.00017250151884383	0.000164295209009041
MPD2	PIL1	8.6040418244858e-08	0.00018227204943373998	0.000173600932089959
YOL106W	PIL1	9.21405478649472e-08	0.000192819690991277	0.000183646797111107
HAL9	PIL1	1.1806818447618599e-07	0.00023711061948096401	0.00022583070019897099
YPQ1	PIL1	1.23738477412204e-07	0.00024511529908849904	0.00023345457805225097
YOL099C	PIL1	1.8527904544508398e-07	0.00033066593928187	0.00031493536967445096
RFC4	PIL1	1.97930960083797e-07	0.000346063258919229	0.000329600201989863
NDJ1	PIL1	2.12938915343982e-07	0.000364224313469287	0.000346897291737969
ECM23	SGT2	1.13585831417392e-06	0.0012944494521564699	0.0012328693956963
SKM1	PIL1	1.71068307727025e-06	0.0017830435576511102	0.00169821991098945
HRP1	PIL1	6.3855472367769096e-06	0.00489069062864743	0.0046580287780517
gPL09	SGT2	7.1109172076448e-06	0.00531709137496357	0.00506414462101447
SVL3	SGT2	1.2637471126362599e-05	0.008218365990076429	0.00782739866351442
gOL02	LSP1	1.41413605176465e-05	0.00897124212292078	0.00854445867801527
REX4	LSP1	1.41413605176465e-05	0.00897124212292078	0.00854445867801527
YOL118C	PIL1	1.7719336557984198e-05	0.010642394655176001	0.0101361104873042
PHO85	SGT2	2.22039769250624e-05	0.0125698429630919	0.0119718654692058
SMA1	SGT2	2.4105133094954e-05	0.0133611016555641	0.012725482093171002
YPL035C	SGT2	2.67321687892511e-05	0.0143132123297595	0.0136322985853683
TRM44	SGT2	3.39209345760154e-05	0.0169718879041715	0.0161644946037738
IRA2	LSP1	5.09953486607785e-05	0.0226246772331255	0.0215483672241961
AGP1	GET3	5.3206498091844895e-05	0.0232420406754528	0.0221363612109827
gCL01	GET3	9.43825147309022e-05	0.035083407186297995	0.0334144055951209
SLI15	GLC7	0.00014402067690927	0.0465813691261207	0.0443653819850238
SUV3	SGT2	0.00014968118618113	0.0478490518833726	0.0455727580415118
MPD2	LSP1	0.00016905403947513998	0.0520527127962247	0.0495764407505632
