SNP	gene	p.value	FDR	q.value
YCR041W	MATALPHA2	4.33402708762904e-32	5.4058021899634705e-27	4.9089737684132204e-27
YCR041W	HMRA1	3.83991313039425e-30	4.10528335554683e-25	3.7279810833068896e-25
NCR015C	MATALPHA2	9.875360572883711e-24	2.84249292679706e-19	2.58124931771526e-19
IMG1	HMRA1	1.1287744807543098e-23	3.21808605604638e-19	2.92232299268331e-19
NCR015C	HMRA1	1.44940373746999e-23	4.0932029821033e-19	3.7170109748450894e-19
gCR02	MATALPHA2	2.0777566161542999e-22	4.6941673227215495e-18	4.26274277933545e-18
gCR02	HMRA1	1.3798045527436599e-21	2.7174011565487304e-17	2.4676542956973497e-17
IMG1	MATALPHA2	2.34697472905888e-21	4.3502644370584e-17	3.95044680821457e-17
BUD23	HMRA1	1.78298748300549e-20	2.6888560558353197e-16	2.4417326756131e-16
BUD23	MATALPHA2	6.36953389531096e-19	7.181627875322791e-15	6.52158950986382e-15
RPB5	FKH2	3.57121522156131e-10	8.3912443210338e-07	7.6200343277044e-07
NBR034W	FKH2	7.43674850110369e-10	1.6143533478371e-06	1.46598376318611e-06
NBR035W	FKH2	7.43674850110369e-10	1.6143533478371e-06	1.46598376318611e-06
NBR031C	FKH2	8.837457865876749e-10	1.8923434229330898e-06	1.71842474022724e-06
RTC2	FKH2	9.31377948588333e-10	1.98440081773807e-06	1.80202146101091e-06
ILV6	MATALPHA2	1.3470724730264301e-09	2.771454407394e-06	2.51673970081807e-06
MAK5	FKH2	3.406232088407e-09	6.38482634843999e-06	5.79801923173538e-06
YBR144C	FKH2	3.6157746600134097e-09	6.72914771523871e-06	6.11069522285049e-06
BUD3	MATALPHA2	4.0672597330404e-09	7.485617120359979e-06	6.797640163832981e-06
RAD51	MGA1	4.29959727292366e-09	7.872085311980091e-06	7.14858941212614e-06
BUD3	HMRA1	4.8002640119137704e-09	8.67248373011317e-06	7.87542600377754e-06
CSH1	FKH2	5.811506253353641e-09	1.02849998416136e-05	9.33974138460966e-06
SLX8	MGA1	9.57085619718256e-09	1.59790248322714e-05	1.45104484015487e-05
LEU2	MATALPHA2	1.12729566915474e-08	1.84251353052119e-05	1.6731745393991298e-05
ILV6	HMRA1	1.22923569182054e-08	1.98742713788263e-05	1.80476964262807e-05
gBR08	FKH2	1.7945950386951e-08	2.7863726812325898e-05	2.53028688814941e-05
SLI15	FKH2	2.1642758607971298e-08	3.28621220606732e-05	2.9841879059087103e-05
CTF3	STP3	2.4151121183706e-08	3.62206742446633e-05	3.28917584279002e-05
YBR162W	FKH2	2.6623204828637e-08	3.9473331766093e-05	3.5845475543183295e-05
YCL022C	MATALPHA2	2.8272737194099105e-08	4.15690263974046e-05	3.77485621916023e-05
LEU2	HMRA1	4.2286860299434004e-08	5.88771461908682e-05	5.34659530729065e-05
gCL01	MATALPHA2	6.17831346878358e-08	8.19986831873234e-05	7.44624702617385e-05
YBR139W	FKH2	6.638448640657281e-08	8.733122056856871e-05	7.930491273442421e-05
YCL022C	HMRA1	8.16546128617827e-08	0.000104727236243741	9.51021212935674e-05
CST9	STP3	9.581619628539659e-08	0.000120489863027524	0.000109416060036376
STE23	STP3	9.65627865378241e-08	0.000121326774174493	0.000110176053599328
BDF1	STP3	1.53213531431655e-07	0.000180878057591503	0.000164254186297598
EXO5	FKH2	1.5698949213439802e-07	0.00018469192146494199	0.000167717531246802
UBS1	FKH2	1.5698949213439802e-07	0.00018469192146494199	0.000167717531246802
YCL023C	HMRA1	1.5830303880625598e-07	0.000185981436706108	0.000168888531640529
SFP1	STP3	1.58905056523443e-07	0.00018661547386058302	0.000169464296651926
DOT6	MGA1	3.5046480387697803e-07	0.000368952916135941	0.000335043740678038
AFG2	STP3	3.52889148717384e-07	0.000371048437582546	0.000336946670058553
gCL01	HMRA1	3.81883537522102e-07	0.00039617733708708903	0.000359766060069885
AIM10	MGA1	4.15677568497429e-07	0.00042592238787217	0.000386777347000654
gBR07	FKH2	8.841378804907971e-07	0.000804214475761709	0.000730301928735407
YBR138C	STP3	8.88949860305509e-07	0.00080773243835151	0.000733496567655725
YLR269C	ROX1	1.08267082116214e-06	0.00095182933700345	0.000864350023023621
SLI15	STB3	1.3050111082997102e-06	0.0011144074512149699	0.00101198614989933
NLR116W	ROX1	1.4135524717994e-06	0.00119112576263622	0.00108165354894384
YLR271W	ROX1	1.55311534610494e-06	0.00129146006235246	0.0011727664731817301
YBR138C	FKH2	1.8054592773677399e-06	0.00146209892219879	0.00132772251068024
TYR1	FKH2	1.99907283856212e-06	0.0015848070813004802	0.00143915299093698
YBR174C	FKH2	2.06251205355897e-06	0.00162398679104444	0.0014747318302338
gBR07	STP3	2.2374050157091597e-06	0.00173200924371423	0.00157282631610681
NBR034W	STP3	2.30642717476074e-06	0.00177283292338975	0.00160989803379365
NBR035W	STP3	2.30642717476074e-06	0.00177283292338975	0.00160989803379365
RPB5	STP3	2.5664148287236098e-06	0.0019328694884145	0.00175522619640234
IRA1	FKH2	2.63609329523681e-06	0.00197518623914213	0.00179365376218936
YBR174C	STB3	2.69701850329336e-06	0.0020120957829715697	0.00182717107860157
EXO5	STB3	2.79442102646544e-06	0.00206809349512039	0.00187802223637055
UBS1	STB3	2.79442102646544e-06	0.00206809349512039	0.00187802223637055
YBR139W	STP3	2.84370448197398e-06	0.00209800106463458	0.0019051811055009601
YBR137W	STP3	2.9044174274549197e-06	0.0021338529229469397	0.00193773794458231
SLI15	STP3	3.0408431199058602e-06	0.00221236469130857	0.00200903397019615
SMY2	FKH2	3.12348929663997e-06	0.00226013443115888	0.00205241335989792
ECM31	FKH2	3.13080271754153e-06	0.0022640581936876603	0.00205597650310043
NBR041W	FKH2	3.5042304565067398e-06	0.0024760831196411	0.00224851495774229
PCH2	FKH2	4.04228406627176e-06	0.00277727599274243	0.00252202624456528
HOS4	HCM1	4.44828823306372e-06	0.00299571797405738	0.0027203919853957897
NBR031C	STP3	4.53652582779697e-06	0.00304247920765108	0.0027628555571329
YBR162W	STB3	4.574150899062149e-06	0.00306188209433602	0.0027804751921881197
VPS36	STP3	4.79809202919996e-06	0.00318219600675969	0.00288973147262685
NBR034W	STB3	4.92136644026255e-06	0.00324567694728101	0.00294737810135328
NBR035W	STB3	4.92136644026255e-06	0.00324567694728101	0.00294737810135328
OSW7	PHO4	4.95604267898211e-06	0.00326351322166351	0.00296357510597777
SMY2	STB3	5.32087254372512e-06	0.00344688391748432	0.0031300928408204
YBR137W	FKH2	5.329551609246669e-06	0.00345076060487813	0.00313361323539937
AIM9	MGA1	5.52062952401141e-06	0.0035486415723280005	0.00322249830458123
ECM31	STB3	5.89794848603478e-06	0.0037358293346942103	0.00339248229269861
REX4	CIN5	5.93627686977783e-06	0.00375335633892681	0.0034083984511138104
RPI1	HCM1	6.6754392054139995e-06	0.004107445333820321	0.00372994436169916
YFR035C	PHO4	6.7028215923353895e-06	0.00411936237502515	0.00374076614921854
QDR2	HCM1	6.86597318964138e-06	0.00420270213149936	0.0038164464393996
YSH1	ROX1	7.44115051175513e-06	0.00446797915975645	0.00405734278138829
NML007W	WAR1	7.506269922820959e-06	0.00449625718577474	0.00408302187268099
NBR041W	STB3	7.580484318926151e-06	0.0045302867519266396	0.0041139239001174105
PIG1	ROX1	8.31605632013206e-06	0.00488024773583855	0.0044317211908102205
YCL023C	MATALPHA2	8.44644851750423e-06	0.00493933838634865	0.0044853810257651705
YML079W	WAR1	8.51916912185234e-06	0.0049747711319737395	0.00451755727134429
NTC20	FKH2	8.55126970138441e-06	0.00499020008311274	0.004531568201406829
BOP2	ROX1	8.68753170834069e-06	0.00505329272732128	0.00458886222078005
NBR038W	STB3	9.008236121552341e-06	0.00519010544867909	0.00471310096217862
NBR038W	FKH2	9.29160846985274e-06	0.00531165138453811	0.00482347603507658
IRA1	STP3	9.41999820065391e-06	0.00537273460677359	0.00487894531144057
CSH1	STB3	9.70597056174121e-06	0.0055038561938756	0.0049980159708797
MCM5	ROX1	9.74731955113591e-06	0.00552207327629519	0.0050145587848030105
AGP2	FKH2	9.80616440973458e-06	0.00554858472396105	0.005038633657797061
STP3	STP3	1.00978095376169e-05	0.00567925377044424	0.00515729336804703
gOL02	CIN5	1.01812511814944e-05	0.0057142374281973895	0.00518906179985389
gBR08	STP3	1.11817056421761e-05	0.0061321745856597705	0.00556858781111586
PRM8	SMP1	1.1252553804328e-05	0.00616041053606603	0.00559422869381926
AGP2	STP3	1.1364176169592301e-05	0.00620899738870402	0.0056383500983227895
RPB5	STB3	1.2344492329276e-05	0.00662363882298098	0.00601488328482043
MAK5	STP3	1.24100327023755e-05	0.0066516519838273	0.00604032185377516
TAF5	FKH2	1.26312938951291e-05	0.00673887408387055	0.00611952767487107
RIM2	FKH2	1.31397703260371e-05	0.00693659262149516	0.00629907459142866
YBR225W	FKH2	1.38721426923561e-05	0.007220710781093291	0.00655708044210269
PGI1	FKH2	1.40395643290272e-05	0.0072823878819326	0.006613089015759729
YCL026C	HMRA1	1.4069294374461802e-05	0.007292265942772359	0.0066220592184865704
SDH4	STB3	1.43418716794792e-05	0.007395927444909001	0.00671619355357712
YCL023C	HCM1	1.43421775914733e-05	0.007395927444909001	0.00671619355357712
YFR056C	PHO4	1.4687620447201002e-05	0.00753447745957807	0.0068420099197191
YML083C	WAR1	1.5138620851411498e-05	0.00771756037191305	0.00700826632025216
SLX1	FKH2	1.5318058928159303e-05	0.00778451116452782	0.00706906389907047
CDC73	STP3	1.6578162977898402e-05	0.00825668228897917	0.0074978394226065
YER076C	MGA1	1.67338700745797e-05	0.00831555422257632	0.00755130064215698
NTC20	STB3	1.7023285504733898e-05	0.008420235416378109	0.0076463609526088204
NBR043C	FKH2	1.7047254810745903e-05	0.00842930573857938	0.007654597653137741
YFR045W	PHO4	1.71926433163441e-05	0.00847739053561649	0.0076982631442193
YGL052W	SMP1	1.72784109697977e-05	0.0085077693416445	0.007725849940159441
MST27	SMP1	1.72784109697977e-05	0.0085077693416445	0.007725849940159441
YGL046W	SMP1	1.72784109697977e-05	0.0085077693416445	0.007725849940159441
NNL035W	HCM1	1.77646897675497e-05	0.008684357147966741	0.00788620817721569
NIL015W	HCM1	1.82740526907127e-05	0.00885679875426228	0.008042801277026041
RIM8	SMP1	1.8573885328395898e-05	0.00896573260326562	0.00814172339597492
TYR1	STB3	1.86009494146435e-05	0.0089759018579928	0.00815095802997478
RTC2	STB3	1.87984526011317e-05	0.00904205570114434	0.00821103190417492
RTC2	STP3	1.91433471288027e-05	0.00916805651767251	0.00832545242520023
KEG1	PHO4	1.92121485577198e-05	0.00919156687710631	0.00834680202951258
IRC6	PHO4	1.92121485577198e-05	0.00919156687710631	0.00834680202951258
DUG1	PHO4	1.92121485577198e-05	0.00919156687710631	0.00834680202951258
MCM7	FKH2	2.00387738305105e-05	0.009499744967509941	0.00862665654668302
YLR257W	ROX1	2.0307110207067302e-05	0.0095897468811708	0.008708386698424121
SCC2	STB3	2.0976929822774803e-05	0.00982392253500167	0.00892104008481534
NIL018C	HCM1	2.12843109071631e-05	0.00992594784167017	0.009013688601455459
ECM23	FKH2	2.17650755304304e-05	0.0100958905676157	0.00916801248429155
NBR031C	STB3	2.2302766541531e-05	0.0102839509706956	0.00933878891175881
RSC8	PHO4	2.31344701686534e-05	0.0105592921278508	0.00958882442366653
MED8	FKH2	2.33248399733727e-05	0.0106235055301987	0.00964713619620821
PCH2	STB3	2.5650202556895604e-05	0.0114142962880594	0.0103652481341273
IRA2	CIN5	2.60196176063719e-05	0.0115298373730051	0.0104701702410119
KTR4	FKH2	2.67337798440422e-05	0.011761855310313001	0.0106808642190787
gCL01	HCM1	2.7068375928654602e-05	0.0118585215983819	0.0107686462458242
MIG1	SMP1	2.86390967142661e-05	0.0123612192705636	0.0112251427285782
YBR162W	STP3	2.9087063759121898e-05	0.0125094452745652	0.0113597457976271
YBR144C	STP3	2.9404765510136896e-05	0.0126053656696655	0.0114468504838248
NBR016C	MSN1	3.17113825320357e-05	0.0133055062862832	0.0120826436187564
YLR252W	ROX1	3.25945427219359e-05	0.0135573429812362	0.0123113348815894
YCR064C	MATALPHA2	3.2888215603685e-05	0.0136519432182467	0.0123972407408219
PRM5	HCM1	3.43539257875747e-05	0.0140899146568439	0.0127949597523277
AGP1	HMRA1	3.46956652928531e-05	0.0141916506782789	0.012887345570931002
VPS63	ROX1	3.4701606439599396e-05	0.0141923294214014	0.0128879619331409
SAK1	MGA1	3.52796196462362e-05	0.0143794220014537	0.0130578594868188
CSH1	STP3	3.5460483504361205e-05	0.0144393771994828	0.0131123044117461
OCH1	SMP1	3.58975419135492e-05	0.0145638567946881	0.0132253435215937
RED1	ROX1	3.6100287867258205e-05	0.0146325878291419	0.0132877577264338
HXK1	PHO4	3.83234428472331e-05	0.0152464239582951	0.0138451783182771
YCL026C	HCM1	3.91684479579648e-05	0.0154745791278521	0.0140523645421021
CCZ1	STP3	3.9796547503429403e-05	0.0156597217565594	0.0142204913576609
PYC2	FKH2	3.9905042612369896e-05	0.0156827996229196	0.0142414482178293
RPT6	SMP1	4.12524528503907e-05	0.016073326269666	0.0145960829227957
BNA6	PHO4	4.28787769990262e-05	0.016516483388278998	0.0149985110165568
PEX32	STB3	4.3784168634500704e-05	0.0167670541194791	0.0152260526659492
YBR144C	STB3	4.43324510227974e-05	0.0168959637533035	0.0153431146650203
MED8	STB3	4.4783009646693297e-05	0.0170092109519647	0.0154459537087068
TCB3	WAR1	4.66738542064601e-05	0.0175492490015108	0.0159363587450007
