SNP	gene	p.value	FDR	q.value
RIM8	TIF4632	3.1354482124364097e-13	1.3341826862824601e-09	1.2115626097809501e-09
PRM8	TIF4632	6.83859992621886e-13	2.7496807003674797e-09	2.4969671392484402e-09
YGL052W	TIF4632	1.6685332819529198e-12	6.20467107999076e-09	5.634421405551371e-09
MST27	TIF4632	1.6685332819529198e-12	6.20467107999076e-09	5.634421405551371e-09
YGL046W	TIF4632	1.6685332819529198e-12	6.20467107999076e-09	5.634421405551371e-09
RPT6	TIF4632	4.93422926145428e-12	1.68614526985911e-08	1.5311775400957302e-08
OCH1	TIF4632	4.64651364116544e-11	1.31282254342864e-07	1.19216560314359e-07
NNL035W	IFM1	2.19249013136698e-10	5.3533661353691e-07	4.86135692867743e-07
MLF3	IFM1	4.2629487602346994e-10	9.857977623857279e-07	8.9519652892528e-07
SUN4	IFM1	1.6234594502253003e-08	2.55042327281948e-05	2.31602276677201e-05
MNP1	TIF4632	1.04665894235959e-07	0.000129604020982822	0.000117692567528049
PNC1	TIF4632	2.74364115929177e-07	0.000299584147841837	0.00027205041389017997
gNL07	IFM1	1.14294534420205e-06	0.000997350499395872	0.000905687494177666
MIG1	TIF4632	2.0996292979038897e-06	0.0016472933172527401	0.00149589633492134
NBR016C	TIF1	2.53704782069039e-06	0.0019142184072852102	0.0017382892710767698
HOP2	TIF4632	7.05714246422733e-06	0.00429071141958971	0.0038963671008352603
RPB5	GCD6	8.38826082210693e-06	0.00491298926431031	0.00446145355961647
RTC2	GCD6	9.659331549765629e-06	0.00548728395519192	0.00498296682884245
NNL035W	TIF4632	1.17308015724115e-05	0.0063673972012365	0.00578219193665111
TAT1	TIF1	1.59671846209429e-05	0.008029199235333259	0.007291263542863859
NBR034W	GCD6	1.98734964974843e-05	0.00943184800990203	0.008564999761595471
NBR035W	GCD6	1.98734964974843e-05	0.00943184800990203	0.008564999761595471
SLI15	GCD6	2.22459823404076e-05	0.0102625097853211	0.009319318310936091
REX4	GCD1	2.7131591107808102e-05	0.0118783931176296	0.0107866914430581
SLI15	DED1	2.7552779128426696e-05	0.0120022323567625	0.0108991490497261
SMY2	GCD6	3.09811288717627e-05	0.0130973192644503	0.0118935903398556
TRM7	TIF1	3.41018038528807e-05	0.0140119235728381	0.0127241365567869
MUM2	TIF1	3.58072987830233e-05	0.0145387104263422	0.0132025082682413
YNL115C	IFM1	3.76640045018139e-05	0.0150661227099881	0.0136814479287348
gOL02	GCD1	3.77877129557535e-05	0.0150934219747873	0.0137062382133378
