module_name	reason
SCF-GRR1 complex	no linkages
APC|C complex	no linkages
Polyamine biosynthesis                                                       ,arginine to ornithine to putrescine	no interactions
ESCRT-III complex	no linkages
Ornithine biosynthesis                                                       ,glutamate to ornithine	no interactions
COPII complex	no linkages
Uridine monophosphate biosynthesis                                           ,glutamine (+ PRPP) to UMP	linkage sets don't intersect
H|ACA ribonucleoprotein complex	no linkages
MRX complex	no linkages
Cytochrome bc1 complex respiratory unit	linkage sets don't intersect
Proteasome                                                                   ,19S regulatory particle (PA700)	no linkages
Cell cycle - G1|S transition	no linkages
RNA polymerase III                                                           ,eukaryotes	no linkages
Aminoacyl-tRNA biosynthesis                                                  ,eukaryotes	linkage sets don't intersect
PRPP biosynthesis                                                            ,ribose 5P to PRPP	no linkages
Lsm 1-7 complex	no linkages
Phenylalanine biosynthesis                                                   ,chorismate to phenylalanine	no interactions
Decapping complex	no linkages
MCM complex	no linkages
beta-Oxidation                                                               ,acyl-CoA synthesis	no interactions
RF-C complex	no linkages
Shikimate pathway                                                            ,phosphoenolpyruvate + erythrose-4P to chorismate	no interactions
Citrate cycle                                                                ,second carbon oxidation                                         ,2-oxoglutarate to oxaloacetate	linkage sets don't intersect
TRAMP complex	no linkages
cAMP signaling	no linkages
Arginine biosynthesis                                                        ,ornithine to arginine	no interactions
ESCRT-II complex	no linkages
SCF-CDC4 complex	no linkages
DNA damage-induced cell cycle checkpoints	no linkages
Ubiquinone biosynthesis                                                      ,eukaryotes                                                      ,4-hydroxybenzoate to ubiquinone	no linkages
Tetrahydrofolate biosynthesis                                                ,GTP to THF	no interactions
N-glycan biosynthesis                                                        ,high-mannose type	no linkages
Cysteine biosynthesis                                                        ,homocysteine + serine to cysteine	no interactions
Lsm 2-8 complex	no linkages
Proteasome                                                                   ,20S core particle	no linkages
Origin recognition complex	no linkages
Succinate dehydrogenase (ubiquinone)	no linkages
Phosphatidylethanolamine (PE) biosynthesis                                   ,ethanolamine to PE	no interactions
Fatty acid biosynthesis                                                      ,elongation                                                      ,endoplasmic reticulum	no linkages
Assimilatory sulfate reduction                                               ,sulfate to H2S	no interactions
Nucleotide sugar biosynthesis                                                ,galactose to UDP-galactose	no interactions
SCF-MET30 complex	no linkages
Pyruvate oxidation                                                           ,pyruvate to acetyl-CoA	linkage sets don't intersect
C10-C20 isoprenoid biosynthesis                                              ,non-plant eukaryotes	no interactions
N-glycosylation by oligosaccharyltransferase	no linkages
Pentose phosphate pathway                                                    ,non-oxidative phase                                             ,fructose 6P to ribose 5P	linkage sets don't intersect
Adenine ribonucleotide biosynthesis                                          ,IMP to ADP                                                      ,ATP	no interactions
GABA (gamma-Aminobutyrate) shunt	no interactions
RNA polymerase I                                                             ,eukaryotes	no linkages
Sec61 complex	no linkages
GINS complex	no linkages
Acylglycerol degradation	no interactions
Exosome                                                                      ,archaea	no linkages
F-type ATPase                                                                ,eukaryotes	linkage sets don't intersect
Sphingosine degradation	no interactions
Cap binding complex	no linkages
RNA polymerase II                                                            ,eukaryotes	no linkages
Galactose degradation                                                        ,Leloir pathway                                                  ,galactose to alpha-D-glucose-1P	no interactions
Phosphatidylethanolamine (PE) biosynthesis                                   ,PA to PS to PE	no interactions
GPI-anchor biosynthesis                                                      ,core oligosaccharide	no interactions
N-glycan precursor biosynthesis	no linkages
Holo-TFIIH complex	no linkages
Spliceosome                                                                  ,U1-snRNP	no linkages
Sm core complex	no linkages
Exosome                                                                      ,eukaryotes	linkage sets don't intersect
DNA polymerase zeta complex	no linkages
Phosphatidylcholine (PC) biosynthesis                                        ,PE to PC	no interactions
Phosphatidylcholine (PC) biosynthesis                                        ,choline to PC	no interactions
Histidine biosynthesis                                                       ,PRPP to histidine	no interactions
Coenzyme A biosynthesis                                                      ,pantothenate to CoA	no linkages
Proline biosynthesis                                                         ,glutamate to proline	no interactions
Cell cycle - G2|M transition	no linkages
SLN1-YPD1-SSK1|SKN7 (osmosensing) two-component regulatory system	no linkages
Ski complex	no linkages
N-glycan precursor trimming	no interactions
Threonine biosynthesis                                                       ,aspartate to homoserine to threonine	no interactions
DNA polymerase alpha | primase complex	no linkages
