module_name	reason
Inositol phosphate metabolism 	no interactions
Sulfur relay system 	no linkages
ABC transporters 	no linkages
Other glycan degradation 	no interactions
Hippo signaling pathway - multiple species 	linkage sets don't intersect
Folate biosynthesis 	no interactions
Protein export 	linkage sets don't intersect
Monobactam biosynthesis 	no interactions
SNARE interactions in vesicular transport 	linkage sets don't intersect
Arachidonic acid metabolism 	no interactions
Carbapenem biosynthesis 	no interactions
alpha-Linolenic acid metabolism 	no interactions
Autophagy - other 	linkage sets don't intersect
Sesquiterpenoid and triterpenoid biosynthesis 	no interactions
Cyanoamino acid metabolism 	no interactions
N-Glycan biosynthesis 	linkage sets don't intersect
C5-Branched dibasic acid metabolism 	no linkages
Synthesis and degradation of ketone bodies 	no interactions
Pantothenate and CoA biosynthesis 	no linkages
Biosynthesis of unsaturated fatty acids 	no linkages
Atrazine degradation 	no interactions
Ubiquinone and other terpenoid-quinone biosynthesis 	no linkages
Phosphatidylinositol signaling system 	no interactions
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	linkage sets don't intersect
Selenocompound metabolism 	linkage sets don't intersect
Taurine and hypotaurine metabolism 	no interactions
Lipoic acid metabolism 	no interactions
Sulfur metabolism 	no interactions
Nitrogen metabolism 	no interactions
Tryptophan metabolism 	no interactions
Biotin metabolism 	no interactions
