module_name	reason
Inositol phosphate metabolism 	no interactions
Sulfur relay system 	no linkages
Thiamine metabolism 	no linkages
ABC transporters 	no linkages
Other glycan degradation 	no interactions
Basal transcription factors 	no linkages
Hippo signaling pathway - multiple species 	linkage sets don't intersect
Folate biosynthesis 	no interactions
Monobactam biosynthesis 	no interactions
Arachidonic acid metabolism 	no interactions
Mismatch repair 	no linkages
Homologous recombination 	linkage sets don't intersect
Carbapenem biosynthesis 	no interactions
alpha-Linolenic acid metabolism 	no interactions
Mannose type O-glycan biosynthesis 	linkage sets don't intersect
RNA degradation 	linkage sets don't intersect
Aminoacyl-tRNA biosynthesis 	linkage sets don't intersect
Fatty acid elongation 	no linkages
Sesquiterpenoid and triterpenoid biosynthesis 	no interactions
Cyanoamino acid metabolism 	no interactions
Synthesis and degradation of ketone bodies 	no interactions
Other types of O-glycan biosynthesis 	linkage sets don't intersect
Biosynthesis of unsaturated fatty acids 	no linkages
Atrazine degradation 	no interactions
Phosphatidylinositol signaling system 	no interactions
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	no linkages
Various types of N-glycan biosynthesis 	no linkages
Taurine and hypotaurine metabolism 	no interactions
Lipoic acid metabolism 	no interactions
AGE-RAGE signaling pathway in diabetic complications 	no linkages
Phosphonate and phosphinate metabolism 	no linkages
Sulfur metabolism 	no interactions
Nicotinate and nicotinamide metabolism 	no linkages
RNA polymerase 	no linkages
Nitrogen metabolism 	no interactions
Tryptophan metabolism 	no interactions
Proteasome 	no linkages
Biotin metabolism 	no interactions
Non-homologous end-joining 	no linkages
