module_name	genes_count	genes_with_interactions	interactions_count
Nicotinate and nicotinamide metabolism 	20	20	29
Autophagy - other 	23	23	272
Tyrosine metabolism 	14	14	15
Ether lipid metabolism 	7	7	8
Glutathione metabolism 	25	25	70
Tryptophan metabolism 	17	17	10
Vitamin B6 metabolism 	13	13	41
Arachidonic acid metabolism 	5	5	1
Galactose metabolism 	24	23	20
Base excision repair 	18	18	157
Oxidative phosphorylation 	72	72	640
Lysine biosynthesis 	12	12	13
Various types of N-glycan biosynthesis 	30	30	247
Hippo signaling pathway - multiple species 	8	8	26
Citrate cycle (TCA cycle) 	32	32	68
Biosynthesis of unsaturated fatty acids 	11	11	22
Phenylalanine metabolism 	11	11	15
Ribosome 	183	175	459
One carbon pool by folate 	15	15	12
Taurine and hypotaurine metabolism 	3	3	2
Monobactam biosynthesis 	3	3	6
Ubiquinone and other terpenoid-quinone biosynthesis 	7	7	14
Biotin metabolism 	6	6	0
Glycerolipid metabolism 	26	26	12
Proteasome 	35	35	2118
Pentose and glucuronate interconversions 	11	11	10
Valine                                                            ,leucine and isoleucine biosynthesis 	12	12	22
Non-homologous end-joining 	10	10	129
RNA polymerase 	30	30	1103
mRNA surveillance pathway 	46	46	1104
Starch and sucrose metabolism 	41	40	70
Thiamine metabolism 	19	18	8
Other glycan degradation 	1	1	0
Ubiquitin mediated proteolysis 	47	47	907
Methane metabolism 	26	26	39
Inositol phosphate metabolism 	20	20	11
Amino sugar and nucleotide sugar metabolism 	33	32	21
Phosphonate and phosphinate metabolism 	4	4	4
Protein processing in endoplasmic reticulum 	88	88	1273
C5-Branched dibasic acid metabolism 	3	3	2
Sesquiterpenoid and triterpenoid biosynthesis 	2	2	0
Steroid biosynthesis 	17	17	92
Lysine degradation 	14	14	19
Porphyrin and chlorophyll metabolism 	17	17	25
Cell cycle - yeast 	126	126	2931
Pantothenate and CoA biosynthesis 	15	15	44
Cyanoamino acid metabolism 	8	6	3
Nitrogen metabolism 	7	7	7
Endocytosis 	74	74	716
Purine metabolism 	99	99	1391
Phagosome 	34	34	367
Longevity regulating pathway - multiple species 	36	36	145
Basal transcription factors 	32	32	1167
Cysteine and methionine metabolism 	40	40	34
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	25	24	20
Alanine                                                           ,aspartate and glutamate metabolism 	32	30	29
Protein export 	22	22	145
Selenocompound metabolism 	12	12	14
Nucleotide excision repair 	37	37	495
Pyruvate metabolism 	43	43	56
AGE-RAGE signaling pathway in diabetic complications 	8	8	14
Fatty acid biosynthesis 	11	11	8
Lipoic acid metabolism 	3	3	0
N-Glycan biosynthesis 	30	29	193
Valine                                                            ,leucine and isoleucine degradation 	13	13	13
Glycine                                                           ,serine and threonine metabolism 	31	31	26
Phenylalanine                                                     ,tyrosine and tryptophan biosynthesis 	17	17	13
Histidine metabolism 	14	14	6
Sulfur relay system 	7	7	38
Propanoate metabolism 	13	13	10
Synthesis and degradation of ketone bodies 	2	2	1
Ribosome biogenesis in eukaryotes 	91	83	1424
Riboflavin metabolism 	14	14	9
SNARE interactions in vesicular transport 	20	20	343
alpha-Linolenic acid metabolism 	3	3	3
DNA replication 	31	31	500
Arginine and proline metabolism 	21	21	23
Peroxisome 	39	39	259
Pyrimidine metabolism 	71	71	1336
Spliceosome 	79	79	1999
Butanoate metabolism 	9	9	9
Pentose phosphate pathway 	28	28	56
Terpenoid backbone biosynthesis 	19	19	15
RNA degradation 	62	62	1650
Arginine biosynthesis 	17	16	12
ABC transporters 	6	6	13
Mannose type O-glycan biosynthesis 	7	7	12
Fructose and mannose metabolism 	23	22	26
Sulfur metabolism 	14	14	9
Glycolysis | Gluconeogenesis 	56	56	80
Folate biosynthesis 	11	11	10
Meiosis - yeast 	130	129	1998
Phosphatidylinositol signaling system 	22	22	9
Aminoacyl-tRNA biosynthesis 	337	39	25
RNA transport 	93	93	1932
Autophagy - yeast 	85	85	1240
Atrazine degradation 	3	2	1
Fatty acid degradation 	19	19	13
Other types of O-glycan biosynthesis 	13	13	12
Glyoxylate and dicarboxylate metabolism 	30	30	21
Mitophagy - yeast 	41	41	305
Glycerophospholipid metabolism 	37	37	13
Mismatch repair 	20	20	315
Sphingolipid metabolism 	14	14	17
Homologous recombination 	20	20	282
Carbapenem biosynthesis 	3	3	4
beta-Alanine metabolism 	13	13	10
Fatty acid elongation 	8	8	12
MAPK signaling pathway - yeast 	114	112	1356
