module_name	genes_count	genes_with_interactions	interactions_count
Nicotinate and nicotinamide metabolism 	20	2	1
Autophagy - other 	23	23	44
Tyrosine metabolism 	14	5	3
Ether lipid metabolism 	7	2	1
Glutathione metabolism 	25	8	6
Tryptophan metabolism 	17	0	0
Vitamin B6 metabolism 	13	8	15
Arachidonic acid metabolism 	5	0	0
Galactose metabolism 	24	6	3
Base excision repair 	18	13	17
Oxidative phosphorylation 	72	65	230
Lysine biosynthesis 	12	2	1
Various types of N-glycan biosynthesis 	30	21	51
Hippo signaling pathway - multiple species 	8	5	4
Citrate cycle (TCA cycle) 	32	20	17
Biosynthesis of unsaturated fatty acids 	11	7	10
Phenylalanine metabolism 	11	2	1
Ribosome 	183	154	363
One carbon pool by folate 	15	6	3
Taurine and hypotaurine metabolism 	3	0	0
Monobactam biosynthesis 	3	0	0
Ubiquinone and other terpenoid-quinone biosynthesis 	7	4	5
Biotin metabolism 	6	0	0
Glycerolipid metabolism 	26	5	3
Proteasome 	35	35	401
Pentose and glucuronate interconversions 	11	2	1
Valine                                                            ,leucine and isoleucine biosynthesis 	12	9	7
Non-homologous end-joining 	10	9	14
RNA polymerase 	30	30	224
mRNA surveillance pathway 	46	43	197
Starch and sucrose metabolism 	41	16	16
Thiamine metabolism 	19	2	1
Other glycan degradation 	1	0	0
Ubiquitin mediated proteolysis 	47	46	143
Methane metabolism 	26	8	6
Inositol phosphate metabolism 	20	0	0
Amino sugar and nucleotide sugar metabolism 	33	4	2
Phosphonate and phosphinate metabolism 	4	2	1
Protein processing in endoplasmic reticulum 	88	81	346
C5-Branched dibasic acid metabolism 	3	2	1
Sesquiterpenoid and triterpenoid biosynthesis 	2	0	0
Steroid biosynthesis 	17	14	55
Lysine degradation 	14	2	1
Porphyrin and chlorophyll metabolism 	17	4	2
Cell cycle - yeast 	126	126	603
Pantothenate and CoA biosynthesis 	15	10	9
Cyanoamino acid metabolism 	8	0	0
Nitrogen metabolism 	7	0	0
Endocytosis 	74	71	209
Purine metabolism 	99	71	288
Phagosome 	34	30	89
Longevity regulating pathway - multiple species 	36	30	47
Basal transcription factors 	32	31	182
Cysteine and methionine metabolism 	40	6	3
Glycosylphosphatidylinositol (GPI)-anchor biosynthesis 	25	11	14
Alanine                                                           ,aspartate and glutamate metabolism 	32	7	5
Protein export 	22	21	47
Selenocompound metabolism 	12	2	1
Nucleotide excision repair 	37	36	102
Pyruvate metabolism 	43	21	16
AGE-RAGE signaling pathway in diabetic complications 	8	2	1
Fatty acid biosynthesis 	11	4	4
Lipoic acid metabolism 	3	0	0
N-Glycan biosynthesis 	30	18	43
Valine                                                            ,leucine and isoleucine degradation 	13	2	1
Glycine                                                           ,serine and threonine metabolism 	31	3	2
Phenylalanine                                                     ,tyrosine and tryptophan biosynthesis 	17	3	2
Histidine metabolism 	14	2	1
Sulfur relay system 	7	7	12
Propanoate metabolism 	13	4	2
Synthesis and degradation of ketone bodies 	2	0	0
Ribosome biogenesis in eukaryotes 	91	80	454
Riboflavin metabolism 	14	2	1
SNARE interactions in vesicular transport 	20	20	72
alpha-Linolenic acid metabolism 	3	0	0
DNA replication 	31	30	89
Arginine and proline metabolism 	21	2	1
Peroxisome 	39	26	55
Pyrimidine metabolism 	71	58	268
Spliceosome 	79	79	797
Butanoate metabolism 	9	4	2
Pentose phosphate pathway 	28	15	13
Terpenoid backbone biosynthesis 	19	4	2
RNA degradation 	62	57	314
Arginine biosynthesis 	17	4	2
ABC transporters 	6	4	2
Mannose type O-glycan biosynthesis 	7	4	4
Fructose and mannose metabolism 	23	8	4
Sulfur metabolism 	14	0	0
Glycolysis | Gluconeogenesis 	56	24	18
Folate biosynthesis 	11	0	0
Meiosis - yeast 	130	116	435
Phosphatidylinositol signaling system 	22	0	0
Aminoacyl-tRNA biosynthesis 	337	11	7
RNA transport 	93	82	494
Autophagy - yeast 	85	80	276
Atrazine degradation 	3	0	0
Fatty acid degradation 	19	3	2
Other types of O-glycan biosynthesis 	13	4	4
Glyoxylate and dicarboxylate metabolism 	30	5	3
Mitophagy - yeast 	41	35	61
Glycerophospholipid metabolism 	37	5	3
Mismatch repair 	20	20	53
Sphingolipid metabolism 	14	4	2
Homologous recombination 	20	19	31
Carbapenem biosynthesis 	3	0	0
beta-Alanine metabolism 	13	4	2
Fatty acid elongation 	8	6	8
MAPK signaling pathway - yeast 	114	103	347
