SNP	gene	p.value	FDR	q.value
UBP5	CDC24	4.1413832047886795e-09	1.6994700497771602e-05	1.6186221947733898e-05
SLI15	MSS4	2.12964648256886e-08	6.19816571579807e-05	5.9033041481312e-05
RPB5	MSS4	1.5389066384714902e-07	0.000288808656172554	0.0002750693376355
NBR031C	MSS4	2.1267008482439101e-07	0.000364208421093655	0.000346882155400656
NBR034W	MSS4	2.3622510474060603e-07	0.000391379926655872	0.000372761047455378
NBR035W	MSS4	2.3622510474060603e-07	0.000391379926655872	0.000372761047455378
NER037W	CDC24	2.8622179870184196e-07	0.00045274174422928095	0.000431203736603668
gER03	CDC24	5.58551566555896e-07	0.0007499309955416241	0.0007142549844237281
SAK1	CDC24	8.20979238421302e-07	0.0010150021393895699	0.00096671605997049
RTC2	MSS4	8.741315730924271e-07	0.00106618859343893	0.0010154674519746699
MAK5	MSS4	1.25913966244773e-06	0.0014020049538833	0.00133530822495831
SLI15	SEC4	1.44887669973116e-06	0.00155735558004574	0.00148326845027176
RPB5	SEC4	3.1814235919695803e-06	0.0028838194790853197	0.00274662928904184
RTC2	SEC4	3.22138314705489e-06	0.00290889052995392	0.00277050765005652
NBR034W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
NBR035W	SEC4	5.628964551158451e-06	0.00442406446025703	0.00421360113255256
YBR144C	MSS4	8.40599826006625e-06	0.00604825956736723	0.00576052939372176
MAK5	SEC4	9.69450143815881e-06	0.0067525022345986795	0.00643126955288885
NBR031C	SEC4	1.03245147519976e-05	0.00706654149416846	0.00673036921377225
AGP1	COF1	1.2802851123622e-05	0.00830592869639496	0.007910795802463821
SLX8	CDC24	1.5081475752477402e-05	0.0094223013965295	0.008974059983149929
YBR144C	SEC4	1.64676670921748e-05	0.0100429039258429	0.00956513896580744
LEU2	COF1	2.11984132470805e-05	0.0121522987344452	0.0115741848181842
gBR08	MSS4	2.1288929539769396e-05	0.0121920984235156	0.011612091140853998
gCL01	COF1	2.17807699795013e-05	0.0124071883668868	0.0118169487411741
gBR08	SEC4	2.8256055666244396e-05	0.0148731338886751	0.0141655833365245
YCL023C	COF1	3.3091133007367895e-05	0.0166980293312209	0.0159036641381443
IRA1	SEC4	3.35315277953789e-05	0.0168349360223055	0.0160340578504851
SPI1	CDC24	5.77488130149973e-05	0.0247166618198689	0.0235408311006091
IRA1	MSS4	6.27010281856105e-05	0.0261845722282068	0.0249389094999232
YCL022C	COF1	7.277300708912779e-05	0.0290320560818264	0.027650931736108997
gBR07	SEC4	7.43506055808e-05	0.0295058670382645	0.0281022023721041
NML011W	COF1	8.53352246461635e-05	0.0325276796160682	0.030980260098111
YCL026C	COF1	9.439533314951479e-05	0.035083407186297995	0.0334144055951209
YCL065W	SEC4	9.63750754276487e-05	0.0355884765893011	0.0338954476386149
gBR07	MSS4	0.00010061232744365699	0.0366699114116082	0.0349254360198852
YBR139W	SEC4	0.000114176338920017	0.0399089693296143	0.0380104042056607
YBR137W	SEC4	0.00012204820274536299	0.0416614028603759	0.039679470281952005
YBR139W	MSS4	0.000124126112613382	0.0422031683028317	0.0401954626465335
CSH1	MSS4	0.000134991335094474	0.0446141688911438	0.0424917661703089
TPS1	MSS4	0.000136359991726371	0.0448366994746291	0.0427037104416964
MAK5	PFY1	0.000136545292601631	0.044869172455857004	0.0427346386055396
MIG1	CDC42	0.000146953794052841	0.0472339607218734	0.0449869282377198
gBR08	PFY1	0.000152706199944261	0.0484517824198752	0.046146815244802006
AGP2	SEC4	0.000157572913287643	0.0495581351436249	0.0472005361233455
MLF3	SEC6	0.000159262028999227	0.0498820540374098	0.0475090454206145
YBR138C	SEC4	0.000161517422578778	0.0504351609280502	0.0480358396935645
