SNP	gene	p.value	FDR	q.value
YLR257W	ERG10	1.66473028527262e-15	8.073060673528309e-11	7.6890058684109e-11
GSY2	ERG10	6.31719104851928e-15	2.7160662412342e-10	2.5868564739418996e-10
RED1	ERG10	1.8069736454098e-14	6.21524355290514e-10	5.91956955168091e-10
VPS63	ERG10	4.8495352952699e-14	1.41141845140594e-09	1.34427389988891e-09
YLR271W	ERG10	3.52034235276309e-13	6.888065675145699e-09	6.56038391633292e-09
NLR116W	ERG10	6.68206063814436e-13	1.20389922853374e-08	1.14662686278631e-08
BOP2	ERG10	8.595049368523821e-13	1.50379680665283e-08	1.43225759582923e-08
YLR269C	ERG10	1.31067778018791e-12	2.15609116196472e-08	2.05352074852302e-08
MCP2	ERG10	3.2724881645448596e-12	4.69000360038297e-08	4.46688891171833e-08
YLR252W	ERG10	7.626085837103449e-12	9.55418760418192e-08	9.09967204846326e-08
YSH1	ERG10	1.0772862258005199e-11	1.22769939472369e-07	1.16929479814616e-07
NEJ1	ERG10	1.4261594104915599e-11	1.58704109791991e-07	1.5115417570598198e-07
PIG1	ERG10	1.5777427593856e-11	1.72527812320877e-07	1.6432025164249698e-07
MCM5	ERG10	5.21772545120564e-11	4.52786794954296e-07	4.3124664415794295e-07
gOL02	TPS1	2.4645546479073104e-09	1.1207639278691301e-05	1.06744650721455e-05
REX4	TPS1	2.4645546479073104e-09	1.1207639278691301e-05	1.06744650721455e-05
NNT1	ERG10	2.87948812564464e-09	1.26095784488776e-05	1.2009710642894699e-05
gCL01	CWH41	4.66451287998907e-09	1.85382342952007e-05	1.76563261506466e-05
gLR07	ERG10	1.2990206603671101e-08	4.2151838966117895e-05	4.01465751691349e-05
LEU2	CWH41	1.34143892827531e-08	4.3305425693859604e-05	4.12452830171276e-05
ILV6	CWH41	1.40523496861119e-08	4.49051616938258e-05	4.276891574938039e-05
IRA2	TPS1	2.27106768050674e-08	6.51949092436309e-05	6.20934314798986e-05
NLR118C	ERG10	2.6171927946171e-08	7.36775991763569e-05	7.01725795639094e-05
YCL022C	CWH41	3.01620872886141e-08	8.23374059974652e-05	7.84204186623001e-05
CTS1	ERG10	4.0633033622157205e-08	0.000104391246937245	9.94251056409319e-05
YLR281C	ERG10	5.64872095625713e-08	0.00013241756864413202	0.000126118148191799
YLR282C	ERG10	5.64872095625713e-08	0.00013241756864413202	0.000126118148191799
NML013W	CWH41	6.67127886065373e-08	0.000149355564781722	0.000142250363341389
NLR121W	ERG10	7.2634636459589e-08	0.000159406315683371	0.000151822975983596
MEC3	ERG10	1.1256035504180801e-07	0.000227741861538509	0.000216907636479722
BUD3	CWH41	1.22910869225137e-07	0.00024424313425067796	0.00023262390418177798
NML011W	CWH41	1.6225463225678802e-07	0.000299754816824532	0.000285494763244601
URA5	CWH41	1.6966902169909598e-07	0.000307742353007444	0.000293102313226968
AGP1	CWH41	2.0941664367183102e-07	0.000361138333864166	0.000343958119563608
YLR236C	ERG10	2.44981186657176e-07	0.000401433564046221	0.00038233640926911203
gCL01	KAR2	3.2818950641639397e-07	0.000500221483194819	0.00047642475082615703
YML108W	CWH41	3.9801273496787503e-07	0.000577233529503796	0.000549773149897367
gML01	CWH41	4.8270617759459e-07	0.000672011830636811	0.000640042620557901
SEC72	ERG10	9.382758038632799e-07	0.00112627210171437	0.00107269264405571
YLR235C	ERG10	9.69076174115152e-07	0.00115300134662537	0.0010981503148561802
gCL01	GAS1	1.17024988957999e-06	0.00132645125485944	0.00126334879610384
YCL023C	CWH41	1.21493402260228e-06	0.0013640233713592801	0.00129913351715804
LEU2	GAS1	1.25646529636901e-06	0.00139985107367956	0.00133325680998744
YCL022C	GAS1	1.4612979188886601e-06	0.0015680340033521	0.00149343887544113
ILV6	KAR2	1.5543610303559099e-06	0.00165289388953316	0.00157426177387151
LEU2	KAR2	1.6442767969678001e-06	0.00173099524153042	0.00164864765775405
BUD3	GAS1	1.6942924117129802e-06	0.0017718341878818602	0.00168754379775031
YGR012W	ERG4	1.69430901375497e-06	0.0017718341878818602	0.00168754379775031
YLR232W	ERG10	1.7641336553706601e-06	0.00183068591202497	0.00174359580461634
SWC4	ERG4	1.7949818418150001e-06	0.0018555727780524	0.00176729874290327
CUL3	ERG4	2.30611529045017e-06	0.00223955166394291	0.0021330108348040604
ILV6	GAS1	2.32523202490965e-06	0.00225113055211688	0.0021440388875735897
EFM5	ERG4	2.4207107668865397e-06	0.00232694881585632	0.00221625029516736
YLR294C	ERG10	2.60512567394933e-06	0.0024641532057920698	0.00234692754411297
NGL3	CWH41	2.90085489225162e-06	0.0026835007149533102	0.00255584016763534
MPD2	TPS1	3.9015764528675e-06	0.00336719753237705	0.00320701189221096
BUD3	KAR2	4.08177663584951e-06	0.00347985346179853	0.00331430850962315
PRP18	ERG4	4.6484994536117205e-06	0.0038519079092673705	0.00366866343715846
ATE1	ERG4	5.5479794204067905e-06	0.0043822620760255605	0.004173787387720529
TRM10	TPS1	5.60979307746892e-06	0.0044161505597374	0.00420606371520885
NDI1	CWH41	7.699745138868629e-06	0.00568018221829111	0.00540996236449634
YPQ1	TPS1	7.853354214803e-06	0.0057785933345003895	0.00550369182853112
YCL023C	GAS1	7.89978359691379e-06	0.005795647919185579	0.00551993508583224
ATP14	ERG10	8.19190292301886e-06	0.00594674626569001	0.00566384532260146
YCL022C	KAR2	8.300298191317821e-06	0.00599655749451252	0.00571128691213205
PAC2	GAS1	9.24079328252886e-06	0.00650110942003327	0.00619183609578528
HAL9	TPS1	1.0016114095303999e-05	0.006915406646137071	0.006586424211941001
YOL099C	TPS1	1.0923773298038e-05	0.00734896848625507	0.00699936047834583
NOL019C	TPS1	1.18266018631631e-05	0.00781188760002848	0.00744025742268255
NOL020W	TPS1	1.18266018631631e-05	0.00781188760002848	0.00744025742268255
GET1	ERG4	1.2496342447893302e-05	0.00814534501179035	0.007757851467814571
OCH1	ERG4	1.51505212517051e-05	0.009449834170755659	0.00900028295745415
HRP1	TPS1	1.57448328520809e-05	0.00969269433097285	0.00923158967898499
RPN14	ERG4	1.59076382356895e-05	0.009773835825932121	0.009308871078957509
YOL106W	TPS1	1.67694258331208e-05	0.0101875231267182	0.009702878285401659
MDY2	TPS1	1.87767596125055e-05	0.0110727452813056	0.0105459883048505
gCL01	WBP1	2.2067247280344002e-05	0.0125176771685327	0.0119221813262622
YCL026C	CWH41	2.24083300017256e-05	0.0126466210239721	0.0120449910140947
MIG1	ERG4	2.39929402463555e-05	0.0133145193747928	0.0126811158429099
NML013W	KAR2	2.4764954638769197e-05	0.013591433864766	0.0129448568482802
GTR1	CWH41	2.55141217540649e-05	0.0138658220778663	0.0132061917578107
ILV6	WBP1	2.6963802434261103e-05	0.0143850517265847	0.0137007204102634
NDJ1	TPS1	3.21436034514511e-05	0.0163639400248014	0.0155854682590948
JAC1	ERG4	3.31758720059146e-05	0.0167274037612594	0.015931641156289
RFC4	TPS1	3.7270989331672704e-05	0.0181332078892799	0.0172705678195841
AGP1	GAS1	3.84585857787372e-05	0.0185494847251855	0.0176670413707686
CSH1	ALG6	4.02114529717531e-05	0.0191644561945235	0.0182527571764419
NBR031C	GDI1	4.07145516108164e-05	0.0193184573474916	0.0183994321262285
RTC2	IPP1	4.18210773261522e-05	0.0196699366230993	0.0187341906920391
YGL024W	ERG4	4.237019078799771e-05	0.0198304757391348	0.0188870925783527
YCL022C	WBP1	4.5464504745087296e-05	0.0208303517885997	0.0198394021326743
NML011W	GAS1	4.68684692652457e-05	0.0212879963282885	0.0202752754270312
gCR02	WBP1	4.69278479620854e-05	0.0213098501494907	0.0202960896096895
ATH1	GPI10	4.72093174842921e-05	0.0214119664745173	0.0203933480168962
YML108W	GAS1	5.0144327953609297e-05	0.0223835973869239	0.0213187561228851
NBR034W	GDI1	5.1706721164186e-05	0.0228118887632779	0.0217266726540929
NBR035W	GDI1	5.1706721164186e-05	0.0228118887632779	0.0217266726540929
LEU2	WBP1	5.21365845368406e-05	0.0229434980348942	0.0218520209578798
URA5	GAS1	5.786984587976801e-05	0.0247293001918921	0.0235528682350471
RPB5	CDS1	5.80154448884061e-05	0.0247669007821106	0.0235886800752571
SMY2	ALG6	6.194699395380551e-05	0.0259613758513452	0.0247263311085426
YBR162W	GDI1	6.368301391118471e-05	0.0265010572538063	0.0252403385758966
YPR027C	GPI10	6.39854588124232e-05	0.0265859792167701	0.0253212205979686
NBR034W	TPS1	6.42877134343826e-05	0.0266693336344189	0.0254006096466056
NBR035W	TPS1	6.42877134343826e-05	0.0266693336344189	0.0254006096466056
RPB5	TPS1	6.57833973102578e-05	0.0271126916949495	0.0258228761037877
NML013W	ERG10	6.60206607107607e-05	0.0271572305663792	0.0258652961545769
ECM31	ALG6	6.65859149041056e-05	0.0273202876036915	0.0260205961786299
NBR041W	ALG6	6.661073341363679e-05	0.0273202876036915	0.0260205961786299
RPB5	GDI1	6.714144641767011e-05	0.0274298838548689	0.0261249786740101
SLI15	SEC63	6.75557596529367e-05	0.0275062199294469	0.0261976832589423
NBR038W	ALG6	6.79913076903473e-05	0.0276313899298155	0.026316898623016
YCL023C	KAR2	7.07110402863723e-05	0.0283838815578664	0.027033592424536
PNC1	ERG4	7.389997987125749e-05	0.0293455051681336	0.0279494692996835
SKM1	TPS1	7.48849997329755e-05	0.0296743654377566	0.0282626848997236
NBR031C	TPS1	7.7426999345339e-05	0.030458371144215	0.0290093935795669
YBR139W	TPS1	7.98010674381941e-05	0.0310937492965199	0.0296145452734904
EXO5	GDI1	8.01619894283835e-05	0.0311776906305307	0.0296944933174742
UBS1	GDI1	8.01619894283835e-05	0.0311776906305307	0.0296944933174742
RPB5	CCW12	8.405618076018e-05	0.0322284582985869	0.0306952734543699
AGC1	GPI10	8.48186326861882e-05	0.0323960426433774	0.030854885411056
YPR022C	GPI10	8.48186326861882e-05	0.0323960426433774	0.030854885411056
NBR034W	CDS1	8.50629597896181e-05	0.0324505636540525	0.0309068127268518
NBR035W	CDS1	8.50629597896181e-05	0.0324505636540525	0.0309068127268518
HOP2	ERG4	8.840702396570671e-05	0.0334425156865981	0.0318515752286913
YOL118C	TPS1	8.898208436305641e-05	0.0335995817728048	0.0320011693055118
RTC2	ALG6	9.21597624770078e-05	0.0344351867154684	0.0327970225224808
SLI15	GDI1	9.25417208868979e-05	0.0345240414442247	0.0328816502192703
gBR07	TPS1	9.421672630401279e-05	0.0350376762277022	0.0333708501676033
MAK5	ALG6	9.462624675838499e-05	0.0351385086562036	0.0334668857563132
NBR034W	ALG6	9.493250399334041e-05	0.0351848397685354	0.0335110127868182
NBR035W	ALG6	9.493250399334041e-05	0.0351848397685354	0.0335110127868182
NBR034W	CCW12	9.49472304649518e-05	0.0351848397685354	0.0335110127868182
NBR035W	CCW12	9.49472304649518e-05	0.0351848397685354	0.0335110127868182
NCR015C	WBP1	0.00010484093977286701	0.0377853418092848	0.0359878027256949
YGR022C	ERG4	0.000106180730726176	0.0381229530286676	0.0363093529718845
PRM8	ERG4	0.000111495828918291	0.0394099211775595	0.037535096967806
YGL052W	ERG4	0.000111495828918291	0.0394099211775595	0.037535096967806
MST27	ERG4	0.000111495828918291	0.0394099211775595	0.037535096967806
YGL046W	ERG4	0.000111495828918291	0.0394099211775595	0.037535096967806
RPB5	ALG6	0.00011182675851906499	0.0394610786129243	0.0375838207216138
CSH1	CCW12	0.00011237263719069299	0.0395577820945568	0.037675923787333004
EXO5	CCW12	0.00011237263719069299	0.0395577820945568	0.037675923787333004
UBS1	CCW12	0.00011237263719069299	0.0395577820945568	0.037675923787333004
gCL01	PMT4	0.000113479392611265	0.0397771448950139	0.0378848509747077
RPB5	SEC63	0.000113721114691827	0.0398323522132755	0.0379374319487966
NML011W	ERG10	0.000113944088159774	0.0398661641372814	0.0379696353587071
gML01	GAS1	0.00011419300887643601	0.0399089693296143	0.0380104042056607
URA5	ERG10	0.00011499952061296001	0.0400766888860976	0.0381701449416962
MAK5	CCW12	0.000116852627501172	0.0405686631832951	0.0386387148448881
NDI1	GAS1	0.000117667124834449	0.0407542090350495	0.0388154338366922
SLI15	KAR2	0.000119349762662403	0.0411186775744203	0.0391625637359215
RIM8	ERG4	0.000122344754908216	0.0417475656614321	0.0397615341124807
MTL1	ERG4	0.000122573078390287	0.0418028556382962	0.0398141938129044
CTF3	TPS1	0.000123257597162275	0.0419682135270823	0.0399716852314234
YBR144C	CCW12	0.000125021945422472	0.042393464914448	0.0403767063931903
RPT6	ERG4	0.000126984242311554	0.0429280487902886	0.0408858588354572
RPB5	KAR2	0.000127054063102841	0.0429439782237359	0.040901030467655995
MAK5	CDS1	0.000130147369886524	0.04359305274978299	0.0415192269660639
SLI15	CDS1	0.000131839128735703	0.0439643405756614	0.0418728517420315
YGR017W	ERG4	0.00013194066755363798	0.0439826947101232	0.041890332726418
YBR174C	CCW12	0.00013239009264539198	0.0440626324303399	0.0419664676180916
AGP2	TPS1	0.00013396715597585902	0.0444156061272202	0.0423026495119808
NBR034W	SEC63	0.000135087644939175	0.0446141688911438	0.0424917661703089
NBR035W	SEC63	0.000135087644939175	0.0446141688911438	0.0424917661703089
ISC1	GAS1	0.000135475918934068	0.0446809075295779	0.0425553298920892
YER019C	GAS1	0.000135475918934068	0.0446809075295779	0.0425553298920892
NER005W	GAS1	0.000135475918934068	0.0446809075295779	0.0425553298920892
NBR034W	KAR2	0.000135639136655446	0.0447113532789828	0.0425843272643759
NBR035W	KAR2	0.000135639136655446	0.0447113532789828	0.0425843272643759
YBR174C	ALG6	0.00013846288100267	0.0453249424869745	0.0431687265661812
TAF13	CWH41	0.00014489355949919098	0.0467719874751421	0.0445469321632677
NBR031C	SEC63	0.00014490671903648501	0.0467719874751421	0.0445469321632677
NML013W	GAS1	0.000145138818335203	0.0468236313311405	0.0445961191975161
YBR162W	CCW12	0.00014738306820638602	0.0473290288728568	0.0450774737693799
CSH1	GDI1	0.000150510596291102	0.0480397979209391	0.0457544298338513
EXO5	ALG6	0.00015566751869428702	0.0491303985390137	0.0467931479720616
UBS1	ALG6	0.00015566751869428702	0.0491303985390137	0.0467931479720616
YML108W	ERG10	0.000156362837886685	0.0493004991529012	0.0469551564929057
GPA2	GAS1	0.000156421554426681	0.0493107937481129	0.0469649613496009
SLI15	TPS1	0.00016140823798554299	0.0504206979191918	0.0480220647246296
MAK5	SEC63	0.000162779790936838	0.0507485849439608	0.0483343533794013
NBR031C	CDS1	0.000163278632695157	0.0508370817659011	0.0484186401958581
NBR031C	ALG6	0.00016507462610365902	0.0511940525652455	0.0487586290404867
RTC2	CDS1	0.00016699733422101398	0.0515705269264268	0.0491171936158678
gPL11	GPI10	0.000170415535795202	0.052366061780027	0.0498748829737484
RTC2	GDI1	0.00017060529005041	0.0523854051898287	0.0498933061712809
