SNP	gene	p.value	FDR	q.value
NML013W	CDC7	5.49226720168594e-09	2.0821889380631302e-05	1.9831342301693104e-05
gCL01	CDC7	1.12421207997285e-08	3.76416647640084e-05	3.58509607411044e-05
NML011W	CDC7	1.16354603105571e-08	3.8684797290129206e-05	3.6844468958027896e-05
URA5	CDC7	2.62496689058635e-08	7.378664917541171e-05	7.027644179368721e-05
LEU2	CDC7	3.62138067275873e-08	9.59500025132606e-05	9.138543140368409e-05
YCL023C	CIN8	5.41528923380329e-08	0.00013000631928553	0.000123821607732332
YML108W	CDC7	6.45083602204369e-08	0.000145470259763125	0.00013854989157527099
AGP1	CIN8	7.49561949736107e-08	0.000163552601884443	0.000155772013433134
gML01	CDC7	8.324718931522348e-08	0.000177547672009502	0.000169101304599401
YCL022C	CDC7	1.02243429255599e-07	0.000209784554114048	0.000199804601119133
ILV6	CDC7	1.26295430010613e-07	0.00024784469348285	0.000236054128627187
URA5	CBF2	1.5056844372576498e-07	0.00028415179695062405	0.000270634016344877
NML011W	CBF2	1.81625270096134e-07	0.000325990305584037	0.000310482167054647
YML108W	CBF2	2.09194010234089e-07	0.000361138333864166	0.000343958119563608
YCL023C	CDC7	3.6867922320274e-07	0.000546029404625744	0.0005200534798727509
BUD3	CDC7	5.110885775858611e-07	0.000702662479422483	0.000669235144671638
NML013W	CBF2	5.96141786306832e-07	0.0007820838665097321	0.000744878266417718
gML01	CBF2	6.694521056454111e-07	0.0008627053257855151	0.00082166437004803
NGL3	CDC7	7.272589426188041e-07	0.0009233616319830891	0.0008794351106840519
gCL01	CIN8	9.65167869817915e-07	0.00114907395631784	0.00109440975989898
LEU2	CIN8	9.86256797845139e-07	0.00116916443654008	0.00111354448792531
YCL022C	CIN8	1.3227587938860202e-06	0.00145486009987566	0.00138564892523864
NDI1	CDC7	1.32804164048732e-06	0.00145728150716335	0.00138795514039021
AGP1	CDC7	1.6517792227174801e-06	0.00173696016425676	0.00165432881483959
YCL023C	SMC3	2.0201993103585096e-06	0.00201875759455543	0.00192272046738525
AGP1	SMC3	2.0733761770466e-06	0.00205789982716683	0.00196000061037223
GTR1	CBF2	4.84760376267817e-06	0.00397338211132278	0.00378435882088414
VTA1	KIP2	4.88467032720713e-06	0.00399683712755692	0.0038066980258971103
YCL026C	KIP2	5.2769507836600796e-06	0.00422999704019363	0.004028765963825571
YCL026C	CIN8	5.61189209572645e-06	0.0044161505597374	0.00420606371520885
NDI1	CBF2	7.420197544958541e-06	0.00550699465289088	0.00524501374580645
GTR1	CDC7	8.259613833356379e-06	0.00597754951812169	0.005693183190640771
SAM1	KIP2	8.420781713447031e-06	0.00604825956736723	0.00576052939372176
gCL01	SMC3	8.43410543550236e-06	0.0060511059740445605	0.00576324039002551
YCL022C	SMC3	1.2292235435708501e-05	0.00803528649167818	0.007653028694738391
NLR076W	KIP2	1.36419241464345e-05	0.008719496561715641	0.008304689255273341
LEU2	SMC3	1.38024603962751e-05	0.00880057545411828	0.008381911030842609
TAF13	CDC7	1.4529799229085998e-05	0.00916236062566855	0.0087264852164765
RPB5	MTW1	1.5199701159887198e-05	0.009475225432975241	0.009024466296599941
NBR034W	MTW1	1.5263505312438e-05	0.00950049078739396	0.00904852971768013
NBR035W	MTW1	1.5263505312438e-05	0.00950049078739396	0.00904852971768013
SLI15	MTW1	1.5409236454664403e-05	0.00955136876656283	0.00909698730969173
NGL3	CBF2	1.59019784874268e-05	0.009773835825932121	0.009308871078957509
STE50	CIN8	1.77322893348629e-05	0.010642394655176001	0.0101361104873042
NBR034W	SLK19	2.0962745846627e-05	0.0120390882205559	0.0114663599992138
NBR035W	SLK19	2.0962745846627e-05	0.0120390882205559	0.0114663599992138
YCL026C	CDC7	2.47817069676389e-05	0.0135966833339011	0.0129498565876131
NBR031C	SLK19	2.49209604313482e-05	0.0136532870194303	0.0130037675004388
IDP2	KIP2	2.58308118683013e-05	0.0139871548562373	0.0133217524457149
RPB5	SLK19	2.69777108224286e-05	0.014388414134671	0.013703922860554999
RFX1	KIP2	3.0845637205298604e-05	0.0158223816791701	0.0150696731392464
YML096W	CDC7	3.21311005328005e-05	0.0163627978111621	0.0155843803832902
RTC2	MTW1	3.39493536233518e-05	0.0169816156933128	0.0161737596187191
NBR031C	MTW1	3.90741119332625e-05	0.0187755524395031	0.0178823545032149
STE50	SMC3	4.15475584940954e-05	0.0195908647495141	0.0186588804566018
RTC2	DNA2	4.17010516565405e-05	0.0196338784458558	0.0186998478885298
MAK5	SLK19	4.47690678710875e-05	0.0205817186672184	0.0196025970835495
NLR032W	KIP2	4.94382322420888e-05	0.0221467944407561	0.0210932184592439
MAK5	MTW1	5.0359848071452396e-05	0.0224268834429557	0.0213599829577013
NML009C	CDC7	5.12303168503084e-05	0.0226810508305309	0.0216020589947405
CSH1	MTW1	5.69585025561338e-05	0.024472531741114	0.0233083148736028
gPL11	PDS5	6.09234734681855e-05	0.0256506812515019	0.0244304169939228
gBR08	SLK19	6.56768508082935e-05	0.0270864820327355	0.0257979132978926
SMY2	MTW1	6.75392914847639e-05	0.0275062199294469	0.0261976832589423
AGP1	KIP2	6.91343648240522e-05	0.0279594954057518	0.0266293953367102
VPS9	CDC7	7.00833062173396e-05	0.0282389151123952	0.0268955223796018
