SNP	gene	p.value	FDR	q.value
SPO7	POM152	1.45240499757097e-08	4.62562383749128e-05	4.40557184812878e-05
MDM10	POM152	1.6935825539847202e-08	5.22665345205009e-05	4.97800904640041e-05
NAL001C	POM152	1.6935825539847202e-08	5.22665345205009e-05	4.97800904640041e-05
NAL002C	POM152	1.8545311454480903e-08	5.54242013999648e-05	5.278753957760929e-05
YAL004W	POM152	1.88986643252856e-08	5.63023352860449e-05	5.36238985344372e-05
YAR002C	POM152	1.55502669065468e-07	0.000290400543697914	0.000276585495263856
YCL026C	GSP1	4.3249573727757204e-07	0.000616566509718767	0.000587234966168201
AGP1	GSP1	4.6498840424911394e-07	0.0006511121454267651	0.000620137183360468
gAR03	POM152	5.00111619199407e-07	0.000689575552614956	0.000656770794273221
SWC3	POM152	7.65100214299426e-07	0.000960448525352268	0.000914757691832463
gCL01	GSP1	1.04575622901489e-06	0.00121962292194755	0.0011616025424970198
YCL023C	GSP1	1.09341750190342e-06	0.0012589760851055	0.00119908358155996
LEU2	GSP1	3.23444606389084e-06	0.0029123454229533397	0.00277379818553266
YCL022C	GSP1	3.25854292300842e-06	0.0029326467750182697	0.00279313375372376
NML013W	SUB2	1.33923875827479e-05	0.00859408318676316	0.008185242094526859
ILV6	SUB2	1.42625371434964e-05	0.0090255207505119	0.00859615514147011
gCL01	SUB2	1.60056141414767e-05	0.00982127430465903	0.0093540527957896
NML011W	GSP1	1.65758129704339e-05	0.0100925894530147	0.00961246083361544
URA5	GSP1	2.2707817817709398e-05	0.0127745702110359	0.0121668533523053
LEU2	SUB2	2.4490481076669103e-05	0.0135113534143638	0.0128685860164374
gOL02	POM152	2.5918212278760103e-05	0.0140018068048194	0.0133357073660589
REX4	POM152	2.5918212278760103e-05	0.0140018068048194	0.0133357073660589
STE50	GSP1	2.98644629295593e-05	0.0155083131017406	0.014770545555224
NML013W	GSP1	3.16444126074409e-05	0.0161489197117929	0.0153806769766546
YCL022C	SUB2	3.35204151573115e-05	0.0168338243544976	0.0160329990673737
ILV6	GSP1	5.017432823284939e-05	0.0223917054597882	0.0213264784753307
BUD3	SUB2	5.1622053952699704e-05	0.0228011225478078	0.021716418613243
BUD3	GSP1	5.75016566321782e-05	0.0246499164903752	0.0234772610060787
SAM1	GSP1	6.52067076746968e-05	0.0269219312522663	0.0256411905916174
BUD3	PAB1	7.33538591523087e-05	0.0291899137968322	0.0278012797820532
NDI1	SUB2	7.623389492384201e-05	0.0300891350097562	0.028657722891151
GTR1	POM152	9.878351083630359e-05	0.0361742118941786	0.0344533181140972
NGL3	POM152	0.000102454740525152	0.0371304811968368	0.0353640953988549
NDI1	POM152	0.00010603421146881199	0.0380992703386494	0.0362867969240738
YML108W	GSP1	0.000109293619195075	0.0388352212369505	0.03698773687792
VTA1	GSP1	0.000109822130887911	0.0389498578958035	0.0370969199967272
ILV6	PAB1	0.000112566753386841	0.039596642758438994	0.0377129357564885
gCL01	PAB1	0.00012890583387815502	0.0433298820314817	0.0412685759082752
NML013W	POM152	0.000129340974287108	0.0434221407187304	0.0413564456291102
YHR095W	PAB1	0.00013087113461011699	0.0437108896424407	0.0416314580758998
IRA2	POM152	0.000138868116648246	0.0453963309466799	0.0432367189061137
LEU2	PAB1	0.000161561178441591	0.0504351609280502	0.0480358396935645
