SNP	gene	p.value	FDR	q.value
GSY2	CYC1	3.46575968585501e-15	1.56105490433071e-10	1.4867917888525702e-10
YLR257W	CYC1	2.75606709521543e-14	8.547300519536029e-10	8.14068499067297e-10
RED1	CYC1	5.90167773621176e-14	1.66636337254724e-09	1.58709048136275e-09
YLR269C	CYC1	7.252903979634589e-14	1.88446695511005e-09	1.7948183548501604e-09
YLR271W	CYC1	1.38754100285647e-13	3.32267418429973e-09	3.16460662629114e-09
VPS63	CYC1	2.2784622583689304e-13	4.871660796932271e-09	4.63990424094615e-09
NLR116W	CYC1	3.53183162297555e-13	6.888065675145699e-09	6.56038391633292e-09
PIG1	CYC1	6.79296608639042e-13	1.2067785264185101e-08	1.14936918558409e-08
BOP2	CYC1	6.825623493240501e-13	1.2067785264185101e-08	1.14936918558409e-08
MCM5	CYC1	8.66456239332933e-13	1.50379680665283e-08	1.43225759582923e-08
MEC3	CYC1	3.4891913778153104e-12	4.8894504002842996e-08	4.65684755031814e-08
YLR252W	CYC1	4.14393827693149e-12	5.68071778693154e-08	5.41047245485558e-08
YSH1	CYC1	4.91300034038713e-12	6.49949747757705e-08	6.19030083728709e-08
MCP2	CYC1	1.05706113712187e-11	1.21195134457967e-07	1.1542959204131501e-07
NNT1	CYC1	2.4820266353137698e-11	2.43286578962044e-07	2.31712854516081e-07
NLR118C	CYC1	2.5208733353068498e-11	2.45820624337807e-07	2.3412634929247398e-07
YLR281C	CYC1	2.89948655759312e-11	2.78435044848609e-07	2.65189223813494e-07
YLR282C	CYC1	2.89948655759312e-11	2.78435044848609e-07	2.65189223813494e-07
CTS1	CYC1	5.9861214983935e-11	5.12415521510424e-07	4.880386895737929e-07
NLR121W	CYC1	7.63085653832148e-11	6.24928500695673e-07	5.95199157234403e-07
NEJ1	CYC1	2.21165400909172e-10	1.48894923122472e-06	1.41811635507618e-06
gLR07	CYC1	7.08750229634332e-10	4.125521686664711e-06	3.92926075274469e-06
SEC72	CYC1	2.51962952989879e-09	1.13760551662655e-05	1.08348690131363e-05
YLR236C	CYC1	1.8136302302277903e-08	5.45465294360685e-05	5.1951620568222295e-05
RED1	CYT1	1.89872979496672e-08	5.63887874476228e-05	5.37062379599155e-05
YLR294C	CYC1	1.9486557529801498e-08	5.75103641151718e-05	5.47744585428395e-05
YLR257W	CYT1	2.41633442699653e-08	6.87391913979324e-05	6.5469103655024e-05
GSY2	CYT1	2.89703288120377e-08	7.98910872415963e-05	7.609047714067159e-05
ATP14	CYC1	3.67978090452662e-08	9.69541805166998e-05	9.234183825774009e-05
gCL01	QCR7	4.43047302262979e-08	0.000111603851417303	0.00010629458927500601
YCL023C	QCR7	4.8400415523088604e-08	0.000119222134473125	0.000113550452384707
VPS63	CYT1	5.77561972540822e-08	0.000135057619960379	0.000128632605952546
LEU2	QCR7	1.14244945834569e-07	0.00023065688785090698	0.000219683988018377
YLR232W	CYC1	1.57449516492786e-07	0.000292770786329144	0.00027884297978405
YLR235C	CYC1	2.70210609520639e-07	0.00043393644771196	0.00041329305301955697
MCM5	CYT1	3.4563274182319e-07	0.000521002939360225	0.000496217583417379
YLR271W	CYT1	3.5591848687883203e-07	0.000532266390259469	0.0005069452050178
YLR269C	CYT1	3.6129334470353e-07	0.000538177161094355	0.000512574786346885
PIG1	CYT1	3.64459994560836e-07	0.000541614750424459	0.000515848841330645
MEC3	CYT1	5.19685665743405e-07	0.000708815653165391	0.0006750955972226401
NLR116W	CYT1	5.535924461169639e-07	0.000746749868512207	0.0007112251912156151
BOP2	CYT1	5.875757269423629e-07	0.000776228977433613	0.000739301908418479
YSH1	CYT1	6.27075336584461e-07	0.0008147556254920299	0.0007759957516820019
YLR281C	CYT1	7.985195239255551e-07	0.000992521468682798	0.0009453048485377619
YLR282C	CYT1	7.985195239255551e-07	0.000992521468682798	0.0009453048485377619
YCL022C	QCR7	8.83330988974692e-07	0.00107528588147505	0.00102413196026032
YLR252W	CYT1	1.1407224997437e-06	0.0012984284148662099	0.00123665906963318
MCP2	CYT1	1.40207956477002e-06	0.0015200093206210199	0.0014476988417314
BUD3	QCR7	1.5062631348173902e-06	0.0016086494252969801	0.00153212212462147
NEJ1	CYT1	1.79278687685223e-06	0.00185431700841081	0.0017661027132270398
NNT1	CYT1	1.8288490919826e-06	0.0018782667390267102	0.00178891309787537
NLR118C	CYT1	1.8808923552939301e-06	0.0019109674401995	0.0018200581484809199
RED1	QCR2	2.53905315037201e-06	0.00241615301581424	0.0023012108379776397
NLR121W	CYT1	2.58894416431384e-06	0.00245252612346344	0.00233585358989998
CTS1	CYT1	2.94870378738336e-06	0.0027158121762266697	0.00258661449541445
LEU2	CYT2	3.54504592873593e-06	0.00313091604656515	0.00298197088180932
gCL01	CYT2	3.8123609940114196e-06	0.00331896990093141	0.00316107856454243
YLR257W	QCR2	5.61048608736382e-06	0.0044161505597374	0.00420606371520885
YCL022C	CYT2	6.61384720893495e-06	0.00501646582730646	0.0047778205496855795
GSY2	QCR2	7.45859881506651e-06	0.00552898740445722	0.00526596024957924
AGP1	QCR7	8.039207265534751e-06	0.0058674210055333605	0.00558829375479798
YSH1	QCR2	9.14560883227899e-06	0.0064582270556597	0.006150993748049571
VPS63	QCR2	9.15981097007766e-06	0.00646095565932018	0.00615359254550774
MET17	CYC1	1.0860066762418e-05	0.0073191240040398	0.0069709357695306
UBC12	CYC1	1.2046015730551e-05	0.007915362041205829	0.00753880933720636
ILV6	QCR7	1.20650417607216e-05	0.0079223603772321	0.007545474745649421
MEC3	QCR2	1.3966464718725e-05	0.00887815217081199	0.00845579723757779
MCM5	QCR2	1.8814558427002102e-05	0.0110846694609545	0.0105573452227537
PIG1	QCR2	1.91711892351296e-05	0.0112352968317561	0.0107008068892607
SEC72	CYT1	1.93464470938508e-05	0.0113204720872488	0.0107819301541302
gLR07	CYT1	2.0843151189965e-05	0.0119911731853156	0.0114207243968014
ECM23	CAT5	2.36355885039499e-05	0.0131506642851311	0.0125250557317666
YLR271W	QCR2	2.41391090637273e-05	0.0133760148713575	0.0127396858516201
YLR236C	CYT1	2.45501781769482e-05	0.0135337159036054	0.012889884668580001
YLR281C	QCR2	2.6176879645530398e-05	0.0140843896864801	0.01341436158252
YLR282C	QCR2	2.6176879645530398e-05	0.0140843896864801	0.01341436158252
NLR118C	QCR2	3.03224519116829e-05	0.0156730043224918	0.0149274020207011
NLR121W	QCR2	3.0383980607095897e-05	0.0156791036947702	0.0149332112312519
NLR116W	QCR2	3.2634358495785e-05	0.0165204169854554	0.0157345012364741
BOP2	QCR2	3.57945912867409e-05	0.0176020902891323	0.0167647167539849
YLR269C	QCR2	3.67414833001611e-05	0.0179696344589441	0.0171147759685588
YCL026C	QCR7	3.8331991730879e-05	0.0184988334165051	0.0176187996659883
CTS1	QCR2	4.23389716421804e-05	0.0198297653655119	0.0188864159989021
gLR08	CYC1	4.39190107750065e-05	0.0203290430073076	0.019361941809122
TRM44	CAT5	4.53141685919975e-05	0.020776568264611998	0.0197881772195603
CDA2	CYC1	4.93056345507906e-05	0.0221170125490136	0.021064853363323
YCL023C	CYT2	5.67109573160687e-05	0.0244049722144429	0.0232439693152021
PHO85	CAT5	5.70661301921157e-05	0.0245132071552973	0.0233470552610473
NNT1	QCR2	5.9706918453294396e-05	0.025326747056801	0.0241218931236388
NML011W	CYT2	6.0111333399360204e-05	0.0253981931903487	0.0241899403937312
VPS65	CYC1	6.49602934240898e-05	0.0268436280410159	0.0255666124514092
SVL3	CAT5	6.59207264076416e-05	0.0271279204608143	0.0258373804008366
RRP12	CAT5	8.1641198508676e-05	0.031584174852015	0.0300816401123271
RQC2	CAT5	8.1641198508676e-05	0.031584174852015	0.0300816401123271
SMA1	CAT5	8.29242933474289e-05	0.031917383356815	0.0303989970915967
YLR317W	CYC1	8.395176594192859e-05	0.0321949491407379	0.0306633584073058
LEU2	FMC1	8.434085887977758e-05	0.0323005058822833	0.0307638935621888
ILV6	FMC1	9.02039818524681e-05	0.0339187949435478	0.0323051967422391
SPH1	CYC1	0.00010819113689019499	0.0385738921236665	0.0367388398155932
AGP1	CYT2	0.00010934714445967	0.0388469437588552	0.036998901731419995
ILV6	CYT2	0.00011892715084605801	0.0410253779973558	0.0390737026428888
YLR312W	CYC1	0.000122667708575528	0.0418275881497932	0.0398377497396751
YPL035C	CAT5	0.000127293966799075	0.042994338413388004	0.0409489949026364
CDC3	CYC1	0.000135637465219953	0.0447113532789828	0.0425843272643759
YLR252W	QCR2	0.000162224598177451	0.0506088579762451	0.0482012735577341
BUD3	CYT2	0.000162519830073447	0.0506758903078184	0.0482651170009688
YCL022C	FMC1	0.000165374556673415	0.0512354560131053	0.0487980628273045
YLR235C	CYT1	0.000167474037970656	0.0516839907396186	0.0492252596840871
