SNP	gene	p.value	FDR	q.value
GSY2	CYC1	2.9484160391286894e-16	2.06217143284763e-12	1.87264445018262e-12
YLR257W	CYC1	5.404974704843741e-16	3.5835682605451097e-12	3.2542150027234e-12
RED1	CYC1	1.03674615034469e-14	5.6478675699151005e-11	5.1287917637201496e-11
VPS63	CYC1	1.0656872628688101e-14	5.78972513848132e-11	5.25761169801875e-11
NLR116W	CYC1	2.9776377597672295e-14	1.50821811431394e-10	1.36960304873138e-10
NEJ1	CYC1	6.46532181809501e-14	3.1190916182262397e-10	2.83242678830865e-10
YLR271W	CYC1	2.3480172288112305e-13	1.02162758612016e-09	9.277333585498949e-10
YLR269C	CYC1	2.5930626425259195e-13	1.12010708457728e-09	1.01716194984206e-09
BOP2	CYC1	5.08970641209469e-13	2.0871306792572503e-09	1.89530977932315e-09
PIG1	CYC1	1.0531092829999399e-12	4.0703503221986e-09	3.69625862319246e-09
MCM5	CYC1	1.3438256827277e-12	5.08243447205969e-09	4.61532564941833e-09
MCP2	CYC1	1.4533765985445701e-12	5.46568836000159e-09	4.96335600947147e-09
MEC3	CYC1	1.6087439369766002e-12	6.0084598951256605e-09	5.45624330621947e-09
YLR281C	CYC1	2.19453964354401e-12	8.00653516616422e-09	7.2706824492303e-09
YLR282C	CYC1	2.19453964354401e-12	8.00653516616422e-09	7.2706824492303e-09
NNL035W	OMS1	3.01409954667843e-12	1.0722183651016401e-08	9.73674515517264e-09
NLR118C	CYC1	2.43879001310225e-11	7.27869036888e-08	6.60973132823331e-08
YSH1	CYC1	2.6319716908628302e-11	7.82793489170273e-08	7.108496702961099e-08
YLR252W	CYC1	2.70058323136412e-11	8.02402516638195e-08	7.286565004540531e-08
NNT1	CYC1	3.2135053561799e-11	9.3895944665625e-08	8.52662959402601e-08
CTS1	CYC1	3.2135053561799e-11	9.3895944665625e-08	8.52662959402601e-08
NNL035W	PET117	1.0045479149637699e-10	2.63089912455096e-07	2.38910236370473e-07
NNL035W	IFM1	2.19249013136698e-10	5.3533661353691e-07	4.86135692867743e-07
MLF3	IFM1	4.2629487602346994e-10	9.857977623857279e-07	8.9519652892528e-07
NLR121W	CYC1	8.54335193409455e-10	1.8333013560174801e-06	1.66480902371808e-06
NNL035W	RML2	1.7056802321286499e-09	3.4256690672646197e-06	3.11082777347801e-06
