SNP	gene	p.value	FDR	q.value
YGL235W	POL5	1.2116911196798301e-05	0.0065343210370753	0.00593377438503904
NBR016C	RPL9B	1.76470588653409e-05	0.0086437649385218	0.007849346656138
NBR016C	RPL16A	1.79892928244985e-05	0.008762673668970971	0.007957326899975671
NBR016C	RPS16B	2.56559362931851e-05	0.0114143026067365	0.0103652538720768
NBR016C	RPL43B	3.32516709523297e-05	0.0137713051157509	0.0125056325027114
NBR016C	RRS1	5.6832336413109705e-05	0.0202160059373562	0.0183580233536511
RAD51	RPS8A	7.04249921436405e-05	0.0235813714171656	0.0214140898320323
GRE1	YAR1	8.66753637288951e-05	0.027286045292483	0.024778280054942002
NEW1	YAR1	9.520248726988491e-05	0.0291533915248433	0.0264740050091813
NBR016C	RPL12A	9.942196664379441e-05	0.0300020166456736	0.0272446359555201
SLX8	RPS8A	0.000105028643144582	0.0311630102937416	0.028298926727432002
TAT1	RPL16A	0.000125771561438224	0.0352889314242936	0.0320456488398368
NBR016C	RPS14A	0.000126964459542821	0.0355270661821877	0.0322618974628477
YBR064W	RRS1	0.000137170379118769	0.037409011068042	0.0339708793592646
NBR016C	RPL8A	0.00013867252634098501	0.0377018930071823	0.0342368435410749
MMT2	YAR1	0.00014752168697506498	0.0393483637428282	0.0357319928949954
TRM7	RRS1	0.000165923939135109	0.0425962773924563	0.0386814021311855
RBD2	YAR1	0.000170918052311133	0.0433964196612858	0.0394080061153224
RAD51	RPL24A	0.0001726582337122	0.0436641908356247	0.039651167375127
SLI15	TIF6	0.000185870042240581	0.045830288867207004	0.0416181868928947
NBR016C	RPS19A	0.000186248968689246	0.0458953687555686	0.0416772855157433
NBR016C	RPL23A	0.000200631043407525	0.0482983297667132	0.0438593987629
NBR016C	RPS1B	0.000203087221053498	0.0487055205118506	0.0442291660271058
MUM2	RRS1	0.00022039260159097598	0.0513960989550649	0.0466724627914824
ECM2	RRS1	0.000221346332425323	0.0515428641496347	0.0468057393089982
