SNP	gene	p.value	FDR	q.value
UBP5	RTR1	2.5435902628906304e-17	2.1033829708643698e-13	1.9100683795035501e-13
NER037W	RTR1	2.88545934039966e-16	2.02286478561922e-12	1.83695033978272e-12
SAK1	RTR1	1.59226512162675e-15	9.73738756796239e-12	8.842458244726009e-12
gER03	RTR1	1.3298856133239702e-14	7.102617730749241e-11	6.449840912057171e-11
NSA1	TAF6	1.27997738986074e-13	5.89933301996764e-10	5.357145901476429e-10
CUE3	TAF6	4.52542405451623e-12	1.55980112218521e-08	1.4164452422926e-08
IRA2	DST1	1.23398431303901e-10	3.17348484538434e-07	2.88182092370529e-07
REX4	DST1	1.92653164737397e-10	4.76421249836823e-07	4.3263503472357104e-07
gOL02	DST1	3.72273957897231e-10	8.719901376558799e-07	7.9184856597512e-07
SLX8	RTR1	7.37893246812737e-10	1.60354701775702e-06	1.45617060520663e-06
TRM10	DST1	1.71589187081089e-09	3.4450223480173996e-06	3.12840236170924e-06
MPD2	DST1	8.300309707793141e-09	1.41176171371379e-05	1.28201161942959e-05
YPQ1	DST1	9.75333845350253e-09	1.62384053377333e-05	1.47459901495827e-05
HAL9	DST1	1.06017463770868e-08	1.74622088356648e-05	1.58573181371647e-05
NML011W	TAF13	2.1310579145953e-08	3.2415291290872696e-05	2.94361149466037e-05
RPL28	TAF6	2.22766150035862e-08	3.365866283838e-05	3.05652125525867e-05
IME1	FIP1	2.67163986186508e-08	3.958209986257179e-05	3.5944247143344e-05
JJJ3	FIP1	2.67163986186508e-08	3.958209986257179e-05	3.5944247143344e-05
FIP1	FIP1	2.76511304964046e-08	4.07551727818533e-05	3.700950702278979e-05
gJR12	FIP1	3.3206346206285296e-08	4.76069509534132e-05	4.32315621645081e-05
NML013W	TAF13	4.65112885345323e-08	6.41007502276663e-05	5.82094738848273e-05
RFC4	DST1	6.02147931716209e-08	8.023734436279692e-05	7.28630099442779e-05
TCB3	TAF13	1.06544770865481e-07	0.00013160393830926998	0.00011950867942958201
COG8	TAF13	1.06544770865481e-07	0.00013160393830926998	0.00011950867942958201
YOL099C	DST1	1.20219567912336e-07	0.000146351239249315	0.000132900607385064
NDJ1	DST1	1.3498634020367599e-07	0.000161961849602377	0.000147076500997001
YLR257W	RNA14	2.0231642679189802e-07	0.00023063021009483598	0.000209433792020945
MDY2	DST1	2.19668728798518e-07	0.000247582495669773	0.000224828052165446
YGL101W	TAF6	2.36590905926161e-07	0.000263932467943104	0.000239675355522769
YOL106W	DST1	2.69144489697662e-07	0.000294637034893277	0.000267557972835095
RAD51	RTR1	2.74577565507944e-07	0.00029976254681601404	0.000272212416836971
MAK5	LGE1	3.33241218302999e-07	0.000354058120083155	0.000321517873371103
NOL019C	DST1	3.8964788115532e-07	0.00040311466943357004	0.000366065806400757
NOL020W	DST1	3.8964788115532e-07	0.00040311466943357004	0.000366065806400757
SLI15	LGE1	4.2531617981850706e-07	0.000434608456355464	0.000394665109230337
HRP1	DST1	4.34901394924922e-07	0.000443419226111252	0.000402666111873571
SKM1	DST1	4.52635249613095e-07	0.00045862834412287596	0.000416477412904596
YBR144C	LGE1	4.56839211378549e-07	0.00046208811562727694	0.000419619208879177
YML083C	TAF13	5.781535203230411e-07	0.000563621803439603	0.000511821289637211
