SNP	gene	p.value	FDR	q.value
NJR011W	CBF1	1.0125574573308099e-29	9.639246209327719e-25	8.75333671600475e-25
CDC8	CBF1	8.83589513153971e-26	3.6943621921988105e-21	3.3548262506149997e-21
BFA1	CBF1	1.0510781181632197e-25	4.25190003445272e-21	3.86112273471566e-21
YJR054W	CBF1	7.771032461974069e-25	2.65858432840377e-20	2.41424311704916e-20
YJR056C	CBF1	3.75882771902438e-23	9.95757870158982e-19	9.04241237938172e-19
HIT1	CBF1	1.1400687767235e-21	2.29818173290404e-17	2.08696386686481e-17
gJR10	CBF1	2.78521997557768e-19	3.3687134323885703e-15	3.05910673231801e-15
URB2	CBF1	3.27962475257761e-19	3.9113817432381294e-15	3.55190029177447e-15
GEF1	CBF1	4.93320179534412e-18	4.62208351817493e-14	4.19728394580585e-14
YJR037W	CBF1	1.24668690327349e-16	9.146964726356229e-13	8.306299106846758e-13
YJR038C	CBF1	1.78209890280395e-16	1.27930918534527e-12	1.16173234089286e-12
RAD26	CBF1	1.05094862968428e-15	6.663930052207099e-12	6.051471487721299e-12
NPA3	CBF1	1.7394583299442e-15	1.0572740302116e-11	9.601036623147921e-12
RFC2	CBF1	4.0960490917167894e-15	2.36367623934288e-11	2.14643900168944e-11
YJR071W	CBF1	4.4473649576422396e-15	2.54068751268691e-11	2.30718178639077e-11
NJR007C	CBF1	7.497469662951101e-14	3.5881217709333196e-10	3.2583500158564003e-10
RAV1	CBF1	1.32117935266813e-13	6.07053724687611e-10	5.51261534512263e-10
OPI3	CBF1	3.68670133119443e-13	1.54893380187862e-09	1.40657669948557e-09
NJR008W	CBF1	3.8793239667077294e-13	1.6230286333995099e-09	1.47386173351555e-09
MDE1	CBF1	5.03274013888393e-13	2.0651850884632604e-09	1.8753811312235197e-09
NJR009W	CBF1	7.853243929086409e-13	3.10961814657062e-09	2.82382399038542e-09
MOG1	CBF1	2.3582963915549e-12	8.54669310188496e-09	7.76119635337875e-09
MLF3	COG6	1.4644246589955e-11	4.57356321563832e-08	4.15322297501601e-08
SUN4	COG6	2.4847061814275603e-11	7.404655699925371e-08	6.72411962512277e-08
MLF3	SYS1	4.44938090115265e-11	1.26428450882141e-07	1.1480885299758699e-07
SAM50	COG6	5.844291922668071e-11	1.6079878975669697e-07	1.46020333924492e-07
KTR5	COG6	8.497038647096859e-11	2.26298175531314e-07	2.05499899642184e-07
NNL005C	COG6	8.97236844413113e-11	2.3747848223515602e-07	2.1565266335852398e-07
NNL035W	SYS1	1.1101629694203299e-10	2.88228187402989e-07	2.61738140160864e-07
MDE1	CPR7	1.70911401540766e-10	4.26708822937605e-07	3.87491503562644e-07
NNL012W	COG6	2.03397046099817e-10	5.00921241784832e-07	4.54883317877995e-07
YNL035C	COG6	2.69096478749296e-10	6.43917866485767e-07	5.84737621635502e-07
NNL004W	COG6	2.69096478749296e-10	6.43917866485767e-07	5.84737621635502e-07
COG6	COG6	2.95906306624204e-10	7.04971400359434e-07	6.40179938191444e-07
IDH1	COG6	3.31405736356598e-10	7.81768504100515e-07	7.09918888028531e-07
YNL040W	COG6	3.95268412296938e-10	9.204491448077221e-07	8.358538748251929e-07
CDC11	CBF1	4.36238575231414e-10	1.00529769190935e-06	9.129042879504101e-07
gNL07	COG6	4.41370388307261e-10	1.01595063605855e-06	9.22578157164838e-07
NJR013W	CBF1	4.4561226558340995e-10	1.02453293138776e-06	9.30371683669026e-07
TPK1	VPS35	4.97912069481863e-10	1.1285181240455799e-06	1.02479996001409e-06
NNL013C	COG6	5.1765590810047e-10	1.1664318951407101e-06	1.05922920866717e-06
NJR007C	CPR7	7.022508900865349e-10	1.53444561850522e-06	1.3934200745051e-06
YJR079W	CBF1	1.05199308246114e-09	2.21770772839663e-06	2.01388594738422e-06
VPS35	VPS35	1.17006877721106e-09	2.4365947685718397e-06	2.2126558432677103e-06
REC107	CBF1	1.23977464754132e-09	2.56835276583128e-06	2.33230442262677e-06
YNL046W	COG6	1.64373391450512e-09	3.31907131611451e-06	3.01402704977797e-06
FAR1	VPS35	1.86608246546349e-09	3.7141784518973397e-06	3.37282126701214e-06
SSY5	VPS35	2.53535760587603e-09	4.91713758791158e-06	4.46522062526665e-06
BNA2	CBF1	3.7246479940102294e-09	6.91671638110273e-06	6.28102510695396e-06
AIM24	CBF1	4.10825968568813e-09	7.5564299526981995e-06	6.861944835776171e-06
YJR037W	CPR7	4.33299818001469e-09	7.92596713557446e-06	7.197519145276599e-06
EAF6	CBF1	5.4214555345113895e-09	9.68615106992195e-06	8.79593071448582e-06
ARK1	COG6	5.606575275046321e-09	9.97225354062068e-06	9.055738505149319e-06
YJL163C	VPS35	5.67835922549694e-09	1.0089074099735099e-05	9.16182249419513e-06
CRZ1	COG6	6.91395244477375e-09	1.19773963207545e-05	1.08765956071489e-05
NJR008W	CPR7	7.380383260351451e-09	1.2671754012735e-05	1.15071373058734e-05
CSN12	CBF1	1.03478149392422e-08	1.7095044281442403e-05	1.55238983962953e-05
YJR038C	CPR7	1.2967301147803401e-08	2.08137594485274e-05	1.8900839424828e-05
NJL025C	VPS35	1.5556720270064198e-08	2.45224223541535e-05	2.22686520601863e-05
CIS3	VPS35	1.9140535479376496e-08	2.9496658918603698e-05	2.67857238942433e-05
RAV1	CPR7	2.2704405539445697e-08	3.41879866437375e-05	3.1045888053499496e-05
MLF3	YPT1	2.51783429991096e-08	3.76198941312879e-05	3.4162380895817e-05
NNL008W	COG6	2.54879063404098e-08	3.8006543879297103e-05	3.4513495014284994e-05
EMC2	CBF1	2.89383624640486e-08	4.2401903730003995e-05	3.85048926739915e-05
NJR009W	CPR7	5.2506488834550994e-08	7.11684227768837e-05	6.462758130508361e-05
YNL050C	COG6	8.9213338012676e-08	0.000113401460546764	0.00010297912790027
SUN4	SYS1	1.0012390769260199e-07	0.000125092348961386	0.00011359554754347901
REC107	CPR7	1.2586865111650902e-07	0.000152145466447627	0.000138162307374299
GEF1	CPR7	1.70955657931976e-07	0.000199204499947129	0.000180896309266716
SIS1	COG6	1.72195623059501e-07	0.00020053227010826598	0.000182102048704169
YNL010W	COG6	1.81010832405096e-07	0.000209696811278083	0.000190424308864873
URA8	CBF1	1.8160005273833801e-07	0.000210298024554119	0.000190970266725995
YJR107W	CBF1	1.9096828454549802e-07	0.00021957527488993401	0.00019939487734642601
ABM1	CBF1	1.9096828454549802e-07	0.00021957527488993401	0.00019939487734642601
ASG7	VPS35	2.20477000862852e-07	0.00024821311536384	0.00022540071380330098
gNL07	SYS1	2.43503671823214e-07	0.00027027404296093503	0.000245434098502813
gJR12	CBF1	2.45872298052769e-07	0.000272448485942627	0.000247408696015436
YJL152W	VPS35	3.1934910076767504e-07	0.000341418803882102	0.00031004019263079703
