module_name	genes_count	genes_with_interactions	interactions_count
rDNA & ncDNA processing	90	76	1055
Nuclear-cytoplasmic transport	39	35	361
tRNA wobble modification	16	14	249
Cell polarity & morphogenesis	102	64	966
Vesicle traffic	95	84	770
Respiration, oxidative phosphorylation, mitochondrial targeting	138	135	318
Mitosis & chromosome segregation	199	149	2478
DNA replication & repair	95	75	926
Peroxisome	24	22	295
Protein degradation|turnover	59	44	1310
MVB sorting and pH depending signaling	21	21	155
Cytokinesis	13	4	135
Glycosylation, protein folding|targeting, cell wall biosynthesis	160	140	549
Ribosome biogenesis	74	70	65
mRNA & tRNA processing	96	84	1126
Transcription & chromatin organization	110	85	1575
Metabolism	11	11	1
