SNP	gene	p.value	FDR	q.value
APT2	YHP1	3.31809096698264e-17	2.70646237683404e-13	2.45772086106712e-13
UGO1	YHP1	1.3043287033285198e-13	5.99810890708888e-10	5.446843641384519e-10
YDR474C	YHP1	2.3312814384378698e-11	7.00321038178503e-08	6.3595697457613e-08
YGL204C	SPT16	2.8340549424466002e-11	8.39559959367263e-08	7.62398932242803e-08
SIP2	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
SPT16	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
POX1	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
NGL032C	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
NGL034W	SPT16	3.0776857021203e-11	9.019151171020132e-08	8.190232449513732e-08
JIP4	YHP1	6.046694735359279e-11	1.65834190139529e-07	1.50592948223749e-07
PHO8	YHP1	1.44797560951521e-10	3.6521003920042897e-07	3.31644858504928e-07
NGL038C	SPT16	3.86141336996917e-10	9.012985916529829e-07	8.184633822056599e-07
MCM6	SPT16	4.66561759122904e-10	1.06777848539799e-06	9.696426896689942e-07
gGL02	SPT16	8.88506981561017e-10	1.90049929194522e-06	1.72583103176959e-06
SNX41	YHP1	1.84645003596249e-09	3.6812218749442803e-06	3.34289361408034e-06
NGL031W	SPT16	3.6768059363477506e-09	6.83211138378509e-06	6.20419585980169e-06
RAD51	MGA1	4.29959727292366e-09	7.872085311980091e-06	7.14858941212614e-06
NCS6	SPT16	4.79395388393228e-09	8.66589234926926e-06	7.86944041375346e-06
MDS3	SPT16	6.2700481091844995e-09	1.09923343836089e-05	9.98206727633282e-06
RPR1	MCM1	7.21327134606861e-09	1.2416879252965e-05	1.12756871961627e-05
SLX8	MGA1	9.57085619718256e-09	1.59790248322714e-05	1.45104484015487e-05
gDR13	YHP1	1.04471213334911e-08	1.7237391630985e-05	1.56531630975093e-05
NEL011C	MCM1	1.62972285250395e-08	2.55959132371487e-05	2.3243482140916602e-05
NGL030C	SPT16	2.97441334388628e-08	4.33702715799819e-05	3.93842612129555e-05
URA3	MCM1	3.51429313283652e-08	5.0047805866660706e-05	4.54480866174155e-05
AGP1	GTR2	3.7612518438485894e-08	5.31476070754883e-05	4.82629959105603e-05
REX4	XBP1	4.01677720684421e-08	5.62932426376796e-05	5.11195270815407e-05
GCN1	SPT16	5.3487976564959105e-08	7.23690147141799e-05	6.57178310255965e-05
CAD1	YHP1	5.8834615525098895e-08	7.87663808119579e-05	7.152723752205219e-05
SLI15	IFH1	8.27935535494233e-08	0.00010605168691811601	9.63048463267055e-05
LEU2	GTR2	9.422906103818892e-08	0.000118793440311448	0.00010787554961429301
RPB5	IFH1	1.2307831815790402e-07	0.00014925476045363602	0.000135537276084208
gOL02	XBP1	1.47390888167398e-07	0.000174981217369508	0.000158899304089728
gEL02	MCM1	1.59443041133021e-07	0.000187173843796997	0.00016997134875531598
YCL023C	GTR2	1.64540849829756e-07	0.000192366182330932	0.000174686477567673
