SNP	gene	p.value	FDR	q.value
REX4	NCE102	4.6318835389424294e-08	6.38524503127633e-05	5.79839943489277e-05
gOL02	NCE102	1.0977085608101099e-07	0.000135281779282216	0.000122848502868573
YOL073C	NCE102	4.18068065125211e-07	0.0004280055458928	0.000388669049234547
IRA2	NCE102	4.28484269483729e-07	0.00043754704430990496	0.00039733362181692595
MDY2	NCE102	2.28373789453168e-06	0.0017619223971064898	0.00159999025592054
TRM10	NCE102	2.6811424727405e-06	0.00200324706755206	0.0018191356177482
NOL019C	NCE102	2.69225909598757e-06	0.00200904575015471	0.0018244013636611
NOL020W	NCE102	2.69225909598757e-06	0.00200904575015471	0.0018244013636611
YOL106W	NCE102	2.80756446296384e-06	0.00207568635375596	0.00188491726185603
NDJ1	NCE102	2.87462651459277e-06	0.0021174223751541	0.0019228174711204
YPQ1	NCE102	5.701211860956021e-06	0.0036389334029879204	0.00330449172806137
REX4	HSE1	5.710298413788009e-06	0.0036431795157116	0.0033083475953768603
MPD2	NCE102	5.84716627544173e-06	0.0037123038622729103	0.00337111896438074
YOL099C	NCE102	6.0204215857827404e-06	0.00379453691725786	0.0034457942661457602
HAL9	NCE102	6.496715531524389e-06	0.00402732256825898	0.00365718540001839
gOL02	HSE1	6.56467681933746e-06	0.00405936439476463	0.0036862823740253796
IRA2	HSE1	7.03589676759293e-06	0.00428219611658598	0.0038886344096256205
RFC4	NCE102	1.00714972189029e-05	0.0056681823980120295	0.00514723952683342
HRP1	NCE102	1.5151976722538e-05	0.0077228408472286405	0.007013061485502029
SKM1	NCE102	1.9144682253737e-05	0.00916805651767251	0.00832545242520023
YOL118C	NCE102	2.3299785904394502e-05	0.0106145169158508	0.009638973694048909
SML1	DDI1	4.7207453980569e-05	0.0176921037517273	0.0160660842134628
REX4	VPS27	7.05985241956471e-05	0.0236249431864629	0.0214536570720104
gOL02	VPS27	7.33567729925875e-05	0.0242671849598869	0.0220368726444504
MPD2	HSE1	0.000119462027959936	0.0340629612625772	0.0309323533189801
IRA2	VPS27	0.000133498175525146	0.0367304462939467	0.0333546791064348
TCB3	DDI1	0.000173902135577627	0.0438754946485855	0.039843050991756
COG8	DDI1	0.000173902135577627	0.0438754946485855	0.039843050991756
YPQ1	HSE1	0.000195543087198687	0.0474362674349076	0.0430765655727718
TRM10	HSE1	0.00022066412248282998	0.0514313717426544	0.0467044937802107
YHL008C	HSE1	0.000222528048108944	0.05170678342484599	0.046954593335445
YAP3	HSE1	0.00023273544351044	0.05329136181808	0.0483935386562379
STE20	HSE1	0.00023273544351044	0.05329136181808	0.0483935386562379
NTG2	NCE102	0.000233758045272431	0.05346542838296	0.0485516073703576
PIF1	DDI1	0.00023438279606596	0.0535714835735845	0.0486479153983774
