SNP	gene	p.value	FDR	q.value
gCL01	EFB1	5.28124844763898e-10	3.1616845631441004e-06	3.01127566646348e-06
LEU2	EFB1	7.02583112001046e-10	4.10224617759122e-06	3.90709251530741e-06
YCL022C	EFB1	7.8687282257918e-09	2.8139598491287e-05	2.6800930487701898e-05
ILV6	EFB1	9.902845883680441e-09	3.41237458395406e-05	3.25003976339148e-05
BUD3	EFB1	2.0825895417476203e-08	6.0705495611102e-05	5.7817589991499096e-05
YCL023C	EFB1	4.1757341038790004e-07	0.000599813290273158	0.000571278737441411
NCR015C	EFB1	2.21054001242362e-06	0.00216339364248457	0.00206047583257871
gCR02	EFB1	3.43528173960218e-06	0.00305106724994011	0.00290592068341942
ILV6	TEF4	6.37433007355737e-06	0.00488597350614195	0.00465353606034606
AGP1	EFB1	7.33836251972587e-06	0.00545481967741822	0.00519532085870739
gCL01	TEF4	5.19052385740435e-05	0.0228647811717653	0.0217770488442023
AGP1	GET3	5.3206498091844895e-05	0.0232420406754528	0.0221363612109827
LEU2	TEF4	5.545012138661539e-05	0.0239386222012601	0.0227998046875468
gCL01	GET3	9.43825147309022e-05	0.035083407186297995	0.0334144055951209
BUD3	TEF4	0.00012353941392205802	0.0420339078585564	0.0400342543264239
YCL022C	TEF4	0.000132230495494093	0.0440346163751041	0.0419397843536115
PAC2	EFB1	0.00016412174643706798	0.0510407839261041	0.0486126517570922
