SNP	gene	p.value	FDR	q.value
HO	HO	1.50738119212822e-45	1.00274463877111e-39	9.105858770199712e-40
YCR041W	MATALPHA1	5.860192884899661e-43	2.3390010548829603e-37	2.12403162735573e-37
NDL038W	HO	1.31426033214428e-40	3.02634069552696e-35	2.74820027936015e-35
YDL228C	HO	7.69528263900865e-37	1.2451813791006298e-31	1.1307411022679098e-31
YCR041W	MATALPHA2	4.33402708762904e-32	5.4058021899634705e-27	4.9089737684132204e-27
YCR041W	HMRA1	3.83991313039425e-30	4.10528335554683e-25	3.7279810833068896e-25
NJR011W	CBF1	1.0125574573308099e-29	9.639246209327719e-25	8.75333671600475e-25
NCR015C	MATALPHA1	1.3358898260584197e-29	1.2496846468500899e-24	1.13483049038782e-24
NBR034W	AMN1	1.45506001562716e-29	1.31991734833029e-24	1.19860834927641e-24
NBR035W	AMN1	1.45506001562716e-29	1.31991734833029e-24	1.19860834927641e-24
CSH1	AMN1	3.16576495253358e-28	2.3691821163966497e-23	2.15143885279003e-23
gCR02	MATALPHA1	7.0614564273564285e-28	5.1557303732655996e-23	4.6818851800315596e-23
TIM22	HO	8.42331652802048e-28	5.93299470782051e-23	5.38771386102496e-23
NDL036C	HO	8.42331652802048e-28	5.93299470782051e-23	5.38771386102496e-23
NBR031C	AMN1	9.46592782036988e-28	6.514089209430939e-23	5.915401994096299e-23
SHR3	HO	2.7443537871749395e-27	1.7115068056555098e-22	1.55420818560887e-22
PHO13	HO	3.46505826683638e-27	2.0954876867633598e-22	1.9028987234221599e-22
RRI1	HO	4.24953968624017e-27	2.54420238482977e-22	2.31037361889634e-22
GDH2	HO	4.359235253812989e-27	2.55870313521815e-22	2.32354165590129e-22
PRR2	HO	4.359235253812989e-27	2.55870313521815e-22	2.32354165590129e-22
MCM6	MCM6	1.84353401276517e-26	9.43354789672064e-22	8.56654341774652e-22
IMG1	MATALPHA1	2.2243956152093e-26	1.1191153041199498e-21	1.0162613204667999e-21
RPB5	AMN1	4.25962435718564e-26	2.0240000669714997e-21	1.83798128138626e-21
YBR162W	AMN1	4.33454359906733e-26	2.04338132830089e-21	1.85558127859691e-21
CDC8	CBF1	8.83589513153971e-26	3.6943621921988105e-21	3.3548262506149997e-21
BFA1	CBF1	1.0510781181632197e-25	4.25190003445272e-21	3.86112273471566e-21
QRI7	NSE4	1.44055088179139e-25	5.6369857602230296e-21	5.11891006319649e-21
YDL211C	HO	1.7538327672477498e-25	6.81831756775431e-21	6.1916697852836286e-21
YCR041W	HMLALPHA2	2.99088012858711e-25	1.06585834916738e-20	9.67899026461088e-21
SLI15	AMN1	3.3047441935491603e-25	1.1638545070581299e-20	1.05688869933223e-20
YJR054W	CBF1	7.771032461974069e-25	2.65858432840377e-20	2.41424311704916e-20
UTP20	PDR3	1.0738904083862801e-24	3.61201651249524e-20	3.28004867507634e-20
EXO5	AMN1	2.44500109278361e-24	7.95556448777344e-20	7.22439630808307e-20
UBS1	AMN1	2.44500109278361e-24	7.95556448777344e-20	7.22439630808307e-20
gDL01	HO	3.6908463922607e-24	1.16300648349419e-19	1.05611861465579e-19
TYR1	AMN1	7.231355078822909e-24	2.1539389789252897e-19	1.9559779612243699e-19
NCR015C	MATALPHA2	9.875360572883711e-24	2.84249292679706e-19	2.58124931771526e-19
CDC13	HO	1.10823868787918e-23	3.1746568334944695e-19	2.8828851984766196e-19
IMG1	HMRA1	1.1287744807543098e-23	3.21808605604638e-19	2.92232299268331e-19
NCR015C	HMRA1	1.44940373746999e-23	4.0932029821033e-19	3.7170109748450894e-19
YBR174C	AMN1	2.96929733285483e-23	8.11744471090557e-19	7.371398684613959e-19
MAK5	AMN1	3.74369915377687e-23	9.95757870158982e-19	9.04241237938172e-19
YJR056C	CBF1	3.75882771902438e-23	9.95757870158982e-19	9.04241237938172e-19
RTC2	AMN1	4.493644419370279e-23	1.1748244800996e-18	1.06685046041938e-18
BUD23	MATALPHA1	1.12290389912073e-22	2.76659814994366e-18	2.51232976504931e-18
RPN6	NSE4	1.2501932544568398e-22	3.06758842860076e-18	2.7856570771767098e-18
UGA4	HO	1.4529642795918e-22	3.4657001245681596e-18	3.1471797159500597e-18
SIP2	MCM6	1.68647152248546e-22	3.8834295424696695e-18	3.5265170802695e-18
SPT16	MCM6	1.68647152248546e-22	3.8834295424696695e-18	3.5265170802695e-18
POX1	MCM6	1.68647152248546e-22	3.8834295424696695e-18	3.5265170802695e-18
NGL032C	MCM6	1.68647152248546e-22	3.8834295424696695e-18	3.5265170802695e-18
NGL034W	MCM6	1.68647152248546e-22	3.8834295424696695e-18	3.5265170802695e-18
RCR1	PDR3	1.7924003835720797e-22	4.11153779434817e-18	3.7336606984561296e-18
gCR02	MATALPHA2	2.0777566161542999e-22	4.6941673227215495e-18	4.26274277933545e-18
NUR1	NSE4	3.3213452527897995e-22	7.152847941679599e-18	6.495454639525179e-18
NBR041W	AMN1	3.4663747529572997e-22	7.43842649124682e-18	6.7547866608206995e-18
ECM31	AMN1	3.8608425083617994e-22	8.25531825837846e-18	7.49660075529998e-18
NBR038W	AMN1	6.31796035457652e-22	1.3225759744255999e-17	1.2010226303217097e-17
FLO10	ARR1	6.57516574723749e-22	1.35276850016739e-17	1.2284402663469e-17
NFT1	ARR1	6.57516574723749e-22	1.35276850016739e-17	1.2284402663469e-17
YKR104W	ARR1	6.57516574723749e-22	1.35276850016739e-17	1.2284402663469e-17
gKR09	ARR1	6.57516574723749e-22	1.35276850016739e-17	1.2284402663469e-17
