SNP	gene	p.value	FDR	q.value
RTC2	BMH1	1.05799973273237e-08	3.58690919066365e-05	3.41627134141383e-05
SLI15	BMH1	1.3143908777057902e-08	4.25775543474336e-05	4.05520382515495e-05
RPB5	BMH1	1.7327718562984698e-08	5.2947232507528794e-05	5.0428406019718395e-05
NBR034W	BMH1	3.29384971230577e-08	8.84379066129989e-05	8.423070387257879e-05
NBR035W	BMH1	3.29384971230577e-08	8.84379066129989e-05	8.423070387257879e-05
YBR144C	BMH1	6.58628040632662e-08	0.00014833032670378302	0.000141273898290948
MAK5	BMH1	6.857706615573571e-08	0.000152626167261923	0.000145365375439089
NBR031C	BMH1	1.4779755760719e-07	0.000281854263051639	0.000268445781628633
SLI15	BMH2	1.50654572372835e-07	0.00028415179695062405	0.000270634016344877
CSH1	BMH1	3.81393157148957e-07	0.000559309517115623	0.0005327018256485559
RPB5	BMH2	8.161812639194499e-07	0.00101049062708684	0.0009624191710984881
gBR08	BMH1	1.04091079044527e-06	0.00121703765684365	0.0011591402646374599
EXO5	BMH1	1.23393029550532e-06	0.00138043525542223	0.00131476464864272
UBS1	BMH1	1.23393029550532e-06	0.00138043525542223	0.00131476464864272
NBR034W	BMH2	1.60470793168706e-06	0.00169499896038605	0.00161436380579842
NBR035W	BMH2	1.60470793168706e-06	0.00169499896038605	0.00161436380579842
RTC2	BMH2	2.14134431299353e-06	0.00211206327165001	0.00201158737025502
TYR1	BMH1	3.5803908423156897e-06	0.00315476792032607	0.00300468806488731
YBR162W	BMH1	4.32191027884425e-06	0.00363704322684164	0.00346402038158192
NBR031C	BMH2	4.39188525534934e-06	0.0036793293236383204	0.0035042948276155
YBR139W	BMH1	5.26093091769801e-06	0.00422062906389756	0.00401984364456791
IRA1	BMH1	5.6863929167848095e-06	0.0044529707784528895	0.00424113230805467
NBR041W	BMH1	5.95684520904767e-06	0.00462223089895641	0.00440234031979513
gBR07	BMH1	6.53744143062149e-06	0.00497355995262415	0.004736955810082761
ECM31	BMH1	6.6859888920777e-06	0.005059349305733	0.0048186639584761
NBR038W	BMH1	7.124062799096221e-06	0.00532061178588024	0.0050674975575638395
YBR138C	BMH1	9.97259639335442e-06	0.00689481844837459	0.00656681544398826
MAK5	BMH2	1.03965252631356e-05	0.007108010764950391	0.0067698656921583
YBR144C	BMH2	1.0774316126063302e-05	0.0072898999788094205	0.00694310200107746
AGP2	BMH1	1.2809290697506401e-05	0.00830725755594576	0.00791206144498745
YBR174C	BMH1	1.50913860524099e-05	0.009425380213445259	0.00897699233338115
gBR08	BMH2	2.0658272584403303e-05	0.0119148665554312	0.0113480478558083
SMY2	BMH1	2.31782849065406e-05	0.0129536347333829	0.0123373993470437
PEX32	BMH1	3.14065864416114e-05	0.0160622147208452	0.0152980967495044
NTC20	BMH1	3.47424409087497e-05	0.0172506067362908	0.0164299541144188
RIM2	BMH1	3.47424409087497e-05	0.0172506067362908	0.0164299541144188
PGI1	BMH1	3.56724769227882e-05	0.0175685135388836	0.0167327373300533
TAF5	BMH1	3.56724769227882e-05	0.0175685135388836	0.0167327373300533
YBR137W	BMH1	3.6510570424590505e-05	0.0178844410522628	0.0170336354159961
NBR043C	BMH1	4.31805427182891e-05	0.0200702416710233	0.019115452271397
PCH2	BMH1	4.64989789764289e-05	0.0211608162028328	0.0201541455643285
YBR139W	BMH2	6.72320303690555e-05	0.0274451032441459	0.0261394740405379
IRA1	BMH2	7.948734947877359e-05	0.0310173311851295	0.0295417625544332
CCZ1	BMH1	8.658697071905009e-05	0.0329053622655865	0.0313399754806629
CSH1	BMH2	0.000100594819221175	0.0366699114116082	0.0349254360198852
YCL026C	BMH2	0.000102231507562568	0.0370731692994191	0.0353095099654741
gBR07	BMH2	0.00011986768550117	0.0412157772133462	0.0392550441127838
EXO5	BMH2	0.000132056309252108	0.0439979852629075	0.041904895871035006
UBS1	BMH2	0.000132056309252108	0.0439979852629075	0.041904895871035006
KTR4	BMH1	0.000140492336682286	0.0457679467723953	0.0435906560781814
AGP1	BMH2	0.000147430833722054	0.0473363324173236	0.0450844298667682
