"SNP"	"gene"	"p.value"	"FDR"	"q.value"
"YLR162W"	"ASP3-3"	1.65085748376137e-52	9.88369531128174e-46	8.97531935374025e-46
"YLR162W"	"ASP3-1"	5.17567315339444e-52	1.09543216151737e-45	9.94754812883987e-46
"LEU2"	"LEU2"	5.48904733960076e-52	1.09543216151737e-45	9.94754812883987e-46
"YCL022C"	"LEU2"	1.03876400405857e-49	1.55477184091167e-43	1.41187818471665e-43
"URA3"	"URA3"	9.76734141910461e-49	1.16954282895139e-42	1.06205422740356e-42
"NEL011C"	"URA3"	1.40267767274877e-48	1.39964017424844e-42	1.27100412837142e-42
"RPR1"	"URA3"	9.21041783783475e-47	7.87754800972021e-41	7.15355005237318e-41
"HO"	"BRE4"	4.53263585552321e-46	3.39211532443356e-40	3.08035783810087e-40
"HO"	"HO"	1.50738119212822e-45	1.00274463877111e-39	9.10585877019971e-40
"YCR041W"	"YLR040C"	2.00120550069714e-45	1.19812313411123e-39	1.08800781641638e-39
"gCL01"	"LEU2"	1.11124277286534e-44	6.0481984180402e-39	5.49232960011772e-39
"NBR034W"	"DSE1"	2.27090674916692e-44	1.04584112335458e-38	9.49721514044182e-39
"NBR035W"	"DSE1"	2.27090674916692e-44	1.04584112335458e-38	9.49721514044182e-39
"NLR032W"	"ASP3-3"	4.25274758193059e-43	1.81865925301796e-37	1.6515126253274e-37
"YCR041W"	"MATALPHA1"	5.86019288489966e-43	2.33900105488296e-37	2.12403162735573e-37
"NDL038W"	"BRE4"	6.27711396560892e-43	2.34882032824365e-37	2.13294844555562e-37
"NLR032W"	"ASP3-1"	7.66884140876812e-43	2.70078865859909e-37	2.45256859448282e-37
"GPI14"	"YJR015W"	1.07063553376925e-42	3.56105690840291e-37	3.23377259042745e-37
"YLR169W"	"ASP3-3"	2.38225412326294e-42	7.50661690092322e-37	6.81670992782078e-37
"gEL02"	"URA3"	7.71035529501173e-42	2.30809755618612e-36	2.09596836141961e-36
"NBR031C"	"DSE1"	1.89963530153298e-41	5.41577611796431e-36	4.91803102748479e-36
"DPH5"	"ASP3-3"	2.3327614233443e-41	6.34829953222376e-36	5.76484946777657e-36
"IDP2"	"ASP3-3"	2.78797752534454e-41	7.25723520003496e-36	6.59024802911211e-36
"YCR041W"	"STE3"	9.22357925962587e-41	2.30090139968479e-35	2.08943357855908e-35
"IDP2"	"ASP3-1"	1.19116955354554e-40	2.8526161821056e-35	2.59044217994261e-35
"NDL038W"	"HO"	1.31426033214428e-40	3.02634069552696e-35	2.74820027936015e-35
"YLR169W"	"ASP3-1"	3.70187465397227e-40	8.20857387646466e-35	7.45415248646366e-35
"YCR041W"	"BAR1"	5.1608695400466e-40	1.10350578794092e-34	1.00208642046718e-34
"BUD3"	"LEU2"	1.68830938040133e-39	3.48548968228566e-34	3.16515048445212e-34
"DPH5"	"ASP3-1"	2.6242071630592e-39	5.23704888489519e-34	4.7557299909307e-34
"ENA5"	"ENA5"	4.65799995136584e-39	8.99596074671837e-34	8.1691733762115e-34
"YCR041W"	"YCR097W-A"	2.84463290001495e-38	5.32213658900619e-33	4.83299758097884e-33
"RPB5"	"DSE1"	6.013851092403e-38	1.0910596541568e-32	9.90784167421767e-33
"RFX1"	"ASP3-3"	1.00647892532741e-37	1.77229305037873e-32	1.60940777862777e-32
"YCR041W"	"YCL065W"	2.81166432190944e-37	4.8095582791206e-32	4.36752855546442e-32
"RFX1"	"ASP3-1"	3.40031525444218e-37	5.65491978626448e-32	5.13519583546596e-32
"YDL228C"	"HO"	7.69528263900865e-37	1.24518137910063e-31	1.13074110226791e-31
"ENA5"	"ENA1"	2.35172539885811e-36	3.70520958553719e-31	3.36467669787195e-31
"YCL023C"	"LEU2"	3.23980778907645e-35	4.97352613124493e-30	4.51642669428938e-30
"SLI15"	"DSE1"	5.30129890640882e-35	7.93472841544049e-30	7.2054752064732e-30
"YDL228C"	"BRE4"	1.63945056309284e-34	2.39400048716849e-29	2.17397625368122e-29
"COX17"	"YLL007C"	3.19289512466877e-34	4.55140130039472e-29	4.13309788409228e-29
"ILV6"	"LEU2"	4.86759246438201e-33	6.77728143195403e-28	6.15440513757332e-28
"CSH1"	"DSE1"	8.36470313155317e-33	1.13817127730752e-27	1.03356592563401e-27
"RTC2"	"DSE1"	1.1883692438723e-32	1.58106110703292e-27	1.4357512960968e-27
"YCR041W"	"SAG1"	2.28770800136028e-32	2.97750517784783e-27	2.70385306375191e-27
