SNP	gene	p.value	FDR	q.value
NBR034W	RNT1	3.20702263963452e-08	4.63555456123861e-05	4.20951691229426e-05
NBR035W	RNT1	3.20702263963452e-08	4.63555456123861e-05	4.20951691229426e-05
RPB5	RNT1	4.36170499389493e-08	6.05070697138734e-05	5.494607601077629e-05
SLI15	RNT1	7.42220945595605e-08	9.6434071111708e-05	8.75711520387445e-05
RPB5	MDN1	7.83032949160051e-08	0.000100991463762427	9.17096906290533e-05
NBR031C	RNT1	9.90509855850751e-08	0.000123907008787034	0.00011251914784958201
RTC2	MDN1	1.0892694307764098e-07	0.000134352363142653	0.0001220045061242
NBR034W	MDN1	1.10312051342059e-07	0.000135834051499491	0.000123350017672917
NBR035W	MDN1	1.10312051342059e-07	0.000135834051499491	0.000123350017672917
YBR162W	RNT1	1.32866605717222e-07	0.00015979776988655	0.000145111314298629
EXO5	RNT1	1.3499059371667e-07	0.000161961849602377	0.000147076500997001
UBS1	RNT1	1.3499059371667e-07	0.000161961849602377	0.000147076500997001
CSH1	RNT1	1.76585818120843e-07	0.00020522274214984299	0.00018636143582276
SLI15	MDN1	1.9054337938193702e-07	0.00021921301809441	0.000199065914309274
NBR031C	MDN1	2.3661850792334198e-07	0.000263932467943104	0.000239675355522769
YBR174C	RNT1	3.02977166283953e-07	0.000326833588357151	0.00029679545338532996
RPB5	PXR1	4.1235174627628705e-07	0.000422948910642171	0.000384077151690116
NBR034W	PXR1	4.9737454058712e-07	0.000496877166046533	0.00045121091903335193
NBR035W	PXR1	4.9737454058712e-07	0.000496877166046533	0.00045121091903335193
EXO5	CGR1	5.493850416557391e-07	0.000539226486763538	0.0004896680614156379
UBS1	CGR1	5.493850416557391e-07	0.000539226486763538	0.0004896680614156379
ECM31	RNT1	6.559633653709001e-07	0.000625957484893072	0.0005684279160615691
NBR038W	RNT1	6.766767405060739e-07	0.000641937629875938	0.000582939381664579
NBR041W	RNT1	7.53927484963352e-07	0.000702641520854293	0.000638064189784014
RTC2	RNT1	7.68884463228708e-07	0.000713139684514565	0.0006475975038443151
RTC2	PXR1	7.767768018277091e-07	0.000719345421497309	0.0006532328931892161
NBR034W	JJJ1	8.3542699998663e-07	0.000765840958032301	0.000695455187157414
NBR035W	JJJ1	8.3542699998663e-07	0.000765840958032301	0.000695455187157414
PCH2	RNT1	8.954562068258492e-07	0.000812657659308747	0.00073796912873604
NTC20	RNT1	1.0011503246579e-06	0.000890887931298921	0.000809009529327941
NBR031C	PXR1	1.07880483551424e-06	0.000949406453308486	0.000862149818117014
RPB5	NOP14	1.11351599900745e-06	0.0009749382978458009	0.0008853351198888039
PYC2	PXR1	1.2354718437181002e-06	0.0010624502408278099	0.0009648041454700789
TYR1	RNT1	1.33423590940743e-06	0.00113579976244471	0.0010314123684294
SLI15	URB2	1.3353572310680402e-06	0.00113643114284364	0.0010319857208583802
PGI1	RNT1	1.42346502433751e-06	0.00119728787088562	0.00108724931932009
RIM2	RNT1	1.46800518472554e-06	0.00122991286271874	0.0011168758619636199
SLI15	PXR1	1.54310247006996e-06	0.00128420423825774	0.00116617750656816
YBR162W	PXR1	1.5563227611603e-06	0.00129340855987313	0.00117453589109246
NBR031C	JJJ1	1.58037197546168e-06	0.00130885296440627	0.0011885608542815801
SLI15	NOP14	1.6495389259215e-06	0.00135675245174674	0.0012320580668343099
TAF5	RNT1	1.69018243671026e-06	0.00138409712486136	0.00125688958643277
PYC2	RNT1	1.72896855865914e-06	0.0014114189887472301	0.0012817003931191301
SMY2	RNT1	1.7552513188899398e-06	0.0014276259938633801	0.00129641786893196
NBR034W	NOP14	1.8198868539128502e-06	0.00147119569721634	0.00133598323283934
NBR035W	NOP14	1.8198868539128502e-06	0.00147119569721634	0.00133598323283934
EXO5	PXR1	2.0713163338304796e-06	0.00162994227648522	0.00148013996778297
UBS1	PXR1	2.0713163338304796e-06	0.00162994227648522	0.00148013996778297
RPB5	URB2	2.0717965962044997e-06	0.00162994227648522	0.00148013996778297
RPB5	JJJ1	2.09530049951889e-06	0.00164454362319391	0.00149339935565135
TYR1	CGR1	2.2335808382865003e-06	0.00172927248336831	0.0015703410818573
NBR034W	UTP22	2.2947637086102403e-06	0.00176658948010743	0.00160422840360363
NBR035W	UTP22	2.2947637086102403e-06	0.00176658948010743	0.00160422840360363
NBR031C	NOP14	2.37035021871518e-06	0.0018138168905801801	0.00164711530752905
CSH1	PXR1	2.5918079443061197e-06	0.00194719190679086	0.0017682322912684
NBR043C	RNT1	2.68245734615516e-06	0.00200393945298429	0.00181976436845068
MAK5	MDN1	2.7547052127789102e-06	0.0020477327280660302	0.00185953275638917
YBR174C	CGR1	2.81696582701445e-06	0.0020810950302438697	0.0018898288457556897
YBR174C	PXR1	2.96775555270781e-06	0.0021702666750153398	0.0019708050357247
MED8	RNT1	3.19200912652499e-06	0.0022997725716518	0.00208840849717277
RPB5	UTP22	3.33325060227998e-06	0.00237998744050142	0.00216125109724989
NBR016C	PRP43	3.41207810793806e-06	0.00242154285405073	0.00219898729770277
PCS60	JJJ1	3.41563515723499e-06	0.00242349272289784	0.00220075796090611
NBR031C	UTP22	3.55373182257489e-06	0.0025036734876298697	0.00227356959125611
SLI15	JJJ1	3.59288798287903e-06	0.0025250200145219698	0.00229295423332729
SLI15	UTP22	3.81829165860539e-06	0.0026492222607616303	0.00240574148438514
ATG23	SEN1	4.12873044589297e-06	0.0028262906563771197	0.0025665361414492303
RPB5	HAS1	4.24933249218918e-06	0.00289005941525404	0.00262444413615023
SMY2	MDN1	4.73753766374073e-06	0.0031508188353232	0.0028612380675602104
YBR162W	CGR1	4.828804820816671e-06	0.00319589744239035	0.00290217365710512
EXO5	MDN1	4.9491036747199096e-06	0.00325966098396852	0.0029600769140110898
UBS1	MDN1	4.9491036747199096e-06	0.00325966098396852	0.0029600769140110898
YBR174C	MDN1	4.9886938340144695e-06	0.00328176518021113	0.00298014959068585
MAK5	DBP2	5.0204768317219e-06	0.00329687725511208	0.00299387276749997
YBR225W	PXR1	5.13750687701052e-06	0.00335569382884684	0.0030472837151199104
SLX1	PXR1	5.23365093519469e-06	0.00340251335488227	0.00308980022184377
KTR4	RNT1	5.25645439283944e-06	0.00341327865999029	0.00309957612531327
FTH1	RNT1	5.4138169165177105e-06	0.00349469126808847	0.00317350638460283
YBR225W	JJJ1	5.47216091075764e-06	0.0035254348087627703	0.00320142439370024
YBR162W	MDN1	5.55127728454468e-06	0.0035626043478947295	0.0032351778101537
PCS60	PXR1	5.91060694526958e-06	0.0037406813060864297	0.0033968883363259
MSC7	PIH1	6.16512738372414e-06	0.0038682310629059	0.00351271543994371
PYC2	JJJ1	6.45043636911817e-06	0.00400568485582046	0.00363753633424859
YBR144C	MDN1	6.71051089010645e-06	0.00412313994998394	0.00374419654044065
MAK5	RNT1	6.982445198753121e-06	0.00425875593745429	0.00386734853558865
YHR033W	PIH1	7.0476189908467e-06	0.00428802278775733	0.00389392557177551
SLI15	HAS1	7.100236800301421e-06	0.00431171188001442	0.00391543748220085
NBR034W	HAS1	7.1148412570814305e-06	0.00431576539108767	0.00391911844921172
NBR035W	HAS1	7.1148412570814305e-06	0.00431576539108767	0.00391911844921172
ECM31	CGR1	7.14840751158866e-06	0.00433261447770134	0.003934418995051489
NBR034W	URB2	7.335586003228419e-06	0.00441921963679116	0.004013064576084861
NBR035W	URB2	7.335586003228419e-06	0.00441921963679116	0.004013064576084861
BCD1	PIH1	7.713100622376891e-06	0.00458847251767437	0.00416676201511188
CSH1	MDN1	7.73228881687668e-06	0.0045957775511429	0.0041733956684373704
gLR13	SEN1	7.78031072904426e-06	0.00461857400435101	0.00419409697915481
YGL235W	MDN1	7.86156330491127e-06	0.0046578163817364605	0.00422973272652881
MAK5	CGR1	8.015038023995289e-06	0.00473235589299072	0.00429742157132911
YBR144C	DBP2	8.15578747425409e-06	0.0048062226540597	0.0043644994960668
NBR034W	CGR1	8.559624453563369e-06	0.00499381519400264	0.00453485106006588
NBR035W	CGR1	8.559624453563369e-06	0.00499381519400264	0.00453485106006588
MAK5	PXR1	8.83398164092742e-06	0.0051199525578029	0.00464939557877985
SMY2	PXR1	9.275867114271609e-06	0.00530417204815797	0.00481668409841204
ROT2	PXR1	9.531578141800698e-06	0.00542500475862799	0.00492641149597847
SLI15	DBP2	9.60529647968838e-06	0.00546125140180149	0.00495932683662155
RTC2	HAS1	9.8417910930354e-06	0.0055658174338434705	0.0050542825694292
PCH2	CGR1	9.99433671302695e-06	0.00563588243960152	0.0051179081449244605
RTC2	NOP14	1.0210235402179902e-05	0.00572576060449507	0.00519952592121579
RTC2	CGR1	1.0835517211544198e-05	0.00599781040996078	0.00544657257808615
PCH2	PXR1	1.09417812427336e-05	0.00603431474693395	0.00547972192879071
PIH1	PIH1	1.15915919774447e-05	0.00630727458966692	0.00572759498457775
RPB5	DBP2	1.1729392282045098e-05	0.00636720951113882	0.00578202149649556
ECM31	PXR1	1.2174018669811e-05	0.00655508004265573	0.0059526255028328
YLR428C	SEN1	1.21873614015839e-05	0.0065604943376022795	0.00595754218881817
YBR144C	CGR1	1.26652318596615e-05	0.006748561035992921	0.00612832433301608
CSH1	CGR1	1.27045224200717e-05	0.00676404043892463	0.00614238107802303
NTC20	PXR1	1.29196153862128e-05	0.0068499704121856705	0.00622041352720181
SMY2	DBP2	1.29999927170879e-05	0.0068810049860449606	0.00624859582163945
NBR031C	HAS1	1.31264011917084e-05	0.00693075719371786	0.00629377547746192
RPB5	NSR1	1.33850300469685e-05	0.00702518353523369	0.00637952342332815
TYR1	PXR1	1.35164730229715e-05	0.00707741985340579	0.00642695888371945
YHR021W	PIH1	1.36136488540496e-05	0.007115855682271409	0.00646186220963453
RTC2	NSR1	1.36828853137282e-05	0.00714580688708025	0.00648906070369187
NBR031C	CGR1	1.3796609204487601e-05	0.0071919751162967905	0.00653098577201548
SLX1	JJJ1	1.39436164003948e-05	0.0072465459455660795	0.0065805411867327895
YGL235W	IMP4	1.4087493748035998e-05	0.007297908080120091	0.00662718280667284
RTC2	DBP2	1.45997746315361e-05	0.00750562741665048	0.006815811383595829
NBR031C	URB2	1.46951652121073e-05	0.007537701935490309	0.0068449380452986
YBR144C	PXR1	1.4704161985710198e-05	0.00754037864989985	0.00684736875222428
NBR041W	PXR1	1.5010119645313e-05	0.0076696843379129905	0.0069647904055251605
CSH1	UTP22	1.50964105609491e-05	0.007705285908918059	0.00699711996033255
ROT2	JJJ1	1.5459422436445198e-05	0.00783573233516379	0.007115577510594421
MCM7	RNT1	1.55267008616348e-05	0.00785985175830841	0.00713748020169661
YBR225W	RNT1	1.58436192421122e-05	0.00797958127567598	0.00724620579679022
TAT1	PRP43	1.585245753289e-05	0.007982906402272309	0.007249225322600521
YHR022C	PIH1	1.6007039953556303e-05	0.00804856473093319	0.00730884922331826
TAF5	PXR1	1.60472855379886e-05	0.00806406000058222	0.00732292037678793
YBR174C	DBP2	1.67593445001762e-05	0.00832544912362816	0.007560286137370759
SLX1	RNT1	1.67920215090573e-05	0.00833200317577295	0.007566237829446259
RPB5	CGR1	1.69111006186698e-05	0.00837512430984203	0.00760539585050784
YBR162W	UTP22	1.72113830154127e-05	0.0084838358795453	0.0077041161190716904
YBR144C	RNT1	1.7545110176519e-05	0.00860858251499963	0.00781739772643055
RIM2	PXR1	1.75869927671624e-05	0.00862142379480477	0.007829058809004641
NBR034W	NSR1	1.78078751252522e-05	0.0086980485931244	0.0078986412894105
NBR035W	NSR1	1.78078751252522e-05	0.0086980485931244	0.0078986412894105
ROT2	RNT1	1.8286878909872e-05	0.008861487012671459	0.008047058653959471
PCS60	RNT1	1.8919934089130998e-05	0.00909099340539055	0.00825547191473929
PGI1	PXR1	1.9397341994725102e-05	0.00926462084593643	0.008413141862910721
SMY2	UTP22	2.01062380016906e-05	0.009521925934170821	0.008646798938074709
gBR08	MDN1	2.02204877597332e-05	0.009559396854148541	0.00868082603651171
RPB5	EBP2	2.04913072987587e-05	0.00965009047721381	0.00876318432505888
RTC2	URB2	2.0620658837020397e-05	0.00969346959813546	0.00880257662230134
YAL037W	POP5	2.06993034354731e-05	0.00972509413507818	0.008831294658373479
gBR07	JJJ1	2.0831012270223497e-05	0.00977163803799371	0.008873560873536909
YBR174C	UTP22	2.13028051282792e-05	0.00993070493051807	0.00901800848286207
NBR041W	MDN1	2.1425130522375198e-05	0.00997530184410714	0.00905850664969613
OM14	PXR1	2.16519677296797e-05	0.0100597922056004	0.0091352317968027
NBR038W	PXR1	2.26333708171003e-05	0.0103979549965911	0.00944231522532861
ECM31	MDN1	2.2729806643599103e-05	0.0104326519076874	0.00947382326436357
MAK5	JJJ1	2.2860257987445898e-05	0.0104679053197585	0.00950583665831009
gBR08	RNT1	2.30135632694638e-05	0.0105169349201757	0.00955036011918901
gHR03	PIH1	2.3261439678441502e-05	0.0106045969274465	0.0096299654171737
RPB5	RRP5	2.38137424813047e-05	0.0107789402685241	0.00978828546995638
NBR034W	DBP2	2.38364632221078e-05	0.0107843325146227	0.00979318213352645
NBR035W	DBP2	2.38364632221078e-05	0.0107843325146227	0.00979318213352645
YGL235W	BFR2	2.4039035273587197e-05	0.0108645168007769	0.00986599696165704
NBR031C	NSR1	2.4113797611182997e-05	0.0108859504671042	0.00988546073448189
YBR139W	MDN1	2.44458251033045e-05	0.0110010016547099	0.009989937968782
YPL035C	MOT1	2.46696129523955e-05	0.0110867096106652	0.0100677688054912
TYR1	MDN1	2.4763793198128602e-05	0.0111181854685975	0.0100963518271221
gBR08	JJJ1	2.4813370459295e-05	0.0111354338230562	0.010112014945491998
SLI15	NSR1	2.53380703293698e-05	0.0113107071598889	0.0102711795213641
SHE10	MDN1	2.55506670185644e-05	0.0113810000963332	0.0103350120792314
MTC3	MDN1	2.55506670185644e-05	0.0113810000963332	0.0103350120792314
gBR09	RNT1	2.67102962042296e-05	0.0117575715275933	0.0106769741438851
RPB5	NSA1	2.68110671853235e-05	0.0117828706537475	0.0106999481156086
NBR038W	CGR1	2.6837498328793697e-05	0.0117875644015095	0.0107042104773876
NTC20	MDN1	2.6855157168876e-05	0.0117927250958017	0.0107088968702701
NBR041W	CGR1	2.70029911791855e-05	0.0118385396317166	0.0107505007520095
PYC2	NOG1	2.8715084360481896e-05	0.0123859806247691	0.0112476283530968
SLI15	CGR1	2.8785374715445897e-05	0.0124064674911092	0.0112662323430184
PYC2	NOP14	2.89175376502093e-05	0.0124517764912663	0.0113073771510281
SLI15	DRS1	2.8964658815035603e-05	0.0124693762190429	0.0113233593492201
SMY2	HAS1	2.96891142659095e-05	0.0126990737253554	0.0115319461590097
DUR1,2	RNT1	3.0247322364644605e-05	0.0128816994400614	0.0116977873813529
NBR034W	EBP2	3.09790038114134e-05	0.0130973192644503	0.0118935903398556
NBR035W	EBP2	3.09790038114134e-05	0.0130973192644503	0.0118935903398556
RPN1	PIH1	3.13674332000257e-05	0.0132130473609081	0.0119986822706765
NHR006C	PIH1	3.13674332000257e-05	0.0132130473609081	0.0119986822706765
NHR007W	PIH1	3.13674332000257e-05	0.0132130473609081	0.0119986822706765
YGL235W	NSA1	3.15999215554061e-05	0.0132748659695085	0.01205481934661
NBR038W	MDN1	3.18785509185602e-05	0.0133541039791173	0.0121267748671715
PCH2	MDN1	3.188073910278111e-05	0.0133541039791173	0.0121267748671715
RTC2	UTP22	3.27430320695083e-05	0.0136039390840646	0.0123536484991538
MUM2	DRS1	3.3449415215953e-05	0.0138225452211463	0.0125521633087672
RPB5	PWP1	3.3784929382395696e-05	0.0139228117226672	0.0126432146659053
gOL02	JJJ1	3.38083973423246e-05	0.0139286479181997	0.0126485144770656
TIP1	DRS1	3.42792607516712e-05	0.0140703533576773	0.0127771962639294
NOP15	SEN1	3.529513854631429e-05	0.0143837888191923	0.0130618249655723
NBR031C	DBP2	3.5687917916813596e-05	0.0145063354187921	0.0131731087346973
gBR08	CGR1	3.6147857009604e-05	0.0146418670441303	0.0132961841211425
